Parameter,Allocated resource blocks (LCRB),DFT-s-OFDM Symbols per slot (Note 1),Modulation,MCS Index (Note 2),Payload size,Transport block CRC,LDPC Base Graph,Number of code blocks per slot (Note 3),Total number of bits per slot,Total modulated symbols per slot
Unit,,,,,Bits,Bits,,,Bits,
,1,11,256QAM,20,704,16,2,1,1056,132
,5,11,256QAM,20,3496,16,2,1,5280,660
,9,11,256QAM,20,6272,24,1,1,9504,1188
,10,11,256QAM,20,7040,24,1,1,10560,1320
,12,11,256QAM,20,8456,24,1,2,12672,1584
,15,11,256QAM,20,10504,24,1,2,15840,1980
,18,11,256QAM,20,12552,24,1,2,19008,2376
,24,11,256QAM,20,16896,24,1,3,25344,3168
,25,11,256QAM,20,17424,24,1,3,26400,3300
,30,11,256QAM,20,21000,24,1,3,31680,3960
,32,11,256QAM,20,22536,24,1,3,33792,4224
,36,11,256QAM,20,25104,24,1,3,38016,4752
,45,11,256QAM,20,31752,24,1,4,47520,5940
,50,11,256QAM,20,34816,24,1,5,52800,6600
,60,11,256QAM,20,42016,24,1,5,63360,7920
,64,11,256QAM,20,45096,24,1,6,67584,8448
,75,11,256QAM,20,53288,24,1,7,79200,9900
,80,11,256QAM,20,56368,24,1,7,84480,10560
,81,11,256QAM,20,57376,24,1,7,85536,10692
,90,11,256QAM,20,63528,24,1,8,95040,11880
,100,11,256QAM,20,69672,24,1,9,105600,13200
,108,11,256QAM,20,75792,24,1,9,114048,14256
,120,11,256QAM,20,83976,24,1,10,126720,15840
,128,11,256QAM,20,90176,24,1,11,135168,16896
,135,11,256QAM,20,94248,24,1,12,142560,17820
,160,11,256QAM,20,112648,24,1,14,168960,21120
,162,11,256QAM,20,114776,24,1,14,171072,21384
,180,11,256QAM,20,127080,24,1,16,190080,23760
,216,11,256QAM,20,151608,24,1,18,228096,28512
,243,11,256QAM,20,172176,24,1,21,256608,32076
,270,11,256QAM,20,188576,24,1,23,285120,35640
"NOTE 1:PUSCH mapping Type-A and single-symbol DM-RS configuration Type-1 with 2 additional DM-RS symbols, such that the DM-RS positions are set to symbols 2, 7, 11. DMRS is [TDM'ed] with PUSCH data. DM-RS symbols are not counted.NOTE 2:MCS Index is based on MCS Table 5.1.3.1-2 defined in TS 38.214 [10].NOTE 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 4:The RMCs apply to all channel bandwidth where LCRB ≤ NRB.",,,,,,,,,,
