Parameter,Unit,Value,,,,,,,,
Channel bandwidth,MHz,"5, 10, 15, 20 (Note 5)",5,10,15,20,25,30,40,50
Subcarrier spacing,kHz,15,15,15,15,15,15,15,15,15
Subcarrier spacing configuration,,0,0,0,0,0,0,0,0,0
Allocated resource blocks,,20,25,52,79,106,133,160,216,270
Subcarriers per resource block,,12,12,12,12,12,12,12,12,12
Allocated slots per Frame,,4,4,4,4,4,4,4,4,4
MCS Index,,24,24,24,24,24,24,24,24,24
MCS Table for TBS deermination,,64QAM,,,,,,,,
Modulation,,64 QAM,64 QAM,64 QAM,64 QAM,64 QAM,64 QAM,64 QAM,64 QAM,64 QAM
Target Coding Rate,,3/4,3/4,3/4,3/4,3/4,3/4,3/4,3/4,3/4
Maximum number of HARQ transmissions,,1,1,1,1,1,1,1,1,1
Information Bit Payload per Slot,,,,,,,,,,
"For Slots 0,1,3,4,8,9",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 2,5,6,7",Bits,9736,12296,25608,38936,52224,64552,77896,106576,131176
Transport block CRC,Bits,24,24,24,24,24,24,24,24,24
LDPC base graph,,1,1,1,1,1,1,1,1,1
Number of Code Blocks per Slot,,,,,,,,,,
"For Slots 0,1,3,4,8,9",CBs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 2,5,6,7",CBs,2,2,4,5,7,8,10,13,16
Binary Channel Bits per Slot,,,,,,,,,,
"For Slots 0,1,3,4,8,9",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 2,5,6,7",Bits,12960,16200,33696,51192,68688,86184,103680,139968,174960
Max. Throughput averaged over 1 frame,Mbps,3.894,4.918,10.243,15.574,20.890,20.890,31.158,42.630,52.470
"NOTE 1:Additional parameters are specified in Table A.3.1-1 and Table A.3.3.1-1.NOTE 2:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 3:SS/PBCH block is transmitted in slot 0 of each frameNOTE 4:Slot i is slot index per frameNOTE 5:Channel bandwidths in this column only apply to UEs supporting IE supportOfERedCap-r18.",,,,,,,,,,
