Parameter,Allocated resource blocks (LCRB),CP-OFDM Symbols per slot (Note 1),Modulation,MCS Index (Note 2),Payload size,Transport block CRC,LDPC Base Graph,Number of code blocks per slot (Note 3),Total number of bits per slot,Total modulated symbols per slot
Unit,,,,,Bits,Bits,,,Bits,
,1,11,256QAM,20,704,16,2,1,1056,132
,5,11,256QAM,20,3496,16,2,1,5280,660
,9,11,256QAM,20,6272,24,1,1,9504,1188
,10,11,256QAM,20,7040,24,1,1,10560,1320
,11,11,256QAM,20,7680,24,1,1,11616,1452
,12,11,256QAM,20,8456,24,1,2,12672,1584
,13,11,256QAM,20,9224,24,1,2,13728,1716
,15,11,256QAM,20,10504,24,1,2,15840,1980
,18,11,256QAM,20,12552,24,1,2,19008,2376
,19,11,256QAM,20,13320,24,1,2,20064,2508
,24,11,256QAM,20,16896,24,1,3,25344,3168
,25,11,256QAM,20,17424,24,1,3,26400,3300
,26,11,256QAM,20,18432,24,1,3,27456,3432
,31,11,256QAM,20,22032,24,1,3,32736,4092
,33,11,256QAM,20,23040,24,1,3,34848,4356
,35,11,256QAM,20,24576,24,1,3,36960,4620
,38,11,256QAM,20,26632,24,1,4,40128,5016
,39,11,256QAM,20,27656,24,1,4,41184,5148
,47,11,256QAM,20,32776,24,1,4,49632,6204
,51,11,256QAM,20,35856,24,1,5,53856,6732
,52,11,256QAM,20,36896,24,1,5,54912,6864
,53,11,256QAM,20,36896,24,1,5,55968,6996
,61,11,256QAM,20,43032,24,1,6,64416,8052
,65,11,256QAM,20,46104,24,1,6,68640,8580
,67,11,256QAM,20,47112,24,1,6,70752,8844
,78,11,256QAM,20,55304,24,1,7,82368,10296
,79,11,256QAM,20,55304,24,1,7,83424,10428
,80,11,256QAM,20,56368,24,1,7,84480,10560
,81,11,256QAM,20,57376,24,1,7,85536,10692
,93,11,256QAM,20,65576,24,1,8,98208,12276
,95,11,256QAM,20,67584,24,1,8,100320,12540
,106,11,256QAM,20,73776,24,1,9,111936,13992
,107,11,256QAM,20,75792,24,1,9,112992,14124
,108,11,256QAM,20,75792,24,1,9,114048,14256
,109,11,256QAM,20,75792,24,1,9,115104,14388
,121,11,256QAM,20,86040,24,1,11,127776,15972
,123,11,256QAM,20,86040,24,1,11,129888,16236
,133,11,256QAM,20,94248,24,1,12,140448,17556
,135,11,256QAM,20,94248,24,1,12,142560,17820
,137,11,256QAM,20,96264,24,1,12,144672,18084
,160,11,256QAM,20,112648,24,1,14,168960,21120
,162,11,256QAM,20,114776,24,1,14,171072,21384
,189,11,256QAM,20,131176,24,1,16,199584,24948
,216,11,256QAM,20,151608,24,1,18,228096,28512
,217,11,256QAM,20,151608,24,1,18,229152,28644
,245,11,256QAM,20,172176,24,1,21,258720,32340
,270,11,256QAM,20,188576,24,1,23,285120,35640
,273,11,256QAM,20,192624,24,1,23,288288,36036
"NOTE 1:PUSCH mapping Type-A and single-symbol DM-RS configuration Type-1 with 2 additional DM-RS symbols, such that the DM-RS positions are set to symbols 2, 7, 11. DMRS is [TDM'ed] with PUSCH data. DM-RS symbols are not counted.NOTE 2:MCS Index is based on MCS Table 5.1.3.1-2 defined in TS 38.214 [10].NOTE 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 4: The RMCs apply to all channel bandwidth where LCRB ≤ NRB.",,,,,,,,,,
