Parameter,Unit,Value,,,,,,,,,
Channel bandwidth,MHz,10,15,20,25,30,40,50,60,80,100
Subcarrier spacing configuration μ,,1,1,1,1,1,1,1,1,1,1
Allocated resource blocks,,24,38,51,65,78,106,133,162,217,273
Subcarriers per resource block,,12,12,12,12,12,12,12,12,12,12
Allocated slots per Frame,,17,17,17,17,17,17,17,17,17,17
MCS Index,,23,23,23,23,23,23,23,23,23,23
MCS Table for TBS determination,,1024QAM,,,,,,,,,
Modulation,,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM
Target Coding Rate,,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
Maximum number of HARQ transmissions,,1,1,1,1,1,1,1,1,1,1
Information Bit Payload per Slot,,,,,,,,,,,
"For Slots 0,1,2",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 3,…,19",Bits,20496,32264,43032,55304,65576,90176,112648,139376,184424,233608
Transport block CRC,Bits,24,24,24,24,24,24,24,24,24,24
LDPC base graph,,1,1,1,1,1,1,1,1,1,1
Number of Code Blocks per Slot,,,,,,,,,,,
"For Slots 0,1,2",CBs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 3,…,19",CBs,3,4,6,7,8,11,14,17,22,28
Binary Channel Bits per Slot,,,,,,,,,,,
"For Slots 0,1,2",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 3,…,19",Bits,25920,41040,55080,70200,84240,114480,143640,174960,234360,294840
Max. Throughput averaged over 1 frame,Mbps,34.843,54.849,73.154,94.017,111.479,153.299,191.502,236.939,313.521,397.134
"NOTE 1:Additional parameters are specified in Table A.3.1-1 and Table A.3.2.1-1.NOTE 2:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 3:SS/PBCH block is transmitted in slot 0 of each frameNOTE 4:Slot i is slot index per frame",,,,,,,,,,,
