Channel bandwidth,,,,,,,,
EUTRA CA Configuration,EUTRA band,1.4 MHz(dBm),3 MHz(dBm),5 MHz(dBm),10 MHz(dBm),15 MHz(dBm),20 MHz(dBm),Duplex mode
CA_1A-46ACA_1A-46CCA_1A-46DCA_1A-46E,1,,,-100,-97,-95.2,-94,FDD
,46,,,,-93,,-90,TDD
CA_2A-46ACA_2A-46ECA_2A-2A-46ACA_2A-2A-46DCA_2A-2A-46ECA_2A-46CCA_2A-46A-46ACA_2A-2A-46CCA_2A-46A-46CCA_2A-46DCA_2A-46A-46D,2,,,-98,-95,-93.2,-92,FDD
,46,,,,,,-90,TDD
CA_2A-49A9,2,,,-97.8,-94.8,-93.0,-91.7,FDD
,49,,,,-95.5,,-92.5,TDD
CA_3A-46ACA_3A-46CCA_3A-46DCA_3A-46E,3,,-98.7,-97,-94,-92.2,-91,FDD
,46,,,,-93,,-90,TDD
CA_3C-46A,3,,,-97,-94,-92.2,-91,FDD
,46,,,,,,-90,TDD
CA_3A-3A-46ACA_3C-46CCA_3C-46DCA_3A-3A-46C,3,,,-97,-94,-92.2,-91,FDD
,46,,,,,,-90,TDD
CA_4A-46ACA_4A-46CCA_4A-46A-46ACA_4A-46A-46CCA_4A-46DCA_4A-46A-46D,4,,,-100,-97,-95.2,-94,FDD
,46,,,,,,-90,TDD
CA_5A-46ACA_5A-46CCA_5A-46DCA_5A-46ECA_5B-46ACA_5B-46CCA_5B-46DCA_5B-46E,5,,,-98,-95,,,FDD
,46,,,,-93,,-90,TDD
CA_7A-46ACA_7A-46CCA_7A-7A-46CCA_7A-46DCA_7A-46ECA_7C-46ACA_7C-46CCA_7C-46DCA_7C-46E,7,,,-98,-95,-93.2,-92,FDD
,46,,,,-93,,-90,TDD
CA_7A-7A-46ACA_7A-7A-46DCA_7A-7A-46E,7,,,-98,-95,-93.2,-92,FDD
,46,,,,,,-90,TDD
CA_8A-46ACA_8A-46DCA_8A-46ECA_8B-46CCA_8B-46D,8,-102.2,-99.2,-97,-94,,,FDD
,46,,,,,,-90,TDD
CA_8A-46C,8,-102.2,-99.2,-97,-94,,,FDD
,46,,,,,,-90,TDD
CA_8B-46A,8,-102.2,-99.2,-97,-94,,,FDD
,46,,,,,,-90,TDD
CA_11A-46A,11,,,-100,-97,,,FDD
,46,,,,,,-90,TDD
CA_11A-46C,11,,,-100,-97,,,FDD
,46,,,,,,-90,TDD
CA_11A-46D,11,,,-100,-97,-95.2,,FDD
,46,,,,,,-90,TDD
CA_11A-46E,11,,,-100,-97,,,FDD
,46,,,,,,-90,TDD
CA_12A-46ACA_12A-46CCA_12A-46D,12,,,-97,-94,,,FDD
,46,,,,,,-90,TDD
CA_12A-46E,12,,,-97,-94,,,FDD
,46,,,,,,-90,TDD
CA_13A-46ACA_13A-46A-46ACA_13A-46A-46CCA_13A-46A-46DCA_13A-46CCA_13A-46DCA_13A-46E,13,,,-97,-94,,,FDD
,46,,,,,,-90,TDD
CA_19A-46ACA_19A-46CCA_19A-46DCA_19A-46E,19,,,-100,-97,-95.2,,FDD
,46,,,,,,-90,TDD
CA_21A-46ACA_21A-46CCA_21A-46DCA_21A-46E,21,,,-100,-97,-95.2,,FDD
,46,,,,,,-90,TDD
CA_25A-46ACA_25A-46CCA_25A-46D,25,-101.2,-98.2,-96.5,-93.5,-91.7,-90.5,FDD
,46,,,,-93,,-90,TDD
CA_26A-46A,26,,-99.7,-97.57,-94.57,,,FDD
,46,,,,,,-90,TDD
CA_28A-46ACA_28A-46CCA_28A-46DCA_28A-46E,28,,,-98.5,-95.5,-93.7,-91,FDD
,46,,,,-93,,-90,TDD
CA_29A-46A-66A,29,,,-97,-94,,,FDD
,46,,,,,,-90,TDD
,66,,,-99.5,-96.5,-94.7,-93.5,FDD
CA_39A-46A,39,,,-100,-97,-95.2,-94,TDD
,46,,,,,,-90,TDD
CA_39A-46C,39,,,-100,-97,-95.2,-94,TDD
,46,,,,,,-90,TDD
CA_39C-46A,39,,,-100,-97,-95.2,-94,TDD
,46,,,,,,-90,TDD
CA_39A-46ECA_39C-46CCA_39C-46D,39,,,-100,-97,-95.2,-94,TDD
,46,,,,,,-90,
CA_40A-46ACA_40A-46DCA_40A-46ECA_40C-46CCA_40C-46DCA_40D-46ACA_40D-46C,40,,,-100,-97,-95.2,-94,TDD
,46,,,,-93,,-90,TDD
CA_40A-46C,40,,,-100,-97,-95.2,-94,TDD
,46,,,,,,-90,TDD
CA_40C-46A,40,,,-100,-97,-95.2,-94,TDD
,46,,,,,,-90,TDD
CA_41A-46ACA_41A-46CCA_41A-46DCA_41A-46ECA_41C-46ACA_41C-46CCA_41C-46DCA_41D-46ACA_41D-46C,41,,,-98,-95,-93.2,-92,TDD
,46,,,,,,-90,TDD
CA_42A-46A,42,,,-99,-96,-94.2,-93,TDD
