E-UTRA CA configuration / Bandwidth combination set,,,,,,,,,,
E-UTRA CA Configuration,Uplink CA configurations (NOTE 5),E-UTRA Bands,1.4MHz,3MHz,5MHz,10MHz,15MHz,20MHz,Maximum aggregated bandwidth[MHz],Bandwidth combination set
CA_1A-3A-7A-8A-20A-28A,-,1,,,Yes,Yes,Yes,Yes,110,0
,,3,Yes,Yes,Yes,Yes,Yes,Yes,,
,,7,,,Yes,Yes,Yes,Yes,,
,,8,Yes,Yes,Yes,Yes,,,,
,,20,,,Yes,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
"CA_1A-3A-7A-20A-28A-38A1,2",-,1,,,Yes,Yes,Yes,Yes,120,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,,Yes,Yes,Yes,,
,,20,,,,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
"CA_1A-3A-7C-20A-28A-38A1,2",-,1,,,Yes,Yes,Yes,Yes,140,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,See CA_7C Bandwidth combination set 1 in Table 5.6A.1-1,,,,,,,
,,20,,,,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-7A-8A-20A-28A-32A,-,1,,,Yes,Yes,Yes,Yes,110,0
,,7,,,Yes,Yes,Yes,Yes,,
,,8,Yes,Yes,Yes,Yes,,,,
,,20,,,Yes,Yes,Yes,Yes,,
,,28,,Yes,Yes,Yes,Yes,Yes,,
,,32,,,Yes,Yes,Yes,Yes,,
CA_1A-7A-8A-20A-32A-38A3,-,1,,,Yes,Yes,Yes,Yes,100,0
,,7,,,,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
,,20,,,,Yes,,,,
,,32,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
"NOTE 1:Power imbalance between downlink carriers on Band 20 and Band 28 is assumed to be within 6dB.NOTE 2:UL carrier shall be supported in Bands 1, 3, 20 and 28 only. Power imbalance between downlink carriers on Band 7 and Band 38 is assumed to be within [6dB]NOTE 3:UL carrier shall be supported in Band 1, 8 or 20 only. Power imbalance between downlink carriers on Band 7 and Band 38 is assumed to be within 6dB.",,,,,,,,,,
