Spectrum emission limit [dBm]/BWChannel_CA,,,,,,,
ΔfOOB(MHz),25RB+100RB(24.95MHz),50RB+75RB(24.75 MHz),50RB+100RB(29.9 MHz),75RB+75RB (30 MHz),75RB+100RB(34.85 MHz),100RB+100RB(39.8 MHz),Measurement bandwidth
0-1,-22,-22,-22.5,-22.5,-23.5,-24,30 kHz
1-5,-13,-13,-13,-13,-13,-13,1 MHz
5-24.75,-13,-13,-13,-13,-13,-13,1 MHz
24.75-24.95,-13,-25,-13,-13,-13,-13,1 MHz
24.95-29.75,-25,-25,-13,-13,-13,-13,1 MHz
29.75-29.9,-25,,-13,-13,-13,-13,1 MHz
29.9-29.95,-25,,-25,-13,-13,-13,1 MHz
29.95-30,,,-25,-13,-13,-13,1 MHz
30-34.85,,,-25,-25,-13,-13,1 MHz
34.85-34.9,,,-25,-25,-25,-13,1 MHz
34.9-35,,,,-25,-25,-13,1 MHz
35-39.8,,,,,-25,-13,1 MHz
39.8-39.85,,,,,-25,-25,1 MHz
39.85-44.8,,,,,,-25,1 MHz
