EUTRA band,Class 1 (dBm),Tolerance (dB),Class 2 (dBm),Tolerance (dB),Class 3 (dBm),Tolerance (dB),Class 4 (dBm),Tolerance (dB)
1,,,,,23,±2,,
2,,,,,23,±22,,
3,31,+2/-3,,,23,±22,,
4,,,,,23,±2,,
5,,,,,23,±2,,
6,,,,,23,±2,,
7,,,,,23,±22,,
8,,,,,23,±22,,
9,,,,,23,±2,,
10,,,,,23,±2,,
11,,,,,23,±2,,
12,31,+2/-3,,,23,±22,,
13,,,,,23,±2,,
14,31,+2/-3,26,±2,23,±2,,
…,,,,,,,,
17,,,,,23,±2,,
18,,,,,23,±25,,
19,,,,,23,±2,,
20,31,+2/-3,,,23,±22,,
21,,,,,23,±2,,
22,,,,,23,+2/-3.52,,
23,,,,,236,±26,,
24,,,,,23,+2/-32,,
25,,,,,23,±22,,
26,,,,,23,±22,,
27,,,,,23,±2,,
28,31,+2/-3,,,23,+2/-2.5,,
30,,,,,23,±2,,
31,31,+2/-3,,,23,±2,,
…,,,,,,,,
33,,,,,23,±2,,
34,,,,,23,±2,,
35,,,,,23,±2,,
36,,,,,23,±2,,
37,,,,,23,±2,,
38,,,26,±2,23,±2,,
39,,,,,23,±2,,
40,31,+2/-3,26,±2,23,±2,,
41,,,26,±22,23,±22,,
42,31,+2/-3,26,+2/-3,23,+2/-3,,
43,,,,,23,+2/-3,,
44,,,,,23,+2/-3,,
45,,,,,23,±2,,
…,,,,,,,,
47,,,26,±2,23,±2,,
48,,,,,23,+2/-3,,
50,,,,,23,±2,,
51,,,,,23,±2,,
52,,,,,23,+2/-3,,
53,,,,,23,±2,,
54,,,,,23,±2,,
65,,,,,23,±2,,
66,,,,,23,±2,,
68,,,,,23,±2,,
…,,,,,,,,
70,,,,,23,±2,,
71,,,,,23,+2/-2.5,,
72,31,+2/-3,,,23,±2,,
73,,,,,23,±2,,
74,,,,,23,±2,,
85,,,,,23,±22,,
87,31,+2/-3,,,23,±2,,
88,31,+2/-3,,,23,±2,,
106,31,+2/-3,,,23,±2,,
111,,,,,23,±2,,
"NOTE 1:VoidNOTE 2:2 refers to the transmission bandwidths (Figure 5.6-1) confined within FUL_low and FUL_low + 4 MHz or FUL_high – 4 MHz and FUL_high, the maximum output power requirement is relaxed by reducing the lower tolerance limit by 1.5 dBNOTE 3:For the UE which supports both Band 11 and Band 21 operating frequencies, the tolerance is FFS.NOTE 4:PPowerClass is the maximum UE power specified without taking into account the toleranceNOTE 5:For a UE that supports both Band 18 and Band 26, the maximum output power requirement is relaxed by reducing the lower tolerance limit by 1.5 dB for transmission bandwidths confined within 815 MHz and 818 MHz.NOTE 6:When NS_20 is signalled, the total output power within 2000-2005 MHz shall be limited to 7 dBm.NOTE 7:Void.NOTE 8:Generally, PC1 UE is not targeted for smartphone form factor.NOTE 9:Void.",,,,,,,,
