EUTRA Operating Band,Uplink (UL) operating bandBS receiveUE transmit,,,Downlink (DL) operating bandBS transmit UE receive,,,Duplex Mode
,FUL_low   –  FUL_high,,,FDL_low  –  FDL_high,,,
1,1920 MHz,–,1980 MHz,2110 MHz,–,2170 MHz,FDD
2,1850 MHz,–,1910 MHz,1930 MHz,–,1990 MHz,FDD
3,1710 MHz,–,1785 MHz,1805 MHz,–,1880 MHz,FDD
4,1710 MHz,–,1755 MHz,2110 MHz,–,2155 MHz,FDD
5,824 MHz,–,849 MHz,869 MHz,–,894MHz,FDD
61,830 MHz,–,840 MHz,875 MHz,–,885 MHz,FDD
7,2500 MHz,–,2570 MHz,2620 MHz,–,2690 MHz,FDD
8,880 MHz,–,915 MHz,925 MHz,–,960 MHz,FDD
9,1749.9 MHz,–,1784.9 MHz,1844.9 MHz,–,1879.9 MHz,FDD
10,1710 MHz,–,1770 MHz,2110 MHz,–,2170 MHz,FDD
11,1427.9 MHz,–,1447.9 MHz,1475.9 MHz,–,1495.9 MHz,FDD
12,699 MHz,–,716 MHz,729 MHz,–,746 MHz,FDD
13,777 MHz,–,787 MHz,746 MHz,–,756 MHz,FDD
14,788 MHz,–,798 MHz,758 MHz,–,768 MHz,FDD
15,Reserved,,,Reserved,,,FDD
16,Reserved,,,Reserved,,,FDD
17,704 MHz,–,716 MHz,734 MHz,–,746 MHz,FDD
18,815 MHz,–,830 MHz,860 MHz,–,875 MHz,FDD
19,830 MHz,–,845 MHz,875 MHz,–,890 MHz,FDD
20,832 MHz,–,862 MHz,791 MHz,–,821 MHz,FDD
21,1447.9 MHz,–,1462.9 MHz,1495.9 MHz,–,1510.9 MHz,FDD
22,3410 MHz,–,3490 MHz,3510 MHz,–,3590 MHz,FDD
231,2000 MHz,–,2020 MHz,2180 MHz,–,2200 MHz,FDD
2417,1626.5 MHz,–,1660.5 MHz,1525 MHz,–,1559 MHz,FDD
25,1850 MHz,–,1915 MHz,1930 MHz,–,1995 MHz,FDD
26,814 MHz,–,849 MHz,859 MHz,–,894 MHz,FDD
27,807 MHz,–,824 MHz,852 MHz,–,869 MHz,FDD
28,703 MHz,–,748 MHz,758 MHz,–,803 MHz,FDD
29,N/A,,,717 MHz,–,728 MHz,FDD2
3015,2305 MHz,–,2315 MHz,2350 MHz,–,2360 MHz,FDD
31,452.5 MHz,–,457.5 MHz,462.5 MHz,–,467.5 MHz,FDD
32,,N/A,,1452 MHz,–,1496 MHz,FDD2
33,1900 MHz,–,1920 MHz,1900 MHz,–,1920 MHz,TDD
34,2010 MHz,–,2025 MHz,2010 MHz,–,2025 MHz,TDD
35,1850 MHz,–,1910 MHz,1850 MHz,–,1910 MHz,TDD
36,1930 MHz,–,1990 MHz,1930 MHz,–,1990 MHz,TDD
37,1910 MHz,–,1930 MHz,1910 MHz,–,1930 MHz,TDD
38,2570 MHz,–,2620 MHz,2570 MHz,–,2620 MHz,TDD
39,1880 MHz,–,1920 MHz,1880 MHz,–,1920 MHz,TDD
40,2300 MHz,–,2400 MHz,2300 MHz,–,2400 MHz,TDD
