EUTRA band,Class 1 (dBm),Tolerance (dB),Class 2 (dBm),Tolerance (dB),Class 3 (dBm),Tolerance (dB),Class 4 (dBm),Tolerance (dB)
1,,,,,23,+2/-3,,
2,,,,,23,+2/-32,,
3,,,,,23,+2/-32,,
4,,,,,23,+2/-3,,
5,,,,,23,+2/-3,,
6,,,,,23,+2/-3,,
7,,,,,23,+2/-32,,
8,,,,,23,+2/-32,,
9,,,,,23,+2/-3,,
10,,,,,23,+2/-3,,
11,,,,,23,+2/-3,,
12,,,,,23,+2/-32,,
13,,,,,23,+2/-3,,
14,,,,,23,+2/-3,,
…,,,,,,,,
17,,,,,23,+2/-3,,
18,,,,,23,+2/-3,,
19,,,,,23,+2/-3,,
20,,,,,23,+2/-32,,
21,,,,,23,+2/-3,,
22,,,,,23,+2/-4.52,,
23,,,,,23,+2/-3,,
24,,,,,23,+2/-42,,
25,,,,,23,+2/-32,,
26,,,,,23,+2/-32,,
27,,,,,23,+2/-3,,
28,,,,,23,+2/[-3],,
30,,,,,23,+2/-3,,
31,31,+2/-3,,,23,+2/-3,,
…,,,,,,,,
33,,,,,23,+2/-3,,
34,,,,,23,+2/-3,,
35,,,,,23,+2/-3,,
36,,,,,23,+2/-3,,
37,,,,,23,+2/-3,,
38,,,26,+2/-3,23,+2/-3,,
39,,,,,23,+2/-3,,
40,,,26,+2/-3,23,+2/-3,,
41,,,26,+2/-32,23,+2/-32,,
42,,,26,+2/-4,23,+2/-4,,
43,,,,,23,+2/-4,,
44,,,,,23,+2/-3,,
45,,,,,23,+2/-3,,
48,,,,,23,+2/-3,,
50,,,,,23,+2/-3,,
51,,,,,23,+2/-3,,
52,,,,,23,+2/-3,,
53,,,,,23,+2/-3,,
…,,,,,,,,
65,,,,,23,+2/-3,,
66,,,,,23,+2/-3,,
68,,,,,23,+2/-3,,
..,,,,,,,,
70,,,,,23,+2/-3,,
71,,,,,23,+2/-3,,
72,31,+2/-3,,,23,+2/-3,,
73,,,,,23,+2/-3,,
74,,,,,23,+2/-3,,
"NOTE 1:VoidNOTE 2:2 refers to the transmission bandwidths (Figure 5.6-1) confined within FUL_low and FUL_low + 4 MHz or FUL_high – 4 MHz and FUL_high, the maximum output power requirement is relaxed by reducing the lower tolerance limit by 1.5 dBNOTE 3:For the UE which supports both Band 11 and Band 21 operating frequencies, the tolerance is FFS.NOTE 4:PPowerClass is the maximum UE power specified without taking into account the toleranceNOTE 5:Void.",,,,,,,,
