E-UTRA CA Band,E-UTRA Band (Table 5.5-1)
CA_1-3-5-7,"1, 3, 5, 7"
CA_1-3-3-5-7,"1, 3, 5, 7"
CA_1-3-5-7-7,"1, 3, 5, 7"
CA_1-3-5-282,"1, 3, 5, 28"
CA_1-3-5-40,"1, 3, 5, 40"
CA_1-3-5-41,"1, 3, 5, 41"
CA_1-3-7-7-26,"1, 3, 7, 26"
CA_1-3-7-8,"1, 3, 7, 8"
CA_1-3-3-7-8,"1, 3, 7, 8"
CA_1-3-7-7-8,"1, 3, 7, 8"
CA_1-3-3-7-7-8,"1, 3, 7, 8"
CA_1-3-7-20,"1, 3, 7, 20"
CA_1-1-3-7-20,"1, 3, 7, 20"
CA_1-3-7-7-20,"1, 3, 7, 20"
CA_1-3-3-7-20,"1, 3, 7, 20"
CA_1-3-7-26,"1, 3, 7, 26"
CA_1-3-7-28,"1, 3, 7, 28"
CA_1-1-3-7-28,"1, 3, 7, 28"
CA_1-3-3-7-28,"1, 3, 7, 28"
CA_1-1-3-3-7-28,"1, 3, 7, 28"
CA_1-3-7-7-28,"1, 3, 7, 28"
CA_1-3-7-32,"1, 3, 7, 32"
CA_1-3-7-38,"1, 3, 7, 38"
CA_1-1-3-7-38,"1, 3, 7, 38"
CA_1-3-3-7-38,"1, 3, 7, 38"
CA_1-3-7-40,"1, 3, 7, 40"
CA_1-3-7-40-40,"1, 3, 7, 40"
CA_1-3-7-42,"1, 3, 7, 42"
CA_1-3-7-46,"1, 3, 7, 46"
CA_1-3-8-11,"1, 3, 8, 11"
CA_1-3-8-20,"1, 3, 8, 20"
CA_1-3-8-28,"1, 3, 8, 28"
CA_1-3-8-38,"1, 3, 8, 38"
CA_1-3-3-8-38,"1, 3, 8, 38"
CA_1-3-11-28,"1, 3, 11, 28"
CA_1-3-8-40,"1, 3, 8, 40"
CA_1-3-8-41,"1, 3, 8, 41"
CA_1-3-8-41-41,"1, 3, 8, 41"
CA_1-3-8-42,"1, 3, 8, 42"
CA_1-3-18-42,"1, 3, 18, 42"
CA_1-3-19-21,"1, 3,19, 21"
CA_1-3-3-19-21,"1, 3,19, 21"
CA_1-3-19-42,"1, 3,19, 42"
CA_1-3-20-281,"1, 3, 20, 28"
CA_1-1-3-20-281,"1, 3, 20, 28"
CA_1-3-3-20-281,"1, 3, 20, 28"
CA_1-3-20-32,"1, 3, 20, 32"
CA_1-3-20-38,"1, 3, 20, 38"
CA_1-3-20-42,"1, 3, 20, 42"
CA_1-3-20-43,"1, 3, 20, 43"
CA_1-3-21-28,"1, 3, 21, 28"
CA_1-3-21-42,"1, 3, 21, 42"
CA_1-3-28-32,"1, 3, 28, 32"
CA_1-3-28-38,"1, 3, 28, 38"
CA_1-3-28-40,"1, 3, 28, 40"
CA_1-3-28-42,"1, 3, 28, 42"
CA_1-3-32-42,"1, 3, 32, 42"
CA_1-3-32-43,"1, 3, 32, 43"
CA_1-3-40-41,"1, 3, 40, 41"
CA_1-3-41-42,"1, 3, 41, 42"
CA_1-3-42-43,"1, 3, 42, 43"
CA_1-5-7-282,"1, 5, 7, 28"
CA_1-5-7-7-282,"1, 5, 7, 28"
CA_1-5-7-46,"1, 5, 7, 46"
CA_1-7-8-20,"1, 7, 8, 20"
CA_1-7-8-28,"1, 7, 8, 28"
CA_1-7-8-32,"1, 7, 8, 32"
CA_1-7-8-38,"1, 7, 8, 38"
CA_1-7-8-40,"1, 7, 8, 40"
CA_1-7-20-28,"1, 7, 20, 28"
CA_1-7-20-32,"1, 7, 20, 32"
CA_1-7-20-38,"1, 7, 20, 38"
