EUTRA band,Class 3 (dBm),Tolerance (dB),Class 5 (dBm),Tolerance (dB),Class 6 (dBm),Tolerance (dB)
1,23,±2,20,±2,14,±2.5
2,23,±2,20,±2,14,±2.5
3,23,±2,20,±2,14,±2.5
4,23,±2,20,±2,14,±2.5
5,23,±2,20,±2,14,±2.5
7,23,±2,20,±2,14,±2.5
8,23,±2,20,±2,14,±2.5
11,23,±2,20,±2,14,±2.5
12,23,±2,20,±2,14,±2.5
13,23,±2,20,±2,14,±2.5
14,23,±2,20,±2,14,±2.5
17,23,±2,20,±2,14,±2.5
18,23,±2,20,±2,14,±2.5
19,23,±2,20,±2,14,±2.5
20,23,±2,20,±2,14,±2.5
21,23,±2,20,±2,14,±2.5
24,23,±2,20,±2,14,±2.5
25,23,±2,20,±2,14,±2.5
26,23,±2,20,±2,14,±2.5
28,23,±2,20,±2,14,±2.5
31,23,±2,20,±2,14,±2.5
41,23,±2,20,±2,14,±2.5
42,23,±2,20,±2,14,±2.5
43,23,±2,20,±2,14,±2.5
48,23,±2,20,±2,14,±2.5
54,23,±2,20,±2,14,±2.5
65,23,±2,20,±2,14,±2.5
66,23,±2,20,±2,14,±2.5
70,23,±2,20,±2,14,±2.5
71,23,±2,20,±2,14,±2.5
72,23,±2,20,±2,14,±2.5
73,23,±2,20,±2,14,±2.5
74,23,±2,20,±2,14,±2.5
85,23,±2,20,±2,14,±2.5
87,23,±2,20,±2,14,±2.5
103,23,±2,20,±2,14,±2.5
106,23,±2,20,±2,14,±2.5
111,23,±2,,,,
