Channel bandwidth,,,,,,,,
EUTRA CA Configuration,EUTRA band,1.4 MHz(dBm),3 MHz(dBm),5 MHz(dBm),10 MHz(dBm),15 MHz(dBm),20 MHz(dBm),Duplex mode
CA_1A-32A,1,,,-100,-97,-95.2,-94,FDD
,32,,,-100,-97,-95.2,-94,
CA_2A-29A,2,,,-98,-95,-93.2,-92,FDD
,29,,-98.7,-97,-94,,,
CA_2A-2A-29A,2,,,-98,-95,-93.2,-92,FDD
,29,,,-97,-94,,,
CA_2C-29A,2,,,-98,-95,-93.2,-92,FDD
,29,,,-97,-94,,,
CA_3A-32A,3,,,-97,-94,-92.2,-91,FDD
,32,,,-99.5,-96.5,-94.7,-93.5,
CA_3C-32A,35,,,-97,-94,-92.2,-91,FDD
,32,,,-99.5,-96.5,-94.7,-93.5,
CA_3A-67A,3,,,-97,-94,-92.2,-91,FDD
,67,,,-100,-97,-95.2,-94,
CA_3C-67A,3,,,-97,-94,-92.2,-91,FDD
,67,,,-100,-97,-95.2,-94,
CA_3A-69A,3,,,-97,-94,-92.2,-91,FDD
,69,,,-100,-97,-95.2,-94,
CA_4A-29A,4,,,-100,-97,-95.2,-94,FDD
,29,,-98.7,-97,-94,,,
CA_5A-29A,5,,,-98,-95,,,FDD
,29,,,-97,-94,,,
CA_7A-29ACA_7A-7A-29ACA_7C-29A,7,,,-98,-95,-93.2,-92,FDD
,29,,,-97,-94,,,
CA_7A-32A,7,,,,-95,-93.2,-92,FDD
,32,,,-100,-97,-95.2,-94,
CA_20A-32A,20,,,-97,-94,-91.2,-90,FDD
,32,,,-100,-97,-95.2,-94,
CA_20A-75A,20,,,-97,-94,-91.2,-90,FDD
,75,,,-100,-97,-95.2,-94,
CA_20A-76A,20,,,-97,-94,-91.2,-90,FDD
,76,,,-100,,,,
CA_20A-67A,20,,,-97,-94,-91.2,-90,FDD
,67,,,-100,-97,-95.2,-94,
CA_23A-29A,23,,,-100,-97,-95.2,-94,FDD
,29,,-98.7,-97,-94,,,
CA_29A-30A,29,,,-97,-94,,,FDD
,30,,,-99,-96,,,
CA_29A-66A,29,,,-97,-94,,,FDD
,66,,,-99.5,-96.5,-94.7,-93.5,
CA_29A-66C,29,,,-97,-94,,,FDD
,66,,,-99.5,-96.5,-94.7,-93.5,
,,,,,,,,
CA_29A-70A,29,,,-97,-94,,,FDD
,70,,,-100,-97,-95.2,-94,
CA_29A-70C,29,,,-97,-94,,,FDD
,70,,,-100,-97,-95.2,-94,
CA_32A-42A,32,,,-100,-97,-95.2,-94,FDD
,42,,,-98.5,-95.5,-93.7,-92.5,TDD
CA_32A-43A,32,,,-100,-97,-95.2,-94,FDD
,43,,,-98.5,-95.5,-93.7,-92.5,TDD
"NOTE 1:The transmitter shall be set to PUMAX as defined in subclause 6.2.5A.NOTE 2:Reference measurement channel is A.3.2 with one sided dynamic OCNG Pattern OP.1 FDD/TDD as described in Annex A.5.1.1/A.5.2.1NOTE 3:The signal power is specified per port.NOTE 4:VoidNOTE 5:Applicable only if operation with 4 antenna ports is supported in the band with carrier aggregation configured.NOTE 6:These requirements apply when the uplink is active in Band 1 and the separation between the lower edge of the uplink channel in Band 1 and the upper edge of the downlink channel in Band 3 is < 60 MHz. For each channel bandwidth in Band 3, the requirement applies regardless of channel bandwidth in Band 1.NOTE 7:These requirements apply when the uplink is active in Band 1 and the separation between the lower edge of the uplink channel in Band 1 and the upper edge of the downlink channel in Band 3 is ≥ 60 MHz. For each channel bandwidth in Band 3, the requirement applies regardless of channel bandwidth in Band 1.",,,,,,,,
