EUTRA Operating Band,Uplink (UL) operating bandBS receiveUE transmit,,,Downlink (DL) operating bandBS transmit UE receive,,,Duplex Mode
,FUL_low   –  FUL_high,,,FDL_low  –  FDL_high,,,
2,1850.1 MHz,–,1909.9 MHz,1930.1 MHz,–,1989.9 MHz,FDD
4,1710.1 MHz,–,1754.9 MHz,2110.1 MHz,–,2154.9 MHz,FDD
5,824.1 MHz,–,848.9 MHz,869.1 MHz,–,893.9MHz,FDD
12,699 MHz,–,715.9 MHz,729 MHz,–,745.9 MHz,FDD
13,777 MHz,–,786.9 MHz,746 MHz,–,755.9 MHz,FDD
17,704.1 MHz,–,715.9 MHz,734.1 MHz,–,745.9 MHz,FDD
25,1850.1 MHz,–,1914.9 MHz,1930.1 MHz,–,1994.9 MHz,FDD
26,814.1 MHz,–,848.9 MHz,859.1 MHz,–,893.9 MHz,FDD
54,1670.1 MHz,–,1674.9 MHz,1670.1 MHz,–,1674.9 MHz,TDD
66,1710.1 MHz,–,1779.9 MHz,2110.1 MHz,–,2199.9 MHz,FDD
70,1695.1 MHz,–,1709.9 MHz,1995.1 MHz,–,2019.9 MHz,FDD
71,663.1 MHz,–,697.9 MHz,617.1 MHz,–,651.9 MHz,FDD
85,698.1 MHz,–,715.9 MHz,728.1 MHz,–,745.9 MHz,FDD
103,787.1 MHz,–,787.9 MHz,757.1 MHz,–,757.9 MHz,FDD
106,896 MHz,–,901 MHz,935 MHz,–,940 MHz,FDD
