E-UTRA band / Channel bandwidth,,,,,,
E-UTRA Band,1.4 MHz,3 MHz,5 MHz,10 MHz,15 MHz,20 MHz
1,,,Yes,Yes,Yes,Yes
2,Yes,Yes,Yes,Yes,Yes1,Yes1
3,Yes,Yes,Yes,Yes,Yes1,Yes1
4,Yes,Yes,Yes,Yes,Yes,Yes
5,Yes,Yes,Yes,Yes1,,
6,,,Yes,Yes1,,
7,,,Yes,Yes,Yes3,"Yes1, 3"
8,Yes,Yes,Yes,Yes1,,
9,,,Yes,Yes,Yes1,Yes1
10,,,Yes,Yes,Yes,Yes
11,,,Yes,Yes1,,
12,Yes,Yes,Yes1,Yes1,,
13,,,Yes1,Yes1,,
14,,,Yes1,Yes1,,
...,,,,,,
17,,,Yes1,Yes1,,
18,,,Yes,Yes1,Yes1,
19,,,Yes,Yes1,Yes1,
20,,,Yes,Yes1,Yes1,Yes1
21,,,Yes,Yes1,Yes1,
22,,,Yes,Yes,Yes1,Yes1
23,Yes,Yes,Yes,Yes,Yes1,Yes1
24,,,Yes,Yes,,
25,Yes,Yes,Yes,Yes,Yes1,Yes1
26,Yes,Yes,Yes,Yes1,Yes1,
27,Yes,Yes,Yes,Yes1,,
28,,Yes,Yes,Yes1,Yes1,"Yes1, 2"
30,,,Yes,Yes1,,
31,Yes,Yes1,Yes1,,,
...,,,,,,
33,,,Yes,Yes,Yes,Yes
34,,,Yes,Yes,Yes,
35,Yes,Yes,Yes,Yes,Yes,Yes
36,Yes,Yes,Yes,Yes,Yes,Yes
37,,,Yes,Yes,Yes,Yes
38,,,Yes,Yes,Yes3,Yes3
39,,,Yes,Yes,Yes3,Yes3
40,,,Yes,Yes,Yes,Yes
41,,,Yes,Yes,Yes,Yes
42,,,Yes,Yes,Yes,Yes
43,,,Yes,Yes,Yes,Yes
44,,Yes,Yes,Yes,Yes,Yes
45,,,Yes,Yes,Yes,Yes
46,,,,Yes,,Yes
47,,,,Yes,,Yes
48,,,Yes,Yes,Yes,Yes
49,,,,Yes,,Yes
50,,Yes,Yes,Yes,Yes,Yes
51,,Yes,Yes,,,
52,,,Yes,Yes,Yes,Yes
53,Yes,Yes,Yes,Yes,,
54,Yes,Yes,Yes,,,
…,,,,,,
64,Reserved,,,,,
65,Yes,Yes,Yes,Yes,Yes,Yes
66,Yes,Yes,Yes,Yes,Yes,Yes
68,,,Yes,Yes,Yes5,
,,,,,,
70,,,Yes,Yes,Yes,Yes4
71,,,Yes,Yes1,Yes1,"Yes1,6"
72,Yes,Yes1,Yes1,,,
73,Yes,Yes,Yes,,,
74,Yes,Yes,Yes,Yes1,Yes1,Yes1
85,,,Yes1,Yes1,,
87,Yes,Yes1,Yes1,,,
88,Yes,Yes1,Yes1,,,
103 7,,,,,,
106,Yes,Yes,,,,
111,Yes,Yes,Yes,Yes,,
"NOTE 1:1 refers to the bandwidth for which a relaxation of the specified UE receiver sensitivity requirement (subclause 7.3) is allowed.NOTE 2:2 For the 20 MHz bandwidth, the minimum requirements are specified for E-UTRA UL carrier frequencies confined to either 713-723 MHz or 728-738 MHzNOTE 3:3 refers to the bandwidth for which the uplink transmission bandwidth can be restricted by the network for some channel assignments in FDD/TDD co-existence scenarios in order to meet unwanted emissions requirements (Clause 6.6.3.2).NOTE 4:4  For the 20 MHz bandwidth, the minimum requirements are restricted to EUTRA operation when carrier aggregation is configured.NOTE 5:5 For the 15 MHz bandwidth, the minimum requirements are specified for E-UTRA UL carrier frequencies confined to either 705.5 MHz or 710.5-720.5 MHzNOTE 6:6 For the 20MHz bandwidth, the minimum requirements are specified for E-UTRA UL carrier frequencies confined to either 673-678 MHz or 683-688MHz.NOTE 7:7 This band is for standalone NB-IoT operation only. None of E-UTRA standard channel bandwidths is applicable.",,,,,,
