EUTRA CA Configuration,EUTRA band,Channel bandwidth,,,,,,Duplex mode,Applicable active UL band
,,1.4 MHz(dBm),3 MHz(dBm),5 MHz(dBm),10 MHz(dBm),15 MHz(dBm),20 MHz(dBm),,
CA_1A-7A-38A,719,,,-93.3,-90.7,-89.2,-88.1,FDD,1
,38,,,-93.3,-90.7,-89.2,-88.1,TDD,
CA_1A-40A,4019,,,-93.4,-91.9,-90.4,-89.4,TDD,1
CA_1A-40A,119,,,-91.7,-89.5,-87.9,-86.9,FDD,40
CA_1A-40C,4019,,,-93.4,-91.9,-90.4,-89.4,TDD,1
CA_1A-40C,119,,,-91.7,-89.5,-87.9,-86.9,FDD,40
CA_3A-7A-38ACA_3A-3A-7A-38A,719,,,-93.8,-91.2,-89.7,-88.6,FDD,3
,38,,,-93.8,-91.2,-89.7,-88.6,TDD,
CA_3C-7A-38A,719,,,-93.8,-91.2,-89.7,-88.6,FDD,3
,38,,,-93.8,-91.2,-89.7,-88.6,TDD,
CA_3A-40A,4019,,,-95.4,-92.9,-91.3,-90.2,TDD,3
CA_3A-40A,319,-97.4,-95.3,-94.2,-91.2,-89.5,-88.3,FDD,40
CA_3A-40A-40A,4019,,,,-92.9,,-90.2,TDD,3
CA_3A-40A-40A,319,,,-94.2,-91.2,,,FDD,40
CA_3A-40C,4019,,,-95.4,-92.9,-91.3,-90.2,TDD,3
CA_3A-40D,4019,,,-95.4,-92.9,-91.3,-90.2,TDD,3
CA_3A-40D,319,,,-94.2,-91.2,-89.5,-88.3,FDD,40
CA_3A-40E,4019,,,,,-91.3,-90.2,TDD,3
CA_3A-40E,319,,,-94.2,-91.2,-89.5,-88.3,FDD,40
CA_3A-40C,319,,,-94.2,-91.2,-89.5,-88.3,FDD,40
CA_3C-40A,4019,,,-95.4,-92.9,-91.3,-90.2,TDD,3
CA_3C-40A,319,,,-94.2,-91.2,-89.5,-88.3,FDD,40
CA_3C-40C,4019,,,-95.4,-92.9,-91.3,-90.2,TDD,3
CA_3C-40C,319,,,-94.2,-91.2,-89.5,-88.3,FDD,40
CA_3A-41A5,319,,-95.3,-94,-91,-89.2,-87.9,FDD,41
,4119,,,-93.3,-90.7,-89.2,-88.1,TDD,3
CA_3A-41C5,319,,,-94,-91,-89.2,-87.9,FDD,41
,4119,,,-93.3,-90.7,-89.2,-88.1,TDD,3
CA_3A-41D5,319,,,-94,-91,-89.2,-87.9,FDD,41
,4119,,,-93.3,-90.7,-89.2,-88.1,TDD,3
CA_3A-3A-41A,3,,-95.3,-94,-91,-89.2,-87.9,FDD,41
,41,,,-93.3,-90.7,-89.2,-88.1,TDD,3
CA_3C-41A5,319,,,-94,-91,-89.2,-87.9,FDD,41
,4119,,,-93.3,-90.7,-89.2,-88.1,TDD,3
CA_3C-41C5,319,,,-94,-91,-89.2,-87.9,FDD,41
,4119,,,-93.3,-90.7,-89.2,-88.1,TDD,3
CA_3C-41D5,319,,,-94,-91,-89.2,-87.9,FDD,41
,4119,,,-93.3,-90.7,-89.2,-88.1,TDD,3
CA_7A-40A,4019,,,-96.3,-93.6,-92,-90.9,TDD,7
,719,,,-97.1,-94.3,-92.7,-91.5,FDD,40
CA_7A-40C,4019,,,-96.3,-93.6,-92,-90.9,TDD,7
,719,,,-97.1,-94.3,-92.7,-91.5,FDD,40
CA_7A-40D,4019,,,-96.3,-93.6,-92,-90.9,TDD,7
,719,,,-97.1,-94.3,-92.7,-91.5,FDD,40
CA_7A-40E,4019,,,-96.3,-93.6,-92,-90.9,TDD,7
,719,,,-97.1,-94.3,-92.7,-91.5,FDD,40
CA_7A-42A,4219,,,-95.6,-93,-91.5,-90.4,TDD,7
,719,,,-96.2,-93.2,-91.5,-90.3,FDD,42
CA_7A-42A-42A,4219,,,-95.6,-93,-91.5,-90.4,TDD,7
