CA Bandwidth Class C,Lower edge cutoff frequency [MHz]5,RBStart,LCRB [RBs],RBstart + LCRB [RBs],A-MPR per modulation [dB],,,
,,,,,QPSK,16QAM,64QAM,256QAM
25 RB / 100 RB,2513.5,0 – 42,>0,N/A,≤5,≤5,≤5,6.5
,,43 – 81,N/A,>82,≤1,≤1.5,≤1.5,3
,,82 – 124,>0,N/A,≤1,≤1.5,≤1.5,2.5
50 RB / 100 RB,2518.4,0 – 52,>0,N/A,≤5,≤5,≤5,6.5
,,53 – 94,N/A,>95,≤1,≤1.5,≤1.5,3
,,95 – 149,>0,N/A,≤1,≤1.5,≤1.5,2.5
75 RB / 75 RB,2519.0,0 – 54,>0,N/A,≤5,≤5,≤5,6.5
,,55 – 94,N/A,>95,≤2,≤2.5,≤2.5,3.5
,,95 – 149,>0,N/A,≤1.5,≤2,≤2,3
75 RB / 100 RB,2523.4,0 – 64,>0,N/A,≤5,≤5,≤5,6.5
,,65 – 114,N/A,>115,≤2,≤2.5,≤2.5,3.5
,,115 – 174,>0,N/A,≤1,≤1.5,≤2,3
100 RB / 100 RB,2528.3,0 – 69,>0,N/A,≤5,≤5,≤5,6.5
,,70 – 129,N/A,>130,≤2,≤2.5,≤2.5,3.5
,,130 – 199,>0,N/A,≤1.5,≤1.5,≤2,3
"NOTE 1:RBstart indicates the lowest RB index of transmitted resource blocksNOTE 2:LCRB is the length of a contiguous resource block allocationNOTE 3:For intra-subframe frequency hopping which intersects regions, notes 1 and 2 apply on a per slot basisNOTE 4:For intra-subframe frequency hopping which intersects regions, the larger A-MPR value may be applied for both slots in the subframeNOTE 5:The A-MPR values in this table shall apply when the lower edge of the aggregated channel bandwidth (Figure 5.6A-1) is less than or equal to the lower edge cutoff frequency specified in this table for the corresponding CA bandwidth combination.  When the lower edge of the aggregated channel bandwidth exceeds the lower edge cutoff frequency, then the A-MPR shall be equal to the MPR specified in Table 6.2.3A-1a.",,,,,,,,
