Channel bandwidth [MHz],Parameters,Region,,,,,
1.4,"(NBindex,SCstart)","(0, < 27)","(0, > 51)",,,,
,Lcsc,"2,3,6",3,,,,
,A-MPR [dB],≤ 7,≤ 1,,,,
3,"(NBindex,SCstart)","(0, < 21)","(0, > 60)",,,,
,Lcsc,"2,3,6","2,3,6",,,,
,A-MPR [dB],≤ 7,≤ 1,,,,
5,"(NBindex,SCstart)","(0, < 21)","(0, > 60)",,,,
,Lcsc,2,2,,,,
,A-MPR [dB],≤ 7,≤ 1,,,,
10,"(NBindex,SCstart)","(0, < 15)",,,,,
,Lcsc,"2,3,6",,,,,
,A-MPR [dB],≤ 7,,,,,
15,"(NBindex,SCstart)","(0, < 12)",,,,,
,Lcsc,"2,3,6",,,,,
,A-MPR [dB],≤ 7,,,,,
