CA Bandwidth Class C,Lower edge frequency [MHz],RBStart,LCRB [RBs],RBstart + LCRB [RBs],A-MPR per modulation [dB],,,
,,,,,QPSK,16QAM,64QAM,256QAM
25 RB / 100 RB,>=703 and <713,0-25,100-125,,5,3.5,3.5,1.5
,,0-1,26-99,,5,3.5,3.5,1.5
,,5-14,45-99,,4,3,3,1
,,15-25,81-99,,4,3,3,1
,,2-4,65-99,,4,3,3,1
,,2-4,40-64,,4,3,3,1
,,20-29,1-8,<=35,4,3,2,N/A
,,0-19,1-8,,4,2,2,
,,5-14,26-44,,3,3,3,
,,15-25,9-80,,3,2,2,
,,26-40,72-99,,3,2,2,
,,41-55,62-99,,3,2,2,
,,2-4,26-39,,2,1,N/A,
,,0-14,9-25,,2.5,1.5,1.5,
,>=713,0-17,100-125,,2.5,2,1.5,1
,,0-13,1-8,,2.5,2,1,1
,,0-1,65-99,,2.5,1,1,N/A
,,0-25,9-25,<=37,2,1,N/A,
,,2-17,65-99,,2,1.0,N/A,
50 RB / 75 RB,>=703and <713,0-5,45-125,,6,4.5,4,2.5
,,6-20,>=33,,5,4,4,1
,,0-5,33-44,,5,4,3,1
,,21-27,33-104,,4,3,3,1
,,28-35,>= 36,,3,3,1,N/A
,,0-32,1-13,,3,2,1,
,,38-51,45-87,,2,1,1,
,,0-26,15-32,<=54,2,1,1,
,>713,0-5,33-125,,2.5,2,2,
,,0-13,<13,<=22,2.5,2,1,
,,6-20,>= 70,,2,1,1,
,,0-26,15-32,<=54,1,1,N/A,
,,21-27,>= 70,,1,N/A,N/A,
50 RB / 100 RB,>=703and <713,0-5,36-150,,6,4.5,4.5,2.5
,,6-20,36-150,,5,3,3,1
,,21-28,36-129,,4,3,3,1
,,29-38,15-120,,3,2,2,N/A
,,0-40,1-13,<=49,3,2,2,
,,39-68,60-112,,3,2,2,
,,0-28,15-35,,3,1,N/A,
,>=713,0-5,51-150,,3,2,2,N/A
,,0-22,1-13,<= 33,3,2,1,
,,6-20,64-150,,2,1,1,
,,0-16,15-35,<= 45,1,1,N/A,
,,0-10,36-50,,1,N/A,N/A,
,,21-35,90-129,,1,N/A,N/A,
75 RB / 75 RB,>=703and <713,0-3,72-150,,6,4.5,4,2
,,4-15,72-150,,5,4,4,2
,,16-30,72-150,,5,4,3,1
,,0-16,37-71,,5,4,3,1
,,31-39,42-120,,4,3,2,1
,,40-51,48-120,,3,2,2,N/A
,,0-41,1-17,<=53,3,2,1,
,,17-30,37-71,,3,2,1,
,,52-60,40-100,,3,1,N/A,
,,0-26,18-36,<=62,2.5,1.5,,
,>=713,0-10,72-150,,3,2,2,N/A
,,11-15,72-139,,3,2,2,
,,16-30,60-139,,2,1,1,
,,0-23,1-17,<=35,3,2,1,
,,0-18,18-36,<=51,3,1,N/A,
,,0-15,37-71,,1,N/A,N/A,
,,31-50,60-129,,1,N/A,N/A,
NOTE 1:RBstart indicates the lowest RB index of transmitted resource blocksNOTE 2:LCRB is the length of a contiguous resource block allocation,,,,,,,,
