Channel bandwidth confined to 1627.5- 1637.5MHz,,,,,,,,,,
Channel bandwidth,Carrier centre frequency (FC)(MHz),Parameters,Region A,Region B,,Region C,Region D,Region E,Region F,Region G
5 MHz,"1630.0, 1630.3",RBstart,≤ 8,≤ 8,,N/A,N/A,N/A,N/A,N/A
,,LCRB [RBs],≤ 8,> 8,,N/A,N/A,N/A,N/A,N/A
,,A-MPR [dB],8,2,,N/A,N/A,N/A,N/A,N/A
,1635.0,No A-MPR needed,,,,,,,,
,1649.0,,,,,,,,,
,1654.0,,,,,,,,,
10 MHz,1632.5,RBstart,≤ 5,≤ 5,6 to18,≤ 18,35 to 39,35 to 39,≥ 40,≥ 40
,,LCRB [RBs],≤ 5,6 to 12,≤ 12,> 12,≤ 7,> 7,≤ 7,> 7
,,A-MPR [dB],7,5,,7,4,2,5,3
,1651.5,No A-MPR needed,,,,,,,,
