Inter-band concurrent V2X configuration,Inter-band concurrent V2X configuration for TX,E-UTRA or V2X operating Bands,1.4MHz,3MHz,5MHz,10MHz,15MHz,20MHz,Maximum bandwidth [MHz],Bandwidth combination set
V2X_3A-47A,V2X_3A-47A,3,Yes,Yes,Yes,Yes,Yes,Yes,40,0
,,47,,,,Yes,,Yes,,
V2X_3A-47B,"V2X_3A-47A,V2X_47B",3,Yes,Yes,Yes,Yes,Yes,Yes,40,0
,,47,See V2X_47B Bandwidth combination set 0 in Table 5.6G.1-4,,,,,,,
V2X_5A-47A,V2X_5A-47A,5,,,Yes,Yes,,,30,0
,,47,,,,Yes,,Yes,,
V2X_5A-47B,"V2X_5A-47A,V2X_47B",5,Yes,Yes,Yes,Yes,Yes,Yes,40,0
,,47,See V2X_47B Bandwidth combination set 0 in Table 5.6G.1-4,,,,,,,
V2X_7A_47A,V2X_7A_47A,7,,,Yes,Yes,Yes,Yes,40,0
,,47,,,,Yes,,Yes,,
V2X_7A-47B,"V2X_7A-47A,V2X_47B",7,,,Yes,Yes,Yes,Yes,40,0
,,47,See V2X_47B Bandwidth combination set 0 in Table 5.6G.1-4,,,,,,,
V2X_8A-47A,V2X_8A-47A,8,Yes,Yes,Yes,Yes,,,30,0
,,47,,,,Yes,,Yes,,
V2X_8A-47B,"V2X_8A-47A,V2X_47B",8,Yes,Yes,Yes,Yes,,,40,0
,,47,See V2X_47B Bandwidth combination set 0 in Table 5.6G.1-4,,,,,,,
V2X_20A-47A,V2X_20A-47A,20,,,Yes,Yes,Yes,Yes,40,0
,,47,,,,Yes,,Yes,,
V2X_20A-47B,"V2X_20A-47A,V2X_47B",20,,,Yes,Yes,Yes,Yes,40,0
,,47,See V2X_47B Bandwidth combination set 0 in Table 5.6G.1-4,,,,,,,
V2X_28A-47A,,28,,Yes,Yes,Yes,Yes,Yes,40,0
,,47,,,,Yes,,Yes,,
V2X_34A-47A,V2X_34A-47A,34,,,Yes,Yes,Yes,,35,0
,,47,,,,Yes,,Yes,,
V2X_34A-47B,"V2X_34A-47A,V2X_47B",34,,,Yes,Yes,Yes,,40,0
,,47,See V2X_47B Bandwidth combination set 0 in Table 5.6G.1-4,,,,,,,
V2X_39A-47A,V2X_39A-47A,39,,,Yes,Yes,Yes,Yes,40,0
,,47,,,,Yes,,Yes,,
V2X_39A-47B,"V2X_39A-47A,V2X_47B",39,,,Yes,Yes,Yes,Yes,40,0
,,47,See V2X_47B Bandwidth combination set 0 in Table 5.6G.1-4,,,,,,,
V2X_39A-47C,"V2X_39A-47A,V2X_47C",39,,,Yes,Yes,Yes,Yes,50,0
,,47,See V2X_47C Bandwidth combination set 0 in Table 5.6G.1-4,,,,,,,
V2X_41A-47A,V2X_41A-47,41,,,Yes,Yes,Yes,Yes,40,0
,,47,,,,Yes,,Yes,,
V2X_41A-47B,"V2X_41A-47A,V2X_47B",41,,,Yes,Yes,Yes,Yes,40,0
,,47,See V2X_47B Bandwidth combination set 0 in Table 5.6G.1-4,,,,,,,
V2X_41A-47C,"V2X_41A-47A,V2X_47C",41,,,Yes,Yes,Yes,Yes,50,0
,,47,See V2X_47C Bandwidth combination set 0 in Table 5.6G.1-4,,,,,,,
V2X_71A-47A,,71,,,Yes,Yes,Yes,Yes,40,0
,,47,,,,Yes,,Yes,,
