Parameters,,,
Channel Bandwidth[MHz],Carrier centre frequency (FC)[MHz],Uplink resource allocation,A-MPR[dB]
20,5160 ≤ FC < 5179.85320.2 < FC ≤ 53405480 ≤ FC < 5499.8,L = 10 (RIV = 19),9
,,Any other RIV,8
,5680.2 < FC ≤ 5715,L = 10 (RIV = 19),9
,,Any other RIV,8
,5179.8 ≤ FC ≤ 5320.25499.8 ≤ FC ≤ 5680.2,L = 10 (RIV = 19),2
,,Any other RIV,2
NOTE 1:The carrier centre frequencies and corresponding EARFCN allowed for operation in Band 46 are specified in [12]. The uplink resource allocation is defined in Clause 8.1.4 of [6].,,,
