Channel bandwidth,,,,,,,
E-UTRAProSeBand,1.4 MHz(dBm),3 MHz(dBm),5 MHz(dBm),10 MHz(dBm),15 MHz(dBm),20 MHz(dBm),Duplex Mode
3,,,,-97.6,,,HD
7,,,,-98.3,,,HD
14,,,,-97.6,,,HD
20,,,,-97.7,,,HD
26,,,,-98.0 5,,,HD
28,,,,-98.9,,,HD
31,,,-96.7,,,,HD
68,,,-101.7,-98.9,,,HD
72,,,-96.7,,,,HD
"NOTE 1:Reference measurement channel is A.6.2NOTE 2:The signal power is specified per portNOTE 3:For the UE which supports both Band 3 and Band 9 the reference sensitivity level is FFS.NOTE 4:For the UE which supports both Band 11 and Band 21 the reference sensitivity level is FFS.NOTE 5:5 indicates that the requirement is modified by -0.5 dB when the carrier frequency of the assigned E-UTRA channel bandwidth is within 865-894 MHz.NOTE 6:For a UE that support both Band 18 and Band 26, the reference sensitivity level for Band 26 applies for the applicable channel bandwidths.",,,,,,,
