V2X concurrent band configuration,E-UTRA or V2X Operating Band,Interface,Uplink (UL) operating bandBS receiveUE transmit,,,Downlink (DL) operating bandBS transmit UE receive,,,Duplex Mode
,,,FUL_low   –  FUL_high,,,FDL_low  –  FDL_high,,,
V2X_3-47,3,Uu,1710 MHz,–,1785 MHz,1805 MHz,–,1880 MHz,FDD
,47,PC5,5855 MHz,–,5925 MHz,5855 MHz,,5925 MHz,HD
V2X_5-47,5,Uu,824 MHz,–,849 MHz,869 MHz,–,894 MHz,FDD
,47,PC5,5855 MHz,–,5925 MHz,5855 MHz,–,5925 MHz,HD
V2X_7-47,7,Uu,2500 MHz,–,2570 MHz,2620 MHz,–,2690 MHz,FDD
,47,PC5,5855 MHz,–,5925 MHz,5855 MHz,,5925 MHz,HD
V2X_8-47,8,Uu,880 MHz,–,915 MHz,925 MHz,–,960 MHz,FDD
,47,PC5,5855 MHz,–,5925 MHz,5855 MHz,,5925 MHz,HD
V2X_20-47,20,Uu,832 MHz,–,862 MHz,791 MHz,–,821 MHz,FDD
,47,PC5,5855 MHz,–,5925 MHz,5855 MHz,,5925 MHz,HD
V2X_28-47,28,Uu,703 MHz,–,748 MHz,758 MHz,–,803 MHz,FDD
,47,PC5,5855 MHz,–,5925 MHz,5855 MHz,,5925 MHz,HD
V2X_34-47,34,Uu,2010 MHz,–,2025 MHz,2010 MHz,–,2025 MHz,TDD
,47,PC5,5855 MHz,,5925 MHz,5855 MHz,,5925 MHz,HD
V2X_39-47,39,Uu,1880 MHz,–,1920 MHz,1880 MHz,–,1920 MHz,TDD
,47,PC5,5855 MHz,–,5925 MHz,5855 MHz,,5925 MHz,HD
V2X_41-47,41,Uu,2496 MHz,–,2690 MHz,2496 MHz,,2690 MHz,TDD
,47,PC5,5855 MHz,–,5925 MHz,5855 MHz,,5925 MHz,HD
V2X_71-47,71,Uu,663 MHz,–,698 MHz,617 MHz,–,652 MHz,FDD
,47,PC5,5855 MHz,–,5925 MHz,5855 MHz,,5925 MHz,HD
