E-UTRA CA Configuration,Spurious emission,,,,,,
,Protected band,Frequency range (MHz),,,Maximum Level (dBm),MBW (MHz),NOTE
CA_1-5,Frequency range,859,-,869,-27,1,
CA_1-8,Frequency range,860,-,890,-40,1,"3, 11"
CA_1-11,Frequency range,945,-,960,-50,1,
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
CA_1-18,Frequency range,758,-,799,-50,1,
,Frequency range,799,-,803,-40,1,3
,Frequency range,860,-,890,-40,1,
,Frequency range,945,-,960,-50,1,
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
CA_1-19,Frequency range,945,-,960,-50,1,
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
CA_1-20,Frequency range,758,-,788,-50,1,
CA_1-21,Frequency range,945,-,960,-50,1,
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
CA_1-26,Frequency range,945,-,960,-50,1,
,Frequency range,703,-,799,-50,1,
,Frequency range,799,-,803,-40,1,3
CA_1-28,Frequency range,470,-,694,-42,8,"3, 22"
,Frequency range,470,-,710,-26.2,6,23
,Frequency range,758,-,773,-32,1,3
,Frequency range,773,-,803,-50,1,
,Frequency range,662,-,694,-26.2,6,3
CA_1-68,Frequency range,1880,-,1895,-40,1,"15, 27"
,Frequency range,1895,-,1915,-15.5,5,"15, 26, 27"
,Frequency range,1915,-,1920,+1.6,5,"15, 26, 27, 44"
CA_2-5,Frequency range,859,-,869,-27,1,
CA_2-13,Frequency range,769,-,775,-35,0.00625,3
,Frequency range,799,-,805,-35,0.00625,3
CA_2-14,Frequency range,769,-,775,-35,0.00625,3
,Frequency range,799,-,805,-35,0.00625,3
CA_3-5,Frequency range,859,-,869,-27,1,
CA_3-8,,,,,,,
,Frequency range,860,-,890,-40,1,"3,11,17"
CA_3-11,Frequency range,945,-,960,-50,1,
,,,,,,,
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
CA_3-18,Frequency range,945,-,960,-50,1,
,,,,,,,
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
CA_3-19,Frequency range,945,-,960,-50,1,
,,,,,,,
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
CA_3-20,Frequency range,758,-,788,-50,1,
CA_3-21,Frequency range,945,-,960,-50,1,
,,,,,,,
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
,Frequency range,703,-,799,-50,1,
,,799,-,803,-40,1,3
,Frequency range,945,-,960,-50,1,
CA_3-28,Frequency range,470,-,710,-26.2,6,23
,Frequency range,758,-,773,-32,1,3
,Frequency range,773,-,803,-50,1,
,Frequency range,1884.5,-,1915.7,-41,0.3,"4, 5"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
CA_4-5,Frequency range,859,-,869,-27,1,
CA_4-13,Frequency range,769,-,775,-35,0.00625,3
,Frequency range,799,-,805,-35,0.00625,3
CA_4-28,Frequency range,470,-,710,-26.2,6,23
,Frequency range,758,,773,-32,1,3
,Frequency range,773,,803,-50,1,
CA_5-7,Frequency range,859,-,869,-27,1,
CA_5-12,Frequency range,859,-,869,-27,1,
CA_5-17,Frequency range,859,-,869,-27,1,
,,,,,,,
CA_7-26,Frequency range,703,-,799,-50,1,
,Frequency range,799,-,803,-40,1,3
,Frequency range,945,-,960,-50,1,
,,,,,,,
CA_7-28,Frequency range,758,-,773,-32,1,3
,Frequency range,773,-,803,-50,1,
CA_7-40,,,,,,,
,Frequency range,2570,-,2575,+1.6,5,"15, 21, 26"
,Frequency range,2575,-,2595,-15.5,5,"15, 21, 26"
,Frequency range,2595,-,2620,-40,1,"15, 21"
CA_7-68,Frequency range,2570,-,2575,+1.6,5,"15, 21, 26"
,Frequency range,2575,-,2595,-15.5,5,"15, 21, 26"
,Frequency range,2595,-,2620,-40,1,"15, 21"
CA_8-11,Frequency range,860,-,890,-40,1,"3, 11"
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,2
,Frequency range,945,-,960,-50,1,
,,,,,,,
CA_8-20,Frequency range,758,-,788,-50,1,
,Frequency range,860,-,890,-40,1,"3, 11"
CA_8-28,Frequency range,470,-,694,-42,8,"3, 22"
,Frequency range,470,-,710,-26.2,6,23
,Frequency range,662,-,694,-26.2,6,3
,Frequency range,758,-,773,-32,1,3
,Frequency range,773,-,803,-50,1,
,Frequency range,860,-,890,-40,1,"3, 11"
,,,,,,,
,,,,,,,
CA_11-18,Frequency range,860,-,890,-40,1,3
,,,,,,,
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
,Frequency range,945,-,960,-50,1,
CA_11-26,,,,,,,
,Frequency range,2545,-,2575,-50,1,2
,Frequency range,2595,-,2645,-50,1,
,Frequency range,945,-,960,-50,1,
CA_13-66,Frequency range,769,-,775,-35,0.00625,3
,Frequency range,799,-,805,-35,0.00625,3
CA_14-30,Frequency range,769,-,775,-35,0.00625,3
