E-UTRA operating band combination,E-UTRA Band,"ΔTIB,c [dB]"
"CA_1-3-5, CA_1-1-3-5, CA_1-3-3-5",1,0.3
,3,0.3
,5,0.3
"CA_1-3-7, CA_1-1-3-7, CA_1-1-3-7-7, CA_1-1-3-3-7, CA_1-3-3-7, CA_1-3-3-7-7, CA_1-3-7-7",1,0.6
,3,0.6
,7,0.6
"CA_1-3-8, CA_1-3-3-8",1,0.3
,3,0.3
,8,0.3
CA_1-3-11,1,0.3
,3,0.8
,11,0.9
CA_1-3-18,1,0.3
,3,0.3
,18,0.3
"CA_1-3-19, CA_1-3-3-19",1,0.3
,3,0.3
,19,0.3
"CA_1-3-20, CA_1-1-3-20, CA_1-3-3-20, CA_1-1-3-3-20",1,0.3
,3,0.3
,20,0.3
"CA_1-3-21, CA_1-3-3-21",1,0.3
,3,0.8
,21,0.9
CA_1-3-26,1,0.3
,3,0.3
,26,0.3
"CA_1-3-28, CA_1-1-3-28, CA_1-3-3-28, CA_1-1-3-28",1,0.3
,3,0.3
,28,0.6
CA_1-3-32,1,0.5
,3,0.5
"CA_1-3-38,CA_1-1-3-38",1,0.5
,3,0.5
,38,0.5
"CA_1-3-40,CA_1-3-40-40",1,0.5
,3,0.5
,40,0.5
"CA_1-3-41, CA_1-3-41-41",1,0.5
,3,0.5
,41,0.35/0.86
"CA_1-3-42, CA_1-3-3-42",1,0.6
,3,0.6
,42,0.8
CA_1-3-43,1,0.3
,3,0.3
,43,0.8
CA_1-3-46,1,0.3
,3,0.3
CA_1-3-71,1,0.3
,3,0.3
,71,0.6
"CA_1-5-7,CA_1-5-7-7",1,0.5
,5,0.3
,7,0.6
CA_1-5-28,1,0.3
,5,0.5
,28,0.6
CA_1-5-40,1,0.5
,5,0.3
,40,0.5
CA_1-5-41,1,0.5
,5,0.3
,41,0.5
CA_1-5-46,1,0.3
,5,0.3
"CA_1-7-8,CA_1-7-7-8",1,0.5
,7,0.6
,8,0.6
"CA_1-7-20,CA_1-1-7-20,CA_1-7-7-20,CA_1-1-7-7-20",1,0.5
,7,0.6
,20,0.3
"CA_1-7-26,CA_1-7-7-26",1,0.5
,7,0.6
,26,0.3
CA_1-7-28,1,0.5
,7,0.6
,28,0.6
CA_1-7-32,1,0.7
,7,0.7
"CA_1-7-38,CA_1-1-7-38",1,0.5
CA_1-7-40CA_1-7-40-40,1,0.6
,7,0.8
,40,0.9
CA_1-7-42,1,0.6
,7,0.6
,42,0.8
CA_1-7-46,1,0.5
,7,0.6
CA_1-8-11,1,0.3
,8,0.3
,11,0.4
CA_1-8-20,1,0.3
,8,0.4
,20,0.4
CA_1-8-2811,1,0.3
,8,0.6
,28,0.6
CA_1-8-32,1,0.5
,8,0.3
CA_1-8-38,1,0.5
,8,0.3
,38,0.5
CA_1-8-40,1,0.5
,8,0.3
,40,0.5
"CA_1-8-41, CA_1A-8A-41A-41A",1,0.5
,8,0.3
,41,0.5
CA_1-8-42,1,0.3
,8,0.6
,42,0.8
CA_1-8-71,1,0.3
,8,0.3
,71,0.6
CA_1-11-18,1,0.3
,11,0.4
,18,0.3
CA_1-11-28,1,0.3
,11,0.4
,28,0.6
CA_1-11-42,1,0.3
,11,0.4
,42,0.8
CA_1-18-28,1,0.3
,18,0.5
,28,0.5
CA_1-18-41,1,0.5
,18,0.3
,41,0.5
CA_1-18-42,1,0.3
,18,0.3
,42,0.8
CA_1-19-21,1,0.3
,19,0.3
,21,0.4
CA_1-19-28,1,0.3
,19,0.5
,28,0.5
CA_1-19-42,1,0.3
,19,0.3
,42,0.8
CA_1-20-28CA_1-1-20-28,1,0.3
,20,0.6
,28,0.6
CA_1-20-32,1,0.5
,20,0.3
CA_1-20-38,1,0.5
,20,0.3
,38,0.5
CA_1-20-42,1,0.3
,20,0.3
,42,0.8
CA_1-20-43,1,0.3
,20,0.3
,43,0.8
CA_1-21-28,1,0.3
,21,0.4
,28,0.6
CA_1-21-42,1,0.3
,21,0.4
,42,0.8
CA_1-28-32,1,0.5
,28,0.7
,1,0.5
CA_1-28-38,28,0.6
,38,0.5
CA_1-28-40CA_1-28-40-40,1,0.6
,28,0.3
,40,0.5
CA_1-28-42,1,0.3
,28,0.6
,42,0.8
CA_1-28-71,1,0.3
,28,1
,71,1
CA_1-32-38,1,0.5
,38,0.5
CA_1-32-42,1,0.5
,42,0.8
CA_1-32-43,1,0.5
,43,0.8
CA_1-40-41,1,0.5
,40,0.510
,41,0.510
"CA_1-41-428, 13",1,0.5
,41,0.5
,42,0.8
CA_1-42-4313,1,0.3
,42,0.8
,43,0.8
"CA_2-4-5, CA_2-2-4-5, CA_2-4-4-5",2,0.5
,4,0.5
,5,0.3
"CA_2-4-7, CA_2-4-7-7",2,0.5
,4,0.5
,7,0.5
"CA_2-4-12, CA_2-2-4-12, CA_2-4-4-12, CA_2-4-12-12",2,0.5
,4,0.5
,12,0.8
CA_2-4-13,2,0.5
,4,0.5
,13,0.3
CA_2-4-28,2,0.5
,4,0.5
,28,0.8
CA_2-4-29,2,0.5
,4,0.5
CA_2-4-30,2,0.5
,4,0.5
,30,0.3
"CA_2-4-71,CA_2-2-4-71",2,"0,5"
,4,0.5
,71,0.3
"CA_2-5-12, CA_2-2-5-12, CA_2-5-12-12",2,0.3
,5,0.8
,12,0.4
"CA_2-5-7, CA_2-2-5-7, CA_2-5-7-7",2,0.5
,5,0.3
,7,0.5
CA_2-5-13,2,0.3
,5,0.5
,13,0.5
CA_2-5-28,2,0.3
,5,0.8
,28,0.4
CA_2-5-29,2,0.3
,5,0.5
"CA_2-5-30, CA_2-2-5-30",2,0.5
,5,0.3
,30,0.3
CA_2-5-46,2,0.3
,5,0.3
"CA_2-5-66, CA_2-2-5-66, CA_2-5-66-66",2,0.5
,5,0.3
,66,0.5
"CA_2-7-12, CA_2-2-7-12",2,0.5
,7,0.5
,12,0.3
"CA_2-7-13, CA_2-7-7-13, CA_2-2-7-7-13, CA_2-2-7-13",2,0.5
,7,0.5
,13,0.3
CA_2-7-26,2,0.5
,7,0.5
,26,0.3
CA_2-7-28,2,0.5
,7,0.5
,28,0.3
"CA_2-7-29, CA_2-7-7-29",2,0.5
,7,0.5
CA_2-7-30,2,0.5
,7,0.5
,30,0.5
,2,0.5
CA_2-7-38,7,0.5
,38,0.5
CA_2-7-46,2,0.5
,7,0.5
"CA_2-7-66, CA_2-2-7-66, CA_2-7-7-66, CA_2-7-7-66-66, CA_2-7-66-66, CA_2-2-7-66-66",2,0.5
,7,0.5
,66,0.5
"CA_2-12-30, CA_2-2-12-30",2,0.5
,12,0.3
,30,0.3
"CA_2-12-66, CA_2-2-12-66, CA_2-12-66-66, CA_2-2-12-66-66",2,0.5
,12,0.8
,66,0.5
CA_2-13-46,2,0.3
,13,0.3
"CA_2-13-48, CA_2-13-48-48",2,0.6
,13,0.3
,48,0.8
"CA_2-13-66, CA_2-2-13-66, CA_2-13-66-66",2,0.5
,13,0.3
,66,0.5
"CA_2-14-30, CA_2-2-14-30",2,0.5
,14,0.3
,30,0.5
"CA_2-14-66, CA_2-2-14-66, CA_2-14-66-66, CA_2-2-14-66-66, CA_2-14-66-66-66",2,0.5
,14,0.3
,66,0.5
CA_2-26-66,2,0.5
,26,0.3
,66,0.5
CA_2-28-66,2,0.5
,28,0.6
,66,0.5
"CA_2-29-30, CA_2-2-29-30",2,0.5
,30,0.3
CA_2-29-66,2,0.5
,66,0.5
"CA_2-30-66, CA_2-2-30-66, CA_2-30-66-66",2,0.5
,30,0.3
,66,0.5
CA_2-46-48,2,0.6
,48,0.8
"CA_2-46-66, CA_2-46-46-66, CA_2-46-66-66",2,0.5
,66,0.5
"CA_2-48-66, CA_2-48-48-66",2,0.6
,48,0.8
,66,0.6
CA_2-66-71CA_2-2-66-71CA_2-66-66-71,2,0.5
,66,0.5
,71,0.3
"CA_3-5-7, CA_3-5-7-7, CA_3-3-5-7",3,0.5
,5,0.3
,7,0.5
CA_3-5-28CA_3-3-5-28,3,0.3
,5,0.5
,28,0.5
"CA_3-5-40, CA_3-5-40-40",3,0.5
,5,0.3
,40,0.5
CA_3-5-41,3,0.5
,5,0.318
,41,0.35
,,0.86
"CA_3-7-8, CA_3-3-7-8, CA_3-3-7-7-8",3,0.5
,7,0.5
,8,0.6
"CA_3-7-20,CA_3-3-7-20,CA_3-7-7-20,CA_3-3-7-7-20",3,0.5
,7,0.5
,20,0.3
"CA_3-7-26, CA_3-7-7-26",3,0.5
,7,0.5
,26,0.3
"CA_3-7-28, CA_3-3-7-28",3,0.5
,7,0.5
,28,0.3
CA_3-7-32,3,0.7
,7,0.7
CA_3-7-38CA_3-3-7-38,3,0.5
,7,0.5
,38,0.5
CA_3-7-40CA_3-7-40-40,3,0.6
,7,0.8
,40,0.9
CA_3-7-42,3,0.6
,7,0.6
,42,0.8
CA_3-7-46,3,0.5
,7,0.5
CA_3-8-11,3,0.8
,8,0.3
,11,0.9
CA_3-8-20,3,0.3
,8,0.4
,20,0.4
CA_3-8-2812,3,0.3
