Resource pool,Carrier frequency(MHz),Resources Blocks (NRB),Start ResourceBlock,A-MPRBase,A-MPRStep
Adjacent,5860,≤ 6,0,20,0.86
,,,"5,6",8,0.64
,,,"10,12",6,0.50
,,,≥ 15,5,0.93
,,>6 and ≤ 10,0,15.5,0.86
,,,"5, 6",8,0.64
,,,"10, 12",6,0.50
,,,≥ 15,5,0.93
,,>10 and ≤22,0,15,0.71
,,,"5, 6",11.5,0.64
,,,"10, 12",10,0.57
,,,"15, 18",6,0.57
,,,"20, 24, 25",5,0.57
,,,≥ 30,4.5,0.64
,,>22,"0, 5, 6",12.5,0.71
,,,"10, 12",10.5,0.57
,,,"15, 18",9.5,0.64
,,,"20, 24, 25",6.5,0.71
,"5870, 5910, 5920",<20,≥ 0,3,0.64
,,≥ 20 and ≤45,,1.5,0.43
,,>45,,2.5,0.36
,"5880, 5890, 5900",<10,≥ 0,3,0.43
,,≥ 10 and ≤38,,1.5,0.50
,,>38,,2,0.43
Non-Adjacent,5860,≤ 5,≥ 0,13.5,1
,,>5,,11.5,1
,"5870, 5910, 5920",≤ 5,≥ 0,5,1
,,>5 and ≤42,,3,1
,,>42,,4.5,1
,"5880, 5890, 5900",≤18,≥ 0,3.5,1
,,>18 and ≤42,,2.5,1
,,>42,,3,1
