Spectrum emission limit [dBm]/BWChannel_CA,,,,,,,
ΔfOOB(MHz),50+75RB(24.75 MHz),25+100RB(24.95 MHz),50+100RB(29.9 MHz),75+75RB (30 MHz),75+100RB (34.85 MHz),100+100RB (39.8 MHz),Measurement bandwidth
0-1,-22,-22,-22.5,-23,-23.5,-24,30 kHz
1-5,-10,-10,-10,-10,-10,-10,1 MHz
5-22.95,-13,-13,-13,-13,-13,-13,1 MHz
22.95-23.25,-13,-25,-13,-13,-13,-13,1 MHz
23.25-27.9,-25,-25,-13,-13,-13,-13,1 MHz
27.9-28.5,-25,-25,-25,-13,-13,-13,1 MHz
28.5-29.75,-25,-25,-25,-25,-13,-13,1 MHz
29.75-29.95,,-25,-25,-25,-13,-13,1 MHz
29.95-32.85,,,-25,-25,-13,-13,1 MHz
32.85-34.9,,,-25,-25,-25,-13,1 MHz
34.9-35,,,,-25,-25,-13,1 MHz
35-37.8,,,,,-25,-13,1 MHz
37.8-39.85,,,,,-25,-25,1 MHz
39.85-44.8,,,,,,-25,1 MHz
