Inter-band V2X reception,,Channel bandwidth,,,,,,,
E-UTRA V2X Band,E-UTRA or V2X band,E-UTRA band,1.4 MHz(dBm),3 MHz(dBm),5 MHz(dBm),10 MHz(dBm),15 MHz(dBm),20 MHz(dBm),Duplex Mode
Band 47,Band 3,3,-101.7,-98.7,-97,-94,-92.2,-91,FDD
,,47,,,,-90.4,,-87.5,HD
Band 47,Band 5,5,,,-98,-95,,,FDD
,,47,,,,-90.4,,-87.5,HD
Band 47,Band 7,7,,,-98,-95,-93.2,-92,FDD
,,47,,,,-90.4,,-87.5,HD
Band 47,Band 8,8,-102.2,-99.2,-97,-94,,,FDD
,,47,,,,-90.4,,-87.5,HD
Band 47,Band 20,20,,,-97,-94,-91.2,-90,FDD
,,47,,,,-90.4,,-87.5,HD
Band 47,Band 28,28,,-100.2,-98.5,-95.5,-93.7,-91,FDD
,,47,,,,-90.4,,-87.5,HD
Band 47,Band 34,34,,,-100,-97,-95.2,,TDD
,,47,,,,-90.4,,-87.5,HD
Band 47,Band 39,39,,,-100,-97,-95.2,-94,TDD
,,47,,,,-90.4,,-87.5,HD
Band 47,Band 41,41,,,-98,-95,-93.2,-92,TDD
,,47,,,,-90.4,,-87.5,HD
Band 47,Band 71,71,,,-97.2,-94.2,-92,-87.5,FDD
,,47,,,,-90.4,,-87.5,HD
