E-UTRA CA Band,E-UTRA Band(Table 5.5-1)
CA_1-3-5,"1, 3, 5"
CA_1-3-3-5,"1, 3, 5"
CA_1-1-3-5,"1, 3, 5"
CA_1-1-3-7,"1, 3, 7"
CA_1-1-3-3-7,"1, 3, 7"
CA_1-1-3-7-7,"1, 3, 7"
CA_1-3-7,"1, 3, 7"
CA_1-3-3-7,"1, 3, 7"
CA_1-3-3-7-7,"1, 3, 7"
CA_1-3-7-7,"1, 3, 7"
CA_1-3-8,"1, 3, 8"
CA_1-3-3-8,"1, 3, 8"
CA_1-3-3-43,"1, 3, 43"
CA_1-3-11,"1, 3, 11"
CA_1-3-18,"1, 3, 18"
CA_1-3-19,"1, 3, 19"
CA_1-3-3-19,"1, 3, 19"
CA_1-3-20,"1, 3, 20"
CA_1-1-3-20,"1, 3, 20"
CA_1-1-3-3-20,"1, 3, 20"
CA_1-3-3-20,"1, 3, 20"
CA_1-3-21,"1, 3, 21"
CA_1-3-3-21,"1, 3, 21"
CA_1-3-26,"1, 3, 26"
CA_1-3-28,"1, 3, 28"
CA_1-3-3-28,"1, 3, 28"
CA_1-1-3-28,"1, 3, 28"
CA_1-1-3-3-28,"1, 3, 28"
CA_1-3-32,"1, 3, 32"
CA_1-3-38,"1, 3, 38"
CA_1-1-3-38,"1, 3, 38"
CA_1-3-40,"1, 3, 40"
CA_1-3-40-40,"1, 3, 40"
CA_1-3-41,"1, 3, 41"
CA_1-3-41-41,"1,3,41"
CA_1-3-42,"1, 3, 42"
CA_1-3-3-42,"1, 3, 42"
CA_1-3-42-42,"1, 3, 42"
CA_1-3-43,"1, 3, 43"
CA_1-3-46,"1, 3, 46"
CA_1-5-7,"1, 5, 7"
CA_1-5-7-7,"1, 5, 7"
CA_1-5-282,"1, 5, 28"
CA_1-5-40,"1, 5, 40"
CA_1-5-41,"1, 5, 41"
CA_1-5-46,"1, 5, 46"
CA_1-7-8,"1, 7, 8"
CA_1-7-7-8,"1, 7, 8"
CA_1-7-20,"1, 7, 20"
CA_1-1-7-20,"1, 7, 20"
CA_1-1-7-7-20,"1, 7, 20"
CA_1-7-7-20,"1, 7, 20"
CA_1-7-26,"1, 7, 26"
CA_1-7-7-26,"1, 7, 26"
CA_1-7-28,"1, 7, 28"
CA_1-7-32,"1, 7, 32"
CA_1-7-38,"1, 7, 38"
CA_1-1-7-38,"1, 7, 38"
CA_1-7-40,"1, 7, 40"
CA_1-7-40-40,"1, 7, 40"
CA_1-7-42,"1, 7, 42"
CA_1-7-46,"1, 7, 46"
CA_1-8-11,"1, 8, 11"
CA_1-8-20,"1, 8, 20"
CA_1-8-28,"1, 8, 28"
CA_1-8-32,"1, 8, 32"
CA_1-8-38,"1, 8, 38"
CA_1-8-40,"1, 8, 40"
CA_1-8-41,"1, 8, 41"
CA_1-8-41-41,"1,8,41"
CA_1-8-42,"1, 8, 42"
CA_1-11-18,"1, 11, 18"
CA_1-11-28,"1, 11, 28"
CA_1-11-42,"1, 11, 42"
CA_1-18-281,"1, 18, 28"
CA_1-18-41,"1, 18, 41"
CA_1-18-42,"1, 18, 42"
CA_1-19-21,"1, 19, 21"
CA_1-19-282,"1, 19, 28"
CA_1-19-42,"1, 19, 42"
CA_1-20-28,"1, 20, 28"
CA_1-1-20-28,"1, 20, 28"
CA_1-20-32,"1, 20, 32"
CA_1-20-38,"1, 20, 38"
CA_1-20-42,"1, 20, 42"
CA_1-20-43,"1, 20, 43"
CA_1-21-28,"1, 21, 28"
CA_1-21-42,"1, 21, 42"
CA_1-28-32,"1, 28, 32"
CA_1-28-38,"1, 28, 38"
CA_1-28-40,"1, 28, 40"
CA_1-28-40-40,"1, 28, 40"
CA_1-28-42,"1, 28, 42"
CA_1-32-38,"1, 32, 38"
CA_1-32-42,"1, 32, 42"
CA_1-32-43,"1, 32, 43"
CA_1-40-41,"1, 40, 41"
CA_1-41-42,"1, 41, 42"
CA_1-42-42,"1, 42, 42"
CA_1-42-43,"1, 42, 43"
CA_2-4-5,"2, 4, 5"
CA_2-2-4-5,"2, 4, 5"
CA_2-4-4-5,"2, 4, 5"
CA_2-4-12-12,"2, 4, 12"
CA_2-5-12-12,"2, 5, 12"
CA_2-2-5-7,"2, 5, 7"
CA_2-2-5-30,"2, 5, 30"
CA_2-5-46,"2, 5, 46"
CA_2-2-5-66,"2, 5, 66"
CA_2-2-7-12,"2, 7, 12"
CA_2-2-7-66,"2, 7, 66"
CA_2-7-66-66,"2, 7, 66"
CA_2-2-12-30,"2, 12, 30"
CA_2-2-12-66,"2, 12, 66"
CA_2-2-12-66-66,"2, 12, 66"
CA_2-2-13-66,"2, 13, 66"
CA_2-2-14-66-66,"2, 14, 66"
CA_2-2-30-66,"2, 30, 66"
CA_2-4-7,"2, 4, 7"
CA_2-4-7-7,"2, 4, 7"
CA_2-4-12,"2, 4, 12"
CA_2-2-4-12,"2, 4, 12"
CA_2-2-5-66-66,"2, 5, 66"
CA_2-4-4-12,"2, 4, 12"
CA_2-4-13,"2, 4, 13"
CA_2-4-28,"2, 4, 28"
