CentreFrequency Fc[MHz],Protected range[MHz],"Frequency difference f between centre frequency –5240 (for Fc=5180, 5200, 5220, 5240)5260 (for Fc=5260, 5280, 5300, 5320) (MHz)",Minimum requirement[dBm],Measurement bandwidth
"5180, 5200, 5220, 5240",5135 ≤ f ≤ 5142,-,-26,1 MHz
,5142 < f ≤ 5150,-,-18,
,5250 ≤ f < 5251,≥ 10 and < 11,10(10 - f),
,5251 ≤ f < 5260,≥ 11 and < 20,-10 – 8/9(f – 11),
,5260 ≤ f < 5266.7,≥ 20 and < 26.7,-18 – 1.2(f – 20),
,5266.7 ≤ f ≤ 5365,-,-26,
"5260, 5280, 5300, 5320",5135 ≤ f ≤ 5233.3,-,-26,
,5233.3 < f ≤ 5240,≥ 20 and < 26.7,-18 – 1.2(f – 20),
,5240 < f ≤ 5249,≥ 11 and < 20,-10 – 8/9(f – 11),
,5249 < f ≤ 5250,≥ 10 and < 11,10(10 - f),
,5350 ≤ f ≤ 5365,-,-26,
"5500, 5520, 5540, 5560, 5580, 5600, 5620, 5640, 5660, 5680, 5700",5455 ≤ f ≤ 5460,-,-26,
,5460 < f ≤ 5470,-,-19,
,5725 ≤ f < 5740,-,-19,
,5740 ≤ f ≤ 5745,-,-26,
