E-UTRA operating band combination,E-UTRA Band,"ΔRIB,c [dB]"
"CA_1-3, CA_1-1-3, CA_1-1-3-3, CA_1-3-3",1,0
,3,0
"CA_1-5, CA_1-1-5",1,0
,5,0
"CA_1-7, CA_1-1-7, CA_1-7-7 , CA_1-1-7-7",1,0
,7,0
CA_1-8,1,0
,8,0
CA_1-11,1,0
,11,0
CA_1-18,1,0
,18,0
CA_1-19,1,0
,19,0
"CA_1-20, CA_1-1-20",1,0
,20,0
CA_1-21,1,0
,21,0
CA_1-26,1,0
,26,0
"CA_1-28, CA_1-1-28",1,0
,28,0.2
CA_1-32,1,0
,32,0
"CA_1-38,CA_1-1-38",1,0
,38,0
CA_1-40CA_1-40-40,1,0
,40,0
"CA_1-418, CA_1-41-41",1,0
,41,0
"CA_1-42, CA_1-42-42",1,0
,42,0.5
CA_1-43,1,0
,43,0.5
CA_1-46,1,0
CA_1-68,1,0
,68,0.2
CA_1-71,1,0
,71,0.3
"CA_2-4, CA_2-2-4, CA_2-4-4, CA_2-2-4-4",2,0.3
,4,0.3
"CA_2-5, CA_2-2-5",2,0
,5,0
"CA_2-7, CA_2-2-7, CA_2-7-7, CA_2-2-7-7",2,0
,7,0
CA_2-8,2,0
,8,0
"CA_2-12, CA_2-2-12, CA_2-12-12, CA_2-2-12-12",2,0
,12,0
"CA_2-13, CA_2-2-13",2,0
,13,0
"CA_2-14, CA_2-2-14",2,0
,14,0
CA_2-17,2,0
,17,0.5
CA_2-26,2,0
,26,0
CA_2-28,2,0
,28,0
"CA_2-29, CA_2-2-29",2,0
"CA_2-30, CA_2-2-30",2,0.4
,30,0.5
CA_2-38,2,0
,38,0
"CA_2-46, CA_2-2-46",2,0
"CA_2-48, CA_2-48-48",2,0.2
,48,0.5
CA_2-49,2,0.2
"CA_2-66, CA_2-2-66, CA_2-66-66, CA_2-2-66-66, CA_2-66-66-66",2,0.3
,66,0.3
"CA_2-71, CA_2-2-71",2,0
,71,0
"CA_3-5,CA_3-3-5",3,0
,5,0
"CA_3-7, CA_3-3-7, CA_3-7-7, CA_3-3-7-7",3,0
,7,0
"CA_3-8, CA_3-3-8",3,0
,8,0
CA_3-11,3,0.3
,11,0.5
CA_3-18,3,0
,18,0
"CA_3-19, CA_3-3-19",3,0
,19,0
"CA_3-20, CA_3-3-20",3,0
,20,0
"CA_3-21, CA_3-3-21",3,0.3
,21,0.5
CA_3-26,3,0
,26,0
CA_3-27,3,0
,27,0
CA_3-28,3,0
,28,0
CA_3-31,3,0
,31,0.2
CA_3-32,3,0
,32,0
CA_3-38CA_3-3-38,3,0
,38,0
"CA_3-40, CA_3-40-40",3,0
,40,0
"CA_3-41, CA_3-3-41, CA_3-41-41",3,0
,41,010
,,0.511
"CA_3-42, CA_3-3-42, CA_3-42-42",3,0.2
,42,0.5
CA_3-43,3,0
,43,0.5
"CA_3-46, CA_3-3-46",3,0
CA_3-67,3,0
,67,0
CA_3-68,3,0
,68,0
CA_3-71,3,0
,71,0.3
"CA_4-5, CA_4-4-5",4,0
,5,0
"CA_4-7, CA_4-4-7, CA_4-7-7",4,0.5
,7,0.5
"CA_4-12, CA_4-4-12, CA_4-12-12, CA_4-4-12-12",4,0
,12,0.5
"CA_4-13, CA_4-4-13",4,0
,13,0
CA_4-17,4,0
,17,0.5
CA_4-27,4,0
,27,0
CA_4-28,4,0
,28,0.2
"CA_4-29, CA_4-4-29",4,0
"CA_4-30, CA_4-4-30",4,0.4
,30,0.5
CA_4-46,4,0
CA_4-48,4,0
,48,0.5
"CA_4-71, CA_4-4-71",4,0
,71,0
"CA_5-7, CA_5-7-7",5,0
,7,0
"CA_5-12, CA_5-12-12",5,0.5
,12,0.3
CA_5-13,5,0
,13,0
CA_5-17,5,0.5
,17,0.3
CA_5-25,5,0
,25,0
CA_5-28,5,0
,28,0
CA_5-29,5,0
CA_5-30,5,0
,30,0
CA_5-38,5,0
,38,0
"CA_5-40, CA_5-5-40, CA_5-40-40",5,0
,40,0
CA_5-41,5,0
,41,0
CA_5-48,5,0
,48,0
"CA_5-66, CA_5-5-66, CA_5-66-66, CA_5-5-66-66",5,0
,66,0
"CA_7-8, CA_7-7-8",7,0
,8,0.2
CA_7-12,7,0
,12,0
CA_7-13,7,0
,13,0
"CA_7-20,CA_7-7-20",7,0
,20,0
CA_7-22,7,0
,22,0.5
CA_7-25,7,0
,25,0
"CA_7-26, CA_7-7-26",7,0
,26,0
"CA_7-28,CA_7-7-28",7,0
,28,0
"CA_7-29,CA_7-7-29",7,0
CA_7-30,7,0.5
,30,0.5
CA_7-32,7,0
,32,0
CA_7-40CA_7-40-40,7,0
,40,0.5
"CA_7-42, CA_7-42-42",7,0
,42,0.5
"CA_7-46, CA_7-7-46",7,0
"CA_7-66, CA_7-7-66, CA_7-66-66, CA_7-7-66-66",7,0.5
,66,0.5
CA_7-68,7,0
,68,0
CA_8-11,8,0
,11,0
CA_8-20,8,0
,20,0
CA_8-27,8,0.3
,27,0.3
CA_8-2813,8,0.2
,28,0.1
CA_8-32,8,0
,32,0
CA_8-38,8,0
,38,0
CA_8-39,8,0
,39,0
CA_8-40,8,0
,40,0
"CA_8-41,CA_8-41-41",8,0
,41,0
CA_8-42,8,0.2
,42,0.5
CA_8-46,8,0
CA_8-48,8,0.2
,48,0.5
CA_8-68,8,0.2
,68,0.1
CA_8-71,8,0.8
,71,0.8
CA_11-18,11,0
,18,0
CA_11-26,11,0
,26,0
CA_11-28,11,0
,28,0.2
CA_11-41,11,0
,41,0
CA_11-42,11,0
,42,0.5
CA_11-46,11,0
CA_12-25,12,0
,25,0
CA_12-30,12,0
,30,0
CA_12-46,12,0
,46,0
CA_12-48,12,0
,48,0
"CA_12-66, CA_12-66-66",12,0.5
,66,0
CA_12-71,12,0.8
,71,0.8
"CA_13-46,CA_13-46-46",13,0
"CA_13-48, CA_13-48-48",13,0
,48,0
"CA_13-66, CA_13-66-66",13,0
,66,0
CA_14-30,14,0
,30,0
"CA_14-66, CA_14-66-66, CA_14-66-66-66",14,0
,66,0
CA_18-289,18,0
,28,0
CA_18-41,18,0
,41,0
CA_18-42,18,0
,42,0.5
CA_19-21,19,0
,21,0
CA_19-289,19,0
,28,0
CA_19-42,19,0
,42,0.5
CA_19-46,19,0
CA_20-28,20,0
,28,0
CA_20-31,20,0
,31,0
CA_20-32,20,0
CA_20-38,20,0
,38,0
"CA_20-40, CA_20-40-40",20,0
,40,0
CA_20-41,20,0
,41,0
"CA_20-42, CA_20-42-42",20,0
,42,0.5
CA_20-43,20,0
,43,0.5
CA_20-67,20,0
CA_20-68,20,0
,68,0
CA_20-75,20,0
CA_20-76,20,0
CA_21-28,21,0
,28,0
CA_21-42,21,0
,42,0.5
CA_21-46,21,0
CA_23-29,23,0
"CA_25-26, CA_25-25-26",25,0
,26,0
"CA_25-41, CA_25-25-41",25,0
,41,010
,,0.511
CA_25-46,25,0
,46,0
CA_25-66,25,0.3
,66,0.3
CA_26-38,26,0
,38,0
CA_26-41,26,0
,41,0
CA_26-46,26,0
"CA_26-48, CA_26-48-48",26,0
,48,0
CA_26-66,26,0
,66,0
CA_28-32,28,0
CA_28-38,28,0
,38,0
CA_28-40CA_28-40-40,28,0
,40,0
CA_28-41,28,0
,41,0
"CA_28-42,CA_28-42-42",28,0.2
,42,0.5
