E-UTRA CA configuration / Bandwidth combination set,,,,,,,,,,
E-UTRA CA Configuration,Uplink CA configurations (NOTE 5),E-UTRA Bands,1.4MHz,3MHz,5MHz,10MHz,15MHz,20MHz,Maximum aggregated bandwidth[MHz],Bandwidth combination set
CA_1A-3A-5A-7A-28A,-,1,,,Yes,Yes,Yes,,85,0
,,3,,,Yes,Yes,Yes,Yes,,
,,5,,,Yes,Yes,,,,
,,7,,,,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-5A-7A-7A-28A,-,1,,,Yes,Yes,Yes,Yes,110,0
,,3,Yes,Yes,Yes,Yes,Yes,Yes,,
,,5,Yes,Yes,Yes,Yes,,,,
,,7,See CA_7A-7A Bandwidth Combination Set 1 in Table 5.6A.1-3,,,,,,,
,,28,,Yes,Yes,Yes,Yes,Yes,,
CA_1A-3A-7A-8A-20A,-,1,,,Yes,Yes,Yes,Yes,90,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
,,20,,,,Yes,Yes,Yes,,
CA_1A-3A-7A-8A-28A,-,1,,,Yes,Yes,Yes,Yes,90,0
,,3,Yes,Yes,Yes,Yes,Yes,Yes,,
,,7,,,Yes,Yes,Yes,Yes,,
,,8,Yes,Yes,Yes,Yes,,,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-7A-8A-32A,-,1,,,Yes,Yes,Yes,Yes,90,0
,,3,Yes,Yes,Yes,Yes,Yes,Yes,,
,,7,,,Yes,Yes,Yes,Yes,,
,,8,Yes,Yes,Yes,Yes,,,,
,,32,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-7A-8A-38A8,CA_1A-3ACA_1A-8ACA_3A-8A,1,,,Yes,Yes,Yes,Yes,90,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,Yes,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-7A-8A-40A,-,1,,,Yes,Yes,Yes,Yes,90,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,Yes,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
,,40,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-7A-8A-40C,-,1,,,Yes,Yes,Yes,Yes,110,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,Yes,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
,,40,See CA_40C Bandwidth combination set 1 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-7A-20A-28A7,-,1,,,Yes,Yes,Yes,Yes,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,,Yes,Yes,Yes,,
,,20,,,,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-7C-20A-28A7,-,1,,,Yes,Yes,Yes,Yes,120,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,See CA_7C Bandwidth Combination Set 2 in Table 5.6A.1-1,,,,,,,
,,20,,,,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-7A-20A-32A,-,1,,,Yes,Yes,Yes,Yes,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,,Yes,Yes,Yes,,
,,20,,,Yes,Yes,Yes,Yes,,
,,32,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-7A-20A-38A9,CA_1A-3ACA_1A-20ACA_3A-20A,1,,,Yes,Yes,Yes,Yes,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,,Yes,Yes,Yes,,
,,20,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-7C-20A-38A9,-,1,,,Yes,Yes,Yes,Yes,120,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,See CA_7C Bandwidth Combination Set 2 in Table 5.6A.1-1,,,,,,,
,,20,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-7A-20A-42A,-,1,,,Yes,Yes,Yes,Yes,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,,Yes,Yes,Yes,,
,,20,,,Yes,Yes,Yes,Yes,,
,,42,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-7A-28A-32A,CA_7A-28A,1,,,Yes,Yes,Yes,Yes,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,,Yes,Yes,Yes,,
,,28,,Yes,Yes,Yes,Yes,Yes,,
,,32,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-7A-28A-38A10,-,1,,,Yes,Yes,Yes,Yes,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-7C-28A-38A10,-,1,,,Yes,Yes,Yes,Yes,120,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,See CA_7C Bandwidth Combination Set 2 in Table 5.6A.1-1,,,,,,,
,,28,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-7A-28A-40A,CA_1A-3ACA_1A-7ACA_1A-28ACA_1A-40ACA_3A-7ACA_3A-28ACA_3A-40ACA_7A-28ACA_7A-40ACA_28A-40A,1,,,Yes,Yes,Yes,Yes,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,Yes,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
,,40,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-8A-11A-28A,-,1,,,Yes,Yes,Yes,Yes,80,0
,,3,,,Yes,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
,,11,,,Yes,Yes,,,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-8A-20A-28A,-,1,,,Yes,Yes,Yes,Yes,90,0
,,3,Yes,Yes,Yes,Yes,Yes,Yes,,
,,8,Yes,Yes,Yes,Yes,,,,
,,20,,,Yes,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
