E-UTRA Band / Channel bandwidth / NRB / Duplex mode,,,,,,,,,,Source of IMD
EUTRA CA,EUTRA CA,EUTRA band,UL Fc,UL BW,UL,DL Fc,DL BW,MSD,Duplex mode,
DL Configuration,UL Configuration,,(MHz),(MHz),CLRB,(MHz),(MHz),(dB),,
CA_1A-3A-28A,CA_1A-28A,1,1975,5,25,2165,5,N/A,FDD,N/A
,,28,710.5,5,25,765.5,5,N/A,,N/A
,,3,1723.5,5,25,1818.5,5,4.0,,IMD5
,CA_3A-28A,3,1780,5,25,1875,5,N/A,FDD,N/A
,,28,710.5,5,25,765.5,5,N/A,,N/A
,,1,1949,5,25,2139,5,11.0,,IMD4
CA_1A-3A-32ACA_1A-3C-32A,CA_1A-3A,1,1960,5,25,2510,5,N/A,FDD,N/A
,,3,1720,5,25,1815,5,N/A,,N/A
,,32,N/A,N/A,25,1480,5,15.2,,IMD3
CA_1A-3A-40A,CA_1A-3A,1,1950,5,25,2140,5,N/A,FDD,N/A
,,3,1735,5,25,1830,5,N/A,FDD,N/A
,,40,2380,5,25,2380,5,8.0,TDD,IMD5
CA_1A-3A-41A,CA_1A-3A,1,1977.5,5,25,2167.5,5,N/A,FDD,N/A
,,3,1712.5,5,25,1807.5,5,N/A,FDD,N/A
,,41,2507.5,5,25,2507.5,5,5.0,TDD,IMD5
CA_1A-3A-42A,CA_1A-3A,1,1922.5,5,25,2112.5,5,N/A,FDD,N/A
,,3,1782.5,5,25,1877.5,5,N/A,FDD,N/A
,,42,,,,3425,5,13.0,TDD,IMD4
CA_1A-5A-7A,CA_1A-7A,1,1968,5,25,2158,5,N/A,FDD,N/A
,,7,2512,10,50,2632,10,N/A,,N/A
,,5,835,5,25,880,5,1.0,,IMD5
CA_1A-5A-40A,CA_1A-5A,1,1977.5,5,25,2167.5,5,N/A,FDD,N/A
,,5,826.5,5,25,871.5,5,N/A,FDD,N/A
,,40,2305,10,50,2305,10,9.0,TDD,IMD4
CA_1A-7A-26A,CA_1A-7A,1,1965,5,25,2155,5,N/A,FDD,N/A
,,7,2510,10,50,2630,10,N/A,,N/A
,,26,830,5,50,875,5,3.5,,IMD5
CA_1A-7A-28A,CA_1A-7A,1,1935,5,25,2125,5,N/A,FDD,N/A
,,7,2510,10,50,2630,10,N/A,,N/A
,,28,730,10,50,785,10,4.5,,IMD5
,CA_1A-28A,1,1935,5,25,2125,5,N/A,FDD,N/A
,,28,730,10,50,785,10,N/A,,N/A
,,7,2545,10,50,2665,10,28.0,,IMD2
CA_1A-7A-32ACA_1A-7C-32A,CA_1A-7A,1,1977.5,5,25,2167.5,5,N/A,FDD,N/A
,,7,2502.5,5,25,2622.5,5,N/A,,N/A
,,32,N/A,N/A,N/A,1454.5,5,15.2,,IMD34
CA_1A-7A-40A CA_1A-7A-40CCA_1A-7A-40D CA_1A-7A-40A-40A,CA_1A-40A,1,1970,5,25,2160,5,N/A,FDD,N/A
,,7,N/A,5,N/A,2630,5,23,FDD,IMD3
,,40,2390,5,25,2390,5,N/A,TDD,N/A
,CA_7A-40A,1,N/A,5,N/A,2120,5,16.4,FDD,IMD37
,,7,2530,5,25,2650,5,N/A,FDD,N/A
,,40,2310,5,25,2310,5,N/A,TDD,N/A
CA_1A-8A-11ACA_1A-8B-11A,CA_8A-11A,1,1930,5,25,2120,5,3.2,FDD,IMD5
,,8,890,5,25,935,5,N/A,FDD,N/A
,,11,1440,5,25,1488,5,N/A,FDD,N/A
CA_1A-8A-20A,CA_1A-8A,1,1925,5,25,2115,5,N/A,FDD,N/A
,,8,910,5,25,955,5,N/A,,N/A
,,20,846,5,25,805,5,11.5,,IMD4
CA_1A-28A-40A CA_1A-28A-40CCA_1A-28A-40D CA_1A-28A-40A-40A,CA_1A-28A,1,1930,5,25,2120,5,N/A,FDD,N/A
,,28,743,5,25,798,5,N/A,FDD,N/A
,,40,N/A,5,N/A,2374,5,10.1,TDD,IMD4
,CA_1A-40A,1,1930,5,25,2120,5,N/A,FDD,N/A
,,28,N/A,5,N/A,768,5,8.6,FDD,IMD4
,,40,2314,5,25,2314,5,N/A,TDD,N/A
CA_1A-28A-42A,CA_1A-28A,1,1955,5,25,2145,5,N/A,FDD,N/A
,,28,735,5,25,790,5,N/A,FDD,N/A
,,42,3425,5,25,3425,5,15.0,TDD,IMD3
,CA_28A-42A,28,710.5,5,25,765.5,5,N/A,FDD,N/A
,,42,3560,5,25,3560,5,N/A,TDD,N/A
,,1,1949,5,25,2139,5,11.0,FDD,IMD3
CA_1A-8A-41A-41A,CA_1A-41A,1,1977,5,25,2167,5,N/A,FDD,N/A
,,8,886,5,25,931,5,4.5,FDD,IMD5
,,41,2500,5,25,2500,5,N/A,TDD,N/A
