Network Signalling value,Requirements (subclause),E-UTRA Band,Narrowband bandwidth,Resources Blocks (NRB),A-MPR (dB)
NS_01,6.6.2.1.1,Table 5.5-1,"1.4, 3, 5",Table 5.6-1,N/A
NS_03,6.6.2.2.1,"2, 4","3,5",Table 6.2.4-1,
NS_04,6.6.2.2.2,41,5,Table 6.2.4-1,
NS_05,6.6.3.3.1,1,"1.4, 3, 5",Table 6.2.4-18E,
NS_06,6.6.2.2.3,"12, 13, 14, 85","1.4, 3, 5",Table 5.6-1,N/A
NS_07,6.6.2.2.36.6.3.3.2,13,,[TBD],
NS_08,6.6.3.3.3,19,"1.4, 3, 5",Table 5.6-1,N/A
NS_09,6.6.3.3.4,21,"1.4, 3, 5",Table 5.6-1,N/A
NS_10,,20,"1.4, 3, 5",Table 5.6-1,N/A
NS_12,6.6.3.3.5,26,"1.4, 3, 5",Table 6.2.4-1,
NS_13,6.6.3.3.6,26,5,Table 6.2.4-1,
NS_14,6.6.3.3.7,26,N/A,Table 5.6-1,N/A
NS_15,6.6.3.3.8,26,"1.4, 3, 5",Table 5.6-1,
NS_16,6.6.3.3.9,27,"3,5",Table 6.2.4-1,
NS_17,6.6.3.3.10,28,5,Table 6.2.4-1,
NS_18,6.6.3.3.11,28,5,Table 6.2.4-1,
NS_22,6.6.3.3.16,"42, 43","1.4, 3, 5",Table 5.6-1,N/A
NS_23,6.6.3.3.17,"42, 43","1.4, 3, 5",Table 5.6-1,N/A
NS_27,"6.6.2.2.5,6.6.3.3.23",48,"1.4, 3, 5",Table 5.6-1,N/A
NS_32,-,-,,-,-
NS_35,6.6.2.2.7,71,"1.4, 3, 5",Table 5.6-1,N/A
NS_56,6.6.3.3.35,24,5,Table 6.2.4-1,NS_56
NS_62,6.6.3.3.36,54,"1.4, 3, 5",N/A,
