E-UTRA Band,REFSENS (dBm),Duplex Mode
1,-102.2,FDD
2,-100.2,FDD
3,-99.2,FDD
4,-102.2,FDD
5,-100.7,FDD
7,-100.2,FDD
8,-99.7,FDD
11,-102.23,FDD
12,-99.2,FDD
13,-98.7,FDD
14,-98.7,FDD
18,-102.24,FDD
19,-102.2,FDD
20,-99.7,FDD
21,-102.23,FDD
24,-102.7,FDD
25,-98.7,FDD
26,-100.2,FDD
27,-100.7,FDD
28,-100.7,FDD
31,-96.5,FDD
…,,
39,-103.7,TDD
40,-103.7,TDD
41,-101.7,TDD
42,-102.7,TDD
43,-102.7,TDD
48,-102.7,TDD
…,,
54,-103.7,TDD
…,,
71,99.4,FDD
72,-96.5,FDD
73,-96.5,FDD
74,-101.78,FDD
85,-99.2,FDD
87,-96.5,FDD
88,-96.5,FDD
106,-99.7,FDD
111,-96.5,FDD
"NOTE 1:The transmitter shall be set to PUMAX as defined in subclause 6.2.5NOTE 2:Reference measurement channel is A.3.2 with one sided dynamic OCNG Pattern OP.1 FDD/TDD as described in Annex A.5.1.1/A.5.2.1NOTE 3:For the UE which supports both Band 11 and Band 21 the reference sensitivity level is FFS.NOTE 4:For a UE that support both Band 18 and Band 26, the reference sensitivity level for Band 26 applies for the applicable channel bandwidths.NOTE 5:  For cat M1 the same reference sensitivity requirement applies for all applicable channel bandwidths (Table 5.6.1-1)NOTE 6:  The reference receive sensitivity shall be met for an uplink transmission bandwidth less than or equal to 6 RB except for band 31 and 72. For band 31 and 72; in the case of 3 MHz channel bandwidth 5 RB applies and the UL resource blocks shall be located at RBstart 9. In case of 5 MHz channel bandwidth 5 RB applies and the UL resource blocks shall be located at RBstart 10.NOTE 7:The UL resource blocks shall be located as close as possible to the downlink operating band but confined within the transmission bandwidth configuration for the channel bandwidth.NOTE 8:8 indicates that the requirement is modified by -0.5 dB when the assigned E-UTRA channel bandwidth is confined within 1475.9-1510.9 MHz.",,
