E-UTRA CA Band,E-UTRA Band(Table 5.5-1)
CA_1-3,"1, 3"
CA_1-1-3,"1, 3"
CA_1-1-3-3,"1, 3"
CA_1-3-3,"1, 3"
CA_1-5,"1, 5"
CA_1-1-5,"1, 5"
CA_1-7,"1, 7"
CA_1-1-7,"1, 7"
CA_1-7-7,"1, 7"
CA_1-1-7-7,"1, 7"
CA_1-8,"1, 8"
CA_1-11,"1, 11"
CA_1-18,"1, 18"
CA_1-19,"1, 19"
CA_1-20,"1, 20"
CA_1-1-20,"1, 20"
CA_1-21,"1, 21"
CA_1-26,"1, 26"
CA_1-28,"1, 28"
CA_1-1-28,"1, 28"
CA_1-32,"1, 32"
CA_1-38,"1, 38"
CA_1-1-38,"1, 38"
CA_1-40,"1, 40"
CA_1-40-40,"1, 40"
CA_1-41,"1, 41"
CA_1-41-41,"1, 41"
CA_1-42,"1, 42"
CA_1-42-42,"1, 42"
CA_1-43,"1, 43"
CA_1-46,"1, 46"
CA_2-4,"2, 4"
CA_2-2-4,"2, 4"
CA_2-2-4-4,"2, 4"
CA_2-4-4,"2, 4"
CA_2-5,"2, 5"
CA_2-2-5,"2, 5"
CA_2-7,"2, 7"
CA_2-2-7,"2, 7"
CA_2-2-7-7,"2, 7"
CA_2-7-7,"2, 7"
CA_2-8,"2, 8"
CA_2-12,"2, 12"
CA_2-2-12,"2, 12"
CA_2-2-12-12,"2, 12"
CA_2-12-12,"2, 12"
CA_2-13,"2, 13"
CA_2-2-13,"2, 13"
CA_2-14,"2, 14"
CA_2-2-14,"2, 14"
CA_2-17,"2, 17"
CA_2-26,"2, 26"
CA_2-28,"2, 28"
CA_2-29,"2, 29"
CA_2-2-29,"2, 29"
CA_2-30,"2, 30"
CA_2-2-30,"2, 30"
CA_2-46,"2, 46"
CA_2-2-46,"2, 46"
CA_2-46-46,"2, 46"
CA_2-48,"2, 48"
CA_2-48-48,"2, 48"
CA_2-49,"2, 49"
CA_2-66,"2, 66"
CA_2-2-66,"2, 66"
CA_2-2-66-66,"2, 66"
CA_2-66-66,"2, 66"
CA_2-66-66-66,"2, 66"
CA_2-71,"2, 71"
CA_2-2-71,"2, 71"
CA_3-5,"3, 5"
CA_3-3-5,"3, 5"
CA_3-7,"3, 7"
CA_3-3-7,"3, 7"
CA_3-3-7-7,"3, 7"
CA_3-7-7,"3, 7"
CA_3-8,"3, 8"
CA_3-3-8,"3, 8"
CA_3-11,"3, 11"
CA_3-18,"3, 18"
CA_3-19,"3, 19"
CA_3-3-19,"3, 19"
CA_3-20,"3, 20"
CA_3-3-20,"3, 20"
CA_3-21,"3, 21"
CA_3-3-21,"3, 21"
CA_3-26,"3, 26"
CA_3-27,"3, 27"
CA_3-28,"3, 28"
CA_3-3-28,"3, 28"
CA_3-31,"3, 31"
CA_3-32,"3, 32"
CA_3-38,"3, 38"
CA_3-40,"3, 40"
CA_3-40-40,"3, 40"
CA_3-41,"3, 41"
CA_3-3-41,"3, 41"
CA_3-41-41,"3, 41"
CA_3-42,"3, 42"
CA_3-3-42,"3, 42"
CA_3-42-42,"3, 42"
CA_3-43,"3, 43"
CA_3-46,"3, 46"
CA_3-3-46,"3, 46"
CA_3-69,"3, 69"
CA_4-5,"4, 5"
CA_4-4-5,"4, 5"
CA_4-7,"4, 7"
CA_4-4-7,"4, 7"
CA_4-7-7,"4, 7"
CA_4-12,"4, 12"
CA_4-4-12,"4, 12"
CA_4-4-12-12,"4, 12"
CA_4-12-12,"4, 12"
CA_4-13,"4, 13"
CA_4-4-13,"4, 13"
CA_4-17,"4, 17"
CA_4-27,"4, 27"
CA_4-28,"4, 28"
CA_4-29,"4, 29"
CA_4-4-29,"4, 29"
CA_4-30,"4, 30"
CA_4-4-30,"4, 30"
CA_4-46,"4, 46"
CA_4-46-46,"4, 46"
CA_4-48,"4, 48"
CA_4-71,"4, 71"
CA_4-4-71,"4, 71"
CA_5-7,"5, 7"
CA_5-7-7,"5, 7"
CA_5-12,"5, 12"
CA_5-12-12,"5, 12"
CA_5-13,"5 ,13"
CA_5-17,"5, 17"
CA_5-25,"5, 25"
CA_5-28,"5, 28"
CA_5-29,"5, 29"
CA_5-30,"5, 30"
CA_5-38,"5, 38"
CA_5-40,"5, 40"
CA_5-5-40,"5, 40"
CA_5-40-40,"5, 40"
CA_5-41,"5, 41"
CA_5-46,"5, 46"
CA_5-48,"5, 48"
CA_5-66,"5, 66"
CA_5-5-66,"5, 66"
CA_5-66-66,"5, 66"
CA_5-5-66-66,"5, 66"
CA_7-8,"7, 8"
CA_7-7-8,"7, 8"
CA_7-12,"7, 12"
CA_7-13,"7, 13"
CA_7-7-13,"7, 13"
CA_7-20,"7, 20"
CA_7-7-20,"7, 20"
CA_7-22,"7, 22"
CA_7-25,"7, 25"
CA_7-26,"7, 26"
CA_7-7-26,"7, 26"
CA_7-28,"7, 28"
CA_7-7-28,"7, 28"
CA_7-29,"7, 29"
CA_7-7-29,"7,29"
