,,E-UTRA CA configuration / Bandwidth combination set,,,,,,
E-UTRA CA configuration,Uplink CA configurations(NOTE 3),Component carriers in order of increasing carrier frequency,,,,,Maximum aggregated bandwidth [MHz],Bandwidth combination set
,,Channel bandwidths for carrier [MHz],Channel bandwidths for carrier [MHz],Channel bandwidths for carrier [MHz],Channel bandwidths for carrier [MHz],Channel bandwidths for carrier [MHz],,
CA_1C,CA_1C,15,15,,,,40,0
,,20,20,,,,,
,,"5, 10, 15",20,,,,40,1
,,20,"5, 10, 15, 20",,,,,
CA_2C,CA_2C,5,20,,,,40,0
,,10,"15, 20",,,,,
,,15,"10, 15, 20",,,,,
,,20,"5, 10, 15, 20",,,,,
CA_3B,,5,3,,,,10,0
,,"3, 5",5,,,,,
CA_3C,CA_3C,"5, 10, 15",20,,,,40,0
,,20,"5, 10, 15, 20",,,,,
CA_5B,CA_5B,"5, 10",10,,,,20,0
,,10,5,,,,,
CA_7B,,15,5,,,,20,0
CA_7C,CA_7C,15,15,,,,40,0
,,20,20,,,,,
,,10,20,,,,40,1
,,15,"15, 20",,,,,
,,20,"10, 15, 20",,,,,
,,15,"10, 15",,,,40,2
,,20,"15, 20",,,,,
CA_8B,CA_8B,"5,10",10,,,,20,0
,,10,5,,,,,
,,10,"3, 5",,,,15,1
,,"3, 5",10,,,,,
CA_12B,-,5,"5, 10",,,,15,0
CA_23B,-,10,10,,,,20,0
,,5,15,,,,,
CA_27B,-,"1.4, 3, 5",5,,,,13,0
,,"1.4, 3",10,,,,,
CA_28C,CA_28C,5,20,,,,30,0
,,10,"15, 20",,,,,
,,15,"10, 15",,,,,
,,20,"5, 10",,,,,
CA_38C,CA_38C,15,15,,,,40,0
,,20,20,,,,,
CA_39C,CA_39C,"5,10,15",20,,,,35,0
,,20,"5, 10, 15",,,,,
CA_40C,CA_40C,10,20,,,,40,0
,,15,15,,,,,
,,20,"10, 20",,,,,
,,"10, 15",20,,,,40,1
,,15,15,,,,,
,,20,"10, 15, 20",,,,,
CA_40D,CA_40C CA_40D,"10, 15, 20",20,20,,,60,0
,,20,"10, 15",20,,,,
,,20,20,"10, 15",,,,
,,"15, 20","15, 20","15, 20",,,60,1
CA_40E,CA_40C,"15, 20","15, 20","15, 20",20,,80,0
CA_40F,CA_40C,"15, 20","15, 20","15, 20",20,20,100,0
CA_41C5,CA_41C,10,20,,,,40,0
,,15,"15, 20",,,,,
,,20,"10, 15, 20",,,,,
,,"5, 10",20,,,,40,1
,,15,"15, 20",,,,,
,,20,"5, 10, 15, 20",,,,,
,,10,"15, 20",,,,40,2
,,15,"10, 15, 20",,,,,
,,20,"10, 15, 20",,,,,
,,10,20,,,,40,3
,,20,20,,,,,
CA_41D,CA_41C CA_41D,10,20,15,,,60,0
,,10,"15, 20",20,,,,
,,15,20,"10, 15",,,,
,,15,"10, 15, 20",20,,,,
,,20,"15, 20",10,,,,
,,20,"10, 15, 20","15, 20",,,,
CA_41E,CA_41C CA_41D,"15, 20","15, 20","15, 20",20,,80,0
CA_41F,CA_41C CA_41D,"10,15, 20","15, 20",20,20,20,100,0
CA_42C5,CA_42C,"5, 10, 15, 20",20,,,,40,0
,,20,"5, 10, 15",,,,,
,,"10, 15, 20",20,,,,40,1
,,20,"10, 15",,,,,
CA_42D,CA_42C,"5,10,15,20",20,20,,,60,0
,,20,20,"5,10,15",,,,
,,"10, 15, 20",20,20,,,60,1
,,20,20,"10, 15",,,,
CA_42E,CA_42C,"5,10,15,20",20,20,20,,80,0
,,20,20,20,"5,10,15",,,
CA_42F,CA_42C,"5, 10, 15, 20",20,20,20,20,100,0
,,20,20,20,20,"5, 10, 15, 20",,
CA_43C,-,5,20,,,,40,0
,,10,"15, 20",,,,,
,,15,"10, 15, 20",,,,,
,,20,"5, 10, 15, 20",,,,,
CA_46C4,-,20,20,,,,40,0
,,20,"10, 20",,,,40,1
,,"10, 20",20,,,,,
CA_46D 4,-,20,20,20,,,60,0
,,20,20,"10, 20",,,60,1
,,"10, 20",20,20,,,,
CA_46E 4,-,20,20,20,20,,80,0
,,20,20,20,"10, 20",,80,1
,,10,20,20,20,,,
CA_48B,CA_48B,10,10,,,,20,0
