E-UTRA CA Configuration,Spurious emission,,,,,,
,Protected band,Frequency range (MHz),,,Maximum Level (dBm),MBW (MHz),NOTE
CA_1,"E-UTRA Band 1, 7, 8, 11, 18, 19, 20, 21, 22, 26, 27, 28, 31, 32, 38, 40, 41, 42, 43, 44, 50, 51, 52, 65, 67, 72, 73, 74, 75, 76NR Band n78, n79, n100, n101",FDL_low,-,FDL_high,-50,1,
,E-UTRA Band 3,FDL_low,-,FDL_high,-50,1,10
,NR Band n77,FDL_low,-,FDL_high,-50,1,2
CA_2,"E-UTRA Band 4, 5,  12, 13, 14, 17, 24, 26, 27, 28, 29, 30, 41, 42, 50, 51, 53, 54, 66, 70, 71, 74, 85, 103, 106NR Band n105",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 2, 25",FDL_low,-,FDL_high,-50,1,10
,"E-UTRA Band 43, 48NR Band n77",FDL_low,-,FDL_high,-50,1,2
CA_3,"E-UTRA Band 1, 7, 8, 20, 26, 27, 28, 31, 32, 33, 34, 38, 40, 41, 43, 44, 50, 51, 65, 67, 72, 73, 74, 75, 76NR Band n79, n100, n101",FDL_low,-,FDL_high,-50,1,
,E-UTRA Band 3,FDL_low,-,FDL_high,-50,1,10
,"E-UTRA Band 22, 42, 52NR Band n77, n78",FDL_low,-,FDL_high,-50,1,2
CA_5,"E-UTRA Band 1, 2, 3, 4, 5, 7, 8,  12, 13, 14, 17, 24, 25, 28, 29, 30, 31, 34, 38, 40, 42, 43, 45, 48, 65, 66, 70, 71, 85, 103",FDL_low,-,FDL_high,-50,1,
,"E-UTRA band 52, 53, 54NR Band n77, n78,n79",FDL_low,-,FDL_high,-50,1,2
CA_7,"E-UTRA Band 1, 3, 7, 8, 20, 22, 27, 28, 29, 30. 31, 32, 33, 34, 40, 42, 43, 50, 51, 52, 65, 67, 72, 74, 75, 76NR Band n77, n78, n100, n101",FDL_low,-,FDL_high,-50,1,
CA_8,"E-UTRA Band 1, 20, 28, 31, 32, 33, 34, 38, 39, 40, 50, 54, 51, 72, 73, 74, 75, 76NR Band n101",FDL_low,-,FDL_high,-50,1,
,E-UTRA band 3,FDL_low,-,FDL_high,-50,1,2
,E-UTRA band 7,FDL_low,-,FDL_high,-50,1,2
,E-UTRA Band 8,FDL_low,-,FDL_high,-50,1,10
,"E-UTRA Band 22, 41, 42, 43, 52NR Band n77, n78,n79",FDL_low,,FDL_high,-50,1,2
CA_28,"E-UTRA Band 1, 4, 22, 32, 42, 43, 50, 51, 65, 66, 74, 75, 76NR Band n77, n78, n109",FDL_low,-,FDL_high,-50,1,2
,E-UTRA Band 1,FDL_low,-,FDL_high,-50,1,"19, 25"
,"E-UTRA Band 2, 3, 5, 7, 8, 18, 19, 20, 25, 26, 27, 31, 34, 38, 39, 40, 41, 52, 72, 73, 87, 88NR Band n79, n100, n101, n105",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 11, 21",FDL_low,-,FDL_high,-50,1,"19, 24"
,Frequency range,470,-,694,-42,8,"15, 35"
,Frequency range,470,-,710,-26.2,6,34
,Frequency range,662,-,694,-26.2,6,15
,Frequency range,758,-,773,-32,1,15
,Frequency range,773,-,803,-50,1,
,,,,,,,
CA_38,"E-UTRA Band 1,3, 8, 20, 22, 27, 28, 29, 30, 31, 32, 33, 34, 40, 42, 43, 50, 51, 52, 65, 67, 72, 74, 75, 76NR Band n100, n101",FDL_low,-,FDL_high,-50,1,
CA_39,"E-UTRA Band 22, 34, 40, 41, 42, 44, 50, 51, 52, 73, 74NR Band n79",FDL_low,-,FDL_high,-50,1,
,"NR Band n77, n78",FDL_low,-,FDL_high,-50,1,2
CA_40,"E-UTRA Band 1, 3, 5, 7, 8, 11, 18, 19, 20, 21, 22, 26, 27, 28, 31, 32, 33, 34, 38, 39, 41, 42, 43, 44, 50, 51, 52, 65, 67, 72, 73, 74, 75, 76NR Band n77, n78, n100, n101",FDL_low,-,FDL_high,-50,1,
,NR Band n79,FDL_low,-,FDL_high,-50,1,2
,,,,,,,
CA_41,"E-UTRA Band 1, 2, 3, 4, 5, 8,  12, 13, 14, 17, 24, 25, 26, 27, 28, 29, 30, 34, 39, 40, 42, 44, 50, 51, 52, 54, 65, 66, 70, 71, 73, 74, 85, 103NR Band n77, n78",FDL_low,-,FDL_high,-50,1,
,NR Band n79,FDL_low,-,FDL_high,-50,1,2
CA_42,"E-UTRA Band 1, 2, 3, 4, 5, 7, 8,  11, 18, 19, 20, 21, 25, 26, 27, 28, 31, 32, 33, 34, 38, 40, 41, 44, 50, 51, 65, 66, 67, 72, 73, 74, 75, 76NR Band n79, n100, n101",FDL_low,-,FDL_high,-50,1,
,,,,,,,
CA_48,"E-UTRA Band 2, 4, 5, 12, 13, 14, 17, 24, 25, 26, 29, 30, 41, 50, 51, 54, 66, 70, 71, 74, 85, 103",FDL_low,-,FDL_high,-50,1,
CA_66,"E-UTRA Band 2, 4, 5, 7,  12, 13, 14, 17, 24, 25, 26, 27, 28, 29, 30, 38, 41, 43, 50, 51, 66, 70, 71, 74, 85, 103",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 42, 48NR Band n77",FDL_low,-,FDL_high,-50,1,2
"NOTE 1:FDL_low and FDL_high refer to each E-UTRA frequency band specified in Table 5.5-1NOTE 2:As exceptions, measurements with a level up to the applicable requirements defined in Table 6.6.3.1-2 are permitted for each assigned E-UTRA carrier used in the measurement due to 2nd, 3rd, 4th [or 5th] harmonic spurious emissions. Due to spreading of the harmonic emission the exception is also allowed for the first 1 MHz frequency range immediately outside the harmonic emission on both sides of the harmonic emission. This results in an overall exception interval centred at the harmonic emission of (2MHz + N x LCRB x 180kHz), where N is 2, 3, 4, [5] for the 2nd, 3rd, 4th [or 5th] harmonic respectively. The exception is allowed if the measurement bandwidth (MBW) totally or partially overlaps the overall exception intervalNOTE 3:To meet these requirements some restriction will be needed for either the operating band or protected bandNOTE 4:N/ANOTE 5:N/ANOTE 6:N/ANOTE 7:N/ANOTE 8:N/ANOTE 9:N/ANOTE 10:The requirement also applies for the frequency ranges that are less than FOOB (MHz) in Table 6.6.3.1-1 and Table 6.6.3.1A-1 from the edge of the aggregated channel bandwidth.NOTE 11:N/ANOTE 12:N/ANOTE 13:N/ANOTE 14:N/ANOTE 15: Void",,,,,,,
