E-UTRA CA Band,E-UTRA Band (Table 5.5-1)
CA_1-3-5-7-282,"1, 3, 5, 7, 28"
CA_1-3-5-7-7-282,"1, 3, 5, 7, 28"
CA_1-3-7-8-20,"1, 3, 7, 8, 20"
CA_1-3-7-8-28,"1, 3, 7, 8, 28"
CA_1-3-7-8-38,"1, 3, 7, 8, 38"
CA_1-3-7-8-40,"1, 3, 7, 8, 40"
CA_1-3-7-20-28,"1, 3, 7, 20, 28"
CA_1-3-7-20-32,"1, 3, 7, 20, 32"
CA_1-3-7-20-38,"1, 3, 7, 20, 38"
CA_1-3-7-20-42,"1, 3, 7, 20, 42"
CA_1-3-7-28-32,"1, 3, 7, 28, 32"
CA_1-3-7-28-38,"1, 3, 7, 28, 38"
CA_1-3-7-28-40,"1, 3, 7, 28, 40"
CA_1-3-8-11-28,"1, 3, 8, 11, 28"
CA_1-3-8-20-28,"1, 3, 8, 20, 28"
CA_1-3-8-20-38,"1, 3, 8, 20, 38"
CA_1-3-20-28-38,"1, 3, 20, 28, 38"
CA_1-3-20-32-42,"1, 3, 20, 32, 42"
CA_1-3-20-32-43,"1, 3, 20, 32, 43"
CA_1-3-32-42-43,"1, 3, 32, 42, 43"
CA_1-7-8-20-28,"1, 7, 8, 20, 28"
CA_1-7-8-20-32,"1, 7, 8, 20, 32"
CA_1-7-8-20-38,"1, 7, 8, 20, 38"
CA_1-7-8-28-32,"1, 7, 8, 28, 32"
CA_1-7-8-32-38,"1, 7, 8, 32, 38"
CA_1-7-20-28-32,"1, 7, 20, 28, 32"
CA_1-7-20-28-38,"1, 7, 20, 28, 38"
CA_1-7-20-32-38,"1, 7, 20, 32, 38"
CA_1-8-20-32-38,"1, 8, 20, 32, 38"
CA_3-7-8-20-28,"3, 7, 8, 20, 28"
CA_3-7-8-20-38,"3, 7, 8, 20, 38"
CA_3-7-20-28-38,"3, 7, 20, 28, 38"
CA_7-8-20-28-32,"7, 8, 20, 28, 32"
CA_7-8-20-32-38,"7, 8, 20, 32, 38"
NOTE 1:The frequency range in band 28 is restricted for this CA band combination to 703-733 MHz for the UL and 758-788 MHz for the DLNOTE 2:The frequency range in band 28 is restricted for this CA band combination to 718-748 MHz for the UL and 773-803 MHz for the DL,
