Channel Bandwidth[MHz],Carrier centre frequency (FC)[MHz],Uplink resource allocation,A-MPR[dB]
20,5239.8 ≤ FC ≤ 5240.2,L = 10 (RIV = 19),7
,,Any other RIV,7
,5160 ≤ FC < 5179.85260 ≤ FC < 5279.85320.2 < FC ≤ 53405480 ≤ FC < 5499.8,L = 10 (RIV = 19),6
,,Any other RIV,6
,5680.2 < FC ≤ 57155805.2 < FC ≤ 5840,L = 10 (RIV = 19),6
,,Any other RIV,6
,5735 ≤ FC < 5764.8,L = 10 (RIV = 19),6
,,Any other RIV,6
,5179.8 ≤ FC ≤ 5220.25279.8 ≤ FC ≤ 5320.25499.8 ≤ FC ≤ 5680.25764.8 ≤ FC ≤ 5805.2,L = 10 (RIV = 19),2
,,Any other RIV,1
NOTE 1:The carrier centre frequencies and corresponding EARFCN allowed for operation in Band 46 are specified in [12]. The uplink resource allocation is defined in Clause 8.1.4 of [6].,,,
