Channel Bandwidth[MHz],Carrier centre frequency (FC)[MHz],Parameters,Region A,,Region B,,Region C,,Region D,,Region E,
1.4,1427.7 ≤ FC < 1429.1,A-MPR [dB],≤ 16,,,,,,,,,
3,1428.5 ≤ FC < 1431.5,RBstart,0,,1– 2,,3 – 6,,,,,
,,LCRB [RBs],1,≥2,2,≥ 3,5-7,≥8,,,,
,,A-MPR [dB],≤ 11,≤ 16,≤ 9,≤ 15,≤ 12,≤ 14,,,,
5,1429.5 ≤ FC < 1434.5,RBstart,0 - 1,,2 – 4,,5 – 7,,8 – 10,,,
,,LCRB [RBs],2,≥3,4-6,≥ 7,8-10,≥11,12-14,≥15,,
,,A-MPR [dB],≤ 12,≤ 16,≤ 13,≤ 16,≤ 12,≤ 15,≤ 10,≤ 12,,
10,1432 ≤ FC < 1442,RBstart,0,,1 – 4,,5 – 9,,10 – 14,,15 – 21,
,,LCRB [RBs],3-4,≥5,5-8,≥ 9,9-16,≥17,15-23,≥24,24-29,≥30
,,A-MPR [dB],≤ 13,≤ 16,≤ 13,≤ 16,≤ 13,≤ 16,≤ 11,≤ 14,≤ 11,≤ 13
15,1434.5 ≤ FC < 1447.5,RBstart,0 -1,,2 – 7,,8 – 17,,18 – 23,,24 – 30,
,,LCRB [RBs],5-10,≥11,8-12,≥ 13,15-25,≥26,26-40,≥41,≥ 36,
,,A-MPR [dB],≤ 14,≤ 16,≤ 13,≤ 16,≤ 13,≤ 16,≤ 12,≤ 14,≤ 12,
20,1437 ≤ FC < 1450,RBstart,0 -4,,5 – 9,,10 – 19,,20 – 29,,30 – 40,
,,LCRB [RBs],6-10,≥11,11-20,≥ 21,17-32,≥33,28-45,≥46,41-54,≥55
,,A-MPR [dB],≤ 13,≤ 16,≤ 13,≤ 16,≤ 13,≤ 16,≤ 12,≤ 14,≤ 11,≤ 13
