E-UTRA operating band combination,E-UTRA Band,"ΔRIB,c [dB]"
"CA_1-3-5-7-28, CA_1-3-5-7-7-28",1,0
,3,0
,5,0.1
,7,0
,28,0.2
CA_1-3-7-8-20,1,0
,3,0
,7,0
,8,0.2
,20,0.2
CA_1-3-7-8-28,1,0
,3,0
,7,0
,8,0.2
,28,0.2
CA_1-3-7-8-38,1,0
,3,0
,7,0
,8,0
,38,0
CA_1-3-7-8-40,1,0
,3,0
,7,0.3
,8,0
,40,0.8
CA_1-3-7-20-28,1,0
,3,0
,7,0
,20,0.2
,28,0.2
CA_1-3-7-20-32,1,0
,3,0
,7,0
,20,0
,32,0
,1,0
,3,0
CA_1-3-7-20-38,7,0
,20,0
,38,0
CA_1-3-7-20-42,1,0.2
,3,0.2
,7,0.2
,20,0
,42,0.5
CA_1-3-7-28-32,1,0
,3,0
,7,0
,28,0.2
,32,0
,1,0
,3,0
CA_1-3-7-28-38,7,0
,28,0.2
,38,0
,1,0
,3,0
CA_1-3-7-28-40,7,0.3
,28,0.2
,40,0.8
CA_1-3-8-11-28,1,0
,3,0.3
,8,0.2
,11,0.5
,28,0.2
CA_1-3-8-20-28,1,0
,3,0
,8,0.2
,20,0.2
,28,0.2
CA_1-3-8-20-38,1,0
,3,0
,8,0
,20,0
,38,0
,1,0
,3,0
CA_1-3-20-28-38,20,0.2
,28,0.2
,38,0
CA_1-3-20-32-42,1,0.2
,3,0.2
,20,0
,32,0
,42,0.5
CA_1-3-20-32-43,1,0
,3,0
,20,0
,32,0
,43,0.5
CA_1-3-32-42-43,1,0.2
,3,0.2
,32,0
,42,0.5
,43,0.5
CA_1-7-8-20-28,1,0
,7,0
,8,0.2
,20,0.2
,28,0.2
CA_1-7-8-20-32,1,0
,7,0
,8,0.2
,20,0.2
,32,0
,1,0
,7,0
CA_1-7-8-20-38,8,0.2
,20,0.2
,38,0.2
CA_1-7-8-28-32,1,0
,7,0
,8,0.2
,28,0/0.15
,32,0
,1,0
,7,0
CA_1-7-8-32-38,8,0.2
,32,0
,38,0.2
CA_1-7-20-28-32,1,0
,7,0
,20,0.2
,28,0.2
,32,0
,1,0
,7,0
CA_1-7-20-28-38,20,0.2
,28,0.2
,38,0.2
,1,0
,7,0
CA_1-7-20-32-38,20,0
,32,0
,38,0
,1,0
,8,0
CA_1-8-20-32-38,20,0
,32,0
,38,0
CA_3-7-8-20-28,3,0
,7,0
,8,0.2
,20,0.2
,28,0.1
,3,0
,7,0
CA_3-7-8-20-38,8,0
,20,0
,38,0.2
,3,0
,7,0
CA_3-7-20-28-38,20,0.2
,28,0.1
,38,0.2
CA_7-8-20-28-32,7,0
,8,0
,20,0.2
,28,0.2
,32,0
,3,0.2
,8,0.2
CA_3-8-20-28-38,20,0.1
,28,0.2
,38,0.2
,3,0
,8,0.2
CA_3-8-20-28-40,20,0.1
,28,0.1
,40,0
,7,0
,8,0.2
CA_7-8-20-32-38,20,0.2
,32,0
,38,0
"NOTE 1:The above additional tolerances are only applicable for the E-UTRA operating bands that belong to the supported inter-band carrier aggregation configurations.NOTE 2:The above additional tolerances also apply in intra-band and non-aggregated operation for the supported E-UTRA operating bands that belong to the supported inter-band carrier aggregation configurations.NOTE 3: Tolerances for a UE supporting multiple 5DL inter-band CA configurations are FFS.NOTE 4: The above additional tolerances applicable for the E-UTRA operating bands that belong to the supported highest order inter-band carrier aggregation configuration, also applies to the same E-UTRA operating bands that belong to a supported lower order CA configuration.NOTE 5: Only applicable for UE supporting inter-band carrier aggregation with the uplink active in Band 8.",,
