CA Network Signalling value,Requirements(subclause),Uplink CA Configuration,A-MPR [dB](subclause)
CA_NS_01,6.6.3.3A.1,CA_1C,6.2.4A.1
CA_NS_02,6.6.3.3A.2,CA_1C,6.2.4A.2
CA_NS_03,6.6.3.3A.3,CA_1C,6.2.4A.3
CA_NS_04,"6.6.2.2A.1, 6.6.3.3A.8","CA_41C, CA_41D",6.2.4A.4
CA_NS_05,6.6.3.3A.4,CA_38C,6.2.4A.5
CA_NS_06,6.6.3.3A.5,CA_7C,6.2.4A.6
CA_NS_07,6.6.3.3A.6,CA_39C,6.2.4A.7
CA_NS_08,6.6.3.3A.7,CA_42C,6.2.4A.8
CA_NS_09,6.6.2.2A.2,CA_66B,N/A
,6.6.2.2A.3,CA_66C,N/A
CA_NS_10,6.6.2.2A.46.6.3.3A.10,"CA_48B, CA_48C",6.2.4A.10
CA_NS_11,6.6.2.2A.5,CA_2C,6.2.4A.11
CA_NS_12,6.6.3.3A.11,CA_28C,6.2.4A.12
CA_NS_13,6.6.3.3A.12,CA_28C,6.2.4A.13
…,,,
CA_NS_31,NOTE 1,Table 5.6A.1-1 (NOTE 1),N/A
CA_NS_32,Reserved,,
NOTE 1:Applicable for uplink CA configurations listed in Table 5.6A.1-1 for which none of the additional requirements in subclauses 6.6.2.2A or 6.6.3.3A apply.NOTE 2:The index of the sequence CA_NS corresponds to the value of additionalSpectrumEmissionSCell-r10.,,,
