E-UTRA CA configuration / Bandwidth combination set,,,,,,,,,,
E-UTRA CA Configuration,Uplink CA configurations (NOTE 5),E-UTRA Bands,1.4MHz,3MHz,5MHz,10MHz,15MHz,20MHz,Maximum aggregated bandwidth[MHz],Bandwidth combination set
CA_1A-3A-5A,CA_1A-3ACA_1A-5A6CA_3A-5A,1,,,Yes,Yes,Yes,Yes,50,0
,,3,,,Yes,Yes,Yes,Yes,,
,,5,,,Yes,Yes,,,,
,,1,,,Yes,Yes,,,40,1
,,3,,,Yes,Yes,Yes,Yes,,
,,5,,,Yes,Yes,,,,
CA_1A-1A-3A-5A,-,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,70,0
,,3,,,Yes,Yes,Yes,Yes,,
,,5,,,Yes,Yes,,,,
CA_1A-1A-3C-5A,CA_1A-3ACA_1A-5ACA_3A-5A,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,90,0
,,3,See CA_3C Bandwidth combination set 0 in table 5.6A.1-1,,,,,,,
,,5,,,Yes,Yes,,,,
CA_1A-3A-3A-5A,-,1,,,Yes,Yes,Yes,,65,0
,,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
,,5,,,Yes,Yes,,,,
CA_1C-3A-5A,-,1,See CA_1C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,70,0
,,3,,,Yes,Yes,Yes,Yes,,
,,5,,,Yes,Yes,,,,
CA_1A-3A-3A-7A-7A,CA_1A-3ACA_1A-7ACA_3A-7A,1,,,Yes,Yes,Yes,Yes,100,0
,,3,See the CA_3A-3A Bandwidth combination set 0 in Table below,,,,,,,
,,7,See the CA_7A-7A Bandwidth combination set 1 in Table below,,,,,,,
CA_1A-3C-5A,-,1,,,Yes,Yes,Yes,Yes,70,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,5,,,Yes,Yes,,,,
CA_1A-3A-7A,CA_1A-3ACA_1A-7ACA_3A-7A,1,,,Yes,Yes,Yes,Yes,60,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,,Yes,Yes,Yes,,
,,1,,,Yes,Yes,Yes,Yes,60,1
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-3A-7A,CA_1A-3ACA_1A-7ACA_3A-7A,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,80,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-3A-3A-7A,CA_1A-3ACA_1A-7ACA_3A-7A,1,See the CA_1A-1A Bandwidth combination set 0 in the Table 5.6A.1-3,,,,,,100,0
,,3,See the CA_3A-3A Bandwidth combination set 0 in the Table 5.6A.1-3,,,,,,,
,,7,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-3A-7A-7A,CA_1A-3ACA_1A-7ACA_3A-7A,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,See CA_7A-7A Bandwidth Combination Set 1 in Table 5.6A.1-3,,,,,,,
CA_1A-3A-3A-7A,CA_1A-3ACA_1A-7ACA_3A-7A,1,,,Yes,Yes,Yes,Yes,80,0
,,3,See the CA_3A-3A Bandwidth combination set 0 in the Table 5.6A.1-3,,,,,,,
,,7,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-3A-3A-7C,CA_7C,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,120,0
,,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
,,7,See CA_7C Bandwidth combination set 2 in Table 5.6A.1-1 of 36.101,,,,,,,
CA_1A-3A-3A-7C,CA_7C,1,,,Yes,Yes,Yes,Yes,100,0
,,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
,,7,See CA_7C Bandwidth combination set 2 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-7A-7A,CA_1A-3ACA_1A-7ACA_3A-7A,1,,,Yes,Yes,Yes,Yes,80,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,See CA_7A-7A Bandwidth Combination Set 3 in Table 5.6A.1-3,,,,,,,
,,1,,,Yes,Yes,Yes,Yes,80,1
,,3,,,Yes,Yes,Yes,Yes,,
,,7,See CA_7A-7A Bandwidth Combination Set 1 in Table 5.6A.1-3,,,,,,,
CA_1A-3A-7C,CA_1A-3A CA_1A-7A CA_3A-7A CA_7C,1,,,Yes,Yes,Yes,Yes,80,0
,,3,,,,Yes,Yes,Yes,,
,,7,See CA_7C Bandwidth Combination Set 2 in Table 5.6A.1-1,,,,,,,
,,1,,,Yes,Yes,Yes,Yes,80,1
,,3,,,Yes,Yes,Yes,Yes,,
,,7,See CA_7C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,
CA_1A-1A-3A-7C,CA_7C,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,See CA_7C Bandwidth combination set 2 in Table 5.6A.1-1 of 36.101,,,,,,,
CA_1A-1A-3C-7A,CA_3C,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,100,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1 of 36.101,,,,,,,
,,7,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-3C-7C,CA_3CCA_7C,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,120,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1 of 36.101,,,,,,,
,,7,See CA_7C Bandwidth combination set 2 in Table 5.6A.1-1 of 36.101,,,,,,,
CA_1A-3C-7A,CA_1A-3A CA_1A-7A CA_3A-7A CA_3C,1,,,Yes,Yes,Yes,Yes,80,0
,,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
,,7,,,,Yes,Yes,Yes,,
,,1,,,Yes,Yes,Yes,Yes,80,1
,,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
,,7,,,Yes,Yes,Yes,Yes,,
CA_1A-3C-7C,CA_1A-3A CA_1A-7A CA_3A-7A CA_3C CA_7C,1,,,Yes,Yes,Yes,Yes,100,0
,,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
,,7,See CA_7C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-8A,CA_1A-3ACA_1A-8ACA_3A-8A,1,,,Yes,Yes,Yes,Yes,50,0
,,3,,,Yes,Yes,Yes,Yes,,
,,8,,Yes,Yes,Yes,,,,
,,1,,,Yes,Yes,,,40,1
,,3,,,Yes,Yes,Yes,Yes,,
,,8,,Yes,Yes,Yes,,,,
,,1,,,Yes,Yes,Yes,,40,2
,,3,,,Yes,Yes,Yes,,,
,,8,,Yes,Yes,Yes,,,,
,,1,,,Yes,Yes,Yes,Yes,50,3
,,3,,,Yes,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
CA_1A-3A-3A-8A,CA_1A-3ACA_1A-8ACA_3A-8A,1,,,Yes,Yes,Yes,Yes,70,0
,,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
,,8,,,Yes,Yes,,,,
CA_1A-3C-8A,CA_1A-3ACA_1A-8ACA_3A-8ACA_3C,1,,,Yes,Yes,Yes,Yes,70,0
,,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
,,8,,Yes,Yes,Yes,,,,
CA_1A-3A-8B,CA_1A-3ACA_1A-8ACA_1A-8BCA_3A-8ACA_3A-8BCA_8B,1,,,Yes,Yes,Yes,Yes,60,0
,,3,,,Yes,Yes,Yes,Yes,,
,,8,See CA_8B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-3A-8B,CA_1A-3ACA_1A-8ACA_1A-8BCA_3A-8ACA_3A-8BCA_8B,1,,,Yes,Yes,Yes,Yes,80,0
,,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
,,8,See CA_8B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-3A-42C,CA_1A-3A CA_1A-42A CA_3A-42A,1,,,Yes,Yes,Yes,Yes,100,0
,,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
,,42,See CA_42C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-11A,-,1,,,Yes,Yes,Yes,Yes,50,0
,,3,,,Yes,Yes,Yes,Yes,,
,,11,,,Yes,Yes,,,,
CA_1A-3A-18A,CA_1A-3A CA_1A-18A6 CA_3A-18A,1,,,Yes,Yes,Yes,Yes,55,0
,,3,,,Yes,Yes,Yes,Yes,,
,,18,,,Yes,Yes,Yes,,,
CA_1A-3A-19A,CA_1A-3ACA_1A-19A6CA_3A-19A,1,,,Yes,Yes,Yes,Yes,55,0
,,3,,,Yes,Yes,Yes,Yes,,
,,19,,,Yes,Yes,Yes,,,
CA_1A-3A-3A-19A,CA_1A-3ACA_1A-19A6CA_3A-19A,1,,,Yes,Yes,Yes,Yes,75,0
,,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
,,19,,,Yes,Yes,Yes,,,
CA_1A-3A-20A,CA_1A-3ACA_3A-20A CA_1A-20A,1,,,Yes,Yes,Yes,Yes,60,0
,,3,,,Yes,Yes,Yes,Yes,,
,,20,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-3A-20A,CA_1A-3ACA_3A-20A CA_1A-20A,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,80,0
,,3,,,Yes,Yes,Yes,Yes,,
,,20,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-3A-20A,CA_1A-3ACA_3A-20A CA_1A-20A,1,,,Yes,Yes,Yes,Yes,80,0
,,3,See CA_3A-3A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,
,,20,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-3A-3A-20A,CA_1A-3ACA_3A-20ACA_1A-20A,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,100,0
,,3,See CA_3A-3A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,
,,20,,,Yes,Yes,Yes,Yes,,
CA_1A-3C-20A,CA_3CCA_1A-3A,1,,,Yes,Yes,Yes,Yes,80,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,20,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-21A,CA_1A-3A CA_1A-21A CA_3A-21A,1,,,Yes,Yes,Yes,Yes,55,0
,,3,,,Yes,Yes,Yes,Yes,,
,,21,,,Yes,Yes,Yes,,,
CA_1A-3A-3A-21A,CA_1A-3ACA_1A-21ACA_3A-21A,1,,,Yes,Yes,Yes,Yes,75,0
,,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
,,21,,,Yes,Yes,Yes,,,
CA_1A-3A-26A,CA_1A-3ACA_1A-26ACA_3A-26A,1,,,Yes,Yes,Yes,Yes,50,0
,,3,,,Yes,Yes,Yes,Yes,,
,,26,,,Yes,Yes,,,,
,,1,,,Yes,Yes,Yes,Yes,55,1
,,3,,,Yes,Yes,Yes,Yes,,
,,26,,,Yes,Yes,Yes,,,
CA_1A-3C-26A,CA_1A-3ACA_1A-26ACA_3A-26ACA_3C,1,,,Yes,Yes,Yes,Yes,75,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,26,,,Yes,Yes,Yes,,,
CA_1A-3A-28A,CA_1A-3A CA_1A-28A CA_3A-28A6,1,,,Yes,Yes,Yes,Yes,60,0
,,3,,,Yes,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-28C,-,1,,,Yes,Yes,Yes,Yes,70,0
,,3,,,Yes,Yes,Yes,Yes,,
,,28,See CA_28C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-1A-3A-28A,CA_1A-3ACA_1A-28ACA_3A-28A,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,80,0
,,3,,,Yes,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-3A-3A-28A,-,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,100,0
,,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-3A-28A,-,1,,,Yes,Yes,Yes,Yes,80,0
,,3,See CA_3A-3A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-3C-28A,CA_3CCA_1A-3ACA_1A-28ACA_3A-28A,1,,,Yes,Yes,Yes,Yes,80,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-3C-28C,-,1,,,Yes,Yes,Yes,Yes,90,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,28,See CA_28C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
