Channel bandwidth [MHz],Carrier centre frequency (FC)[MHz],Parameters,Region A,Region B,Region C,Region D,Region E
1.4,≤1713.5,RBstart,0-1,≥ 2,≥ 2,N/A,N/A
,,LCRB [RBs],≤ 6,> 2,≤ 2,N/A,N/A
,,LCRB - RBstart,N/A,N/A,N/A,N/A,N/A
,,A-MPR [dB],≤ 16,≤ 12,≤ 8,N/A,N/A
,>1713.5,No A-MPR needed,,,,,
3,≤1717.5,RBstart,0-2,3-6,7-11,12-14,N/A
,,LCRB [RBs],≤ 15,<13,< 9,< 6,N/A
,,LCRB - RBstart,N/A,N/A,N/A,N/A,N/A
,,A-MPR [dB],≤ 16.5,≤ 15,≤ 10,≤ 5,N/A
,>1717.5,No A-MPR needed,,,,,
5,≤1722.5,RBstart,0-1,2-10,,11-24,
,,LCRB [RBs],≤ 25,N/A,N/A,≤ 7,> 7
,,LCRB - RBstart,N/A,≥ 1,< 1,N/A,N/A
,,A-MPR [dB],≤ 16,≤ 15,≤ 10,≤ 5,≤ 10
,>1722.5,No A-MPR needed,,,,,
10,≤1735,RBstart,0,1-19,,20-49,
,,LCRB [RBs],≤ 50,N/A,N/A,N/A,N/A
,,LCRB - RBstart,N/A,≥ 4,< 4,≥ -10,< -10
,,A-MPR [dB],≤ 15.5,≤ 15,≤ 10,≤ 10,≤ 5
,>1735,No A-MPR needed,,,,,
15,≤1747.5,RBstart,0-37,,38-44,,45-74
,,LCRB [RBs],N/A,N/A,N/A,N/A,≤ 30
,,LCRB - RBstart,≥ 6,< 6,≥ -23,< -23,N/A
,,A-MPR [dB],≤ 14.5,≤ 10,≤ 10,≤ 5,≤ 5
,>1747.5,No A-MPR needed,,,,,
20,≤1760,RBstart,0-38,,39-52,,53-99
,,LCRB [RBs],N/A,N/A,>35,≤ 35,≤ 47
,,LCRB - RBstart,≥ 6,< 6,,,
,,A-MPR [dB],≤ 14.5,≤ 10,≤ 10,≤ 5,≤ 5
,>1760,No A-MPR needed,,,,,
