Network Signalling value,Requirements (subclause),E-UTRA Band,Channel bandwidth (MHz),Resources Blocks (NRB),A-MPR (dB)
NS_01,6.6.2.1.1,Table 5.5-1,"1.4, 3, 5, 10, 15, 20",Table 5.6-1,N/A
NS_03,6.6.2.2.1,"2, 4,10, 23, 25, 35, 36, 66, 70",3,>5,≤ 1
,,,5,>6,≤ 1
,,,10,>6,≤ 1
,,,15,>8,≤ 1
,,,20,>10,≤ 1
NS_04,"6.6.2.2.2, 6.6.3.3.19",41,"5, 10, 15, 20","Table 6.2.4-4, Table 6.2.4-4a",
NS_05,6.6.3.3.1,1,"10,15,20",≥ 50 (NOTE1),≤ 1 (NOTE 1)
,,,"15, 20",Table 6.2.4-18 (NOTE2),
,,65 (NOTE 3),"10,15,20",≥ 50,≤ 1 (NOTE 1)
,,,"15,20",Table 6.2.4-18 (NOTE 2),
NS_06,6.6.2.2.3,"12, 13, 14, 17","1.4, 3, 5, 10",Table 5.6-1,Table6.2.4-34b (NOTE 9)
,,"12, 13, 14, 17","1.4, 3, 5, 10",Table 5.6-1,Table6.2.4-34c (NOTE 11)
,,85,"5, 10",Table 5.6-1,N/A
NS_07,6.6.2.2.36.6.3.3.2,13,10,Table 6.2.4-2,
NS_08,6.6.3.3.3,19,"10, 15",> 44,≤ 3
NS_09,6.6.3.3.4,21,"10, 15",> 40,≤ 1
,,,,> 55,≤ 2
,,74 (NOTE 6),"10, 15",> 40,≤ 1
,,,,> 55,≤ 2
NS_10,,20,"15, 20",Table 6.2.4-3,
NS_11,6.6.2.2.1 6.6.3.3.13,23,"1.4, 3, 5, 10, 15, 20",Table 6.2.4-5,
NS_12,6.6.3.3.5,26,"1.4, 3, 5, 10, 15",Table 6.2.4-6,
NS_13,6.6.3.3.6,26,5,Table 6.2.4-7,
NS_14,6.6.3.3.7,26,"10, 15",Table 6.2.4-8,
NS_15,6.6.3.3.8,26,"1.4, 3, 5, 10, 15",Table 6.2.4-9Table 6.2.4-10,
NS_16,6.6.3.3.9,27,"3, 5, 10","Table 6.2.4-11, Table 6.2.4-12, Table 6.2.4-13",
NS_17,6.6.3.3.10,28,"3, 5, 10",Table 5.6-1,N/A
NS_18,6.6.3.3.11,28,5,≥ 2,≤ 1
,,,"10, 15, 20",≥ 1,≤ 4
NS_19,6.6.3.3.12,44,"10, 15, 20",Table 6.2.4-14,
NS_20,6.2.26.6.2.2.16.6.3.3.14,23,"5, 10, 15, 20",Table 6.2.4-15,
NS_21,6.6.2.2.1 6.6.3.3.15,30,"5, 10",Table 6.2.4-16,
