E-UTRA band,Rx parameter,Units,Channel bandwidth,,,,,
,,,1.4 MHz,3 MHz,5 MHz,10 MHz,15 MHz,20 MHz
46(NOTE 3),Power in Transmission Bandwidth Configuration,dBm,REFSENS + channel bandwidth specific value below,,,,,
,,,,,,6,,9
,BWInterferer,MHz,,,,20,,20
,"FIoffset, case 1",MHz,,,,30+0.0025,,30+0.0125
,"FIoffset, case 2",MHz,,,,50+0.0125,,50+0.0075
49(NOTE 3),Power in Transmission Bandwidth Configuration,dBm,,,,6,,6
,BWInterferer,MHz,,,,10,,20
,"FIoffset, case 1",MHz,,,,15+0.025,,30+0.125
,"FIoffset, case 2",MHz,,,,25+0.075,,50+0.075
NOTE 1: The transmitter shall be set to 4dB below PCMAX_L at the minimum uplink configuration specified in Table 7.3.1-2 with PCMAX_L as defined in subclause 6.2.5.NOTE 2:The interferer consists of the Reference measurement channel specified in Annex A.3.2 with one sided dynamic OCNG Pattern OP.1 FDD/TDD/FS3 as described in Annex A.5.1.1/A.5.2.1/A.5.4.1 and set-up according to Annex C.3.1NOTE 3:The interferer consists of the Reference measurement channel specified in Annex A.3.2 (TBD),,,,,,,,
