E-UTRA CA configuration / Bandwidth combination set,,,,,,,,,,
E-UTRA CA Configuration,Uplink CA configurations (NOTE 5),E-UTRA Bands,1.4MHz,3MHz,5MHz,10MHz,15MHz,20MHz,Maximum aggregated bandwidth[MHz],Bandwidth combination set
CA_1A-3A-5A-7A,CA_1A-3A CA_1A-5A6 CA_1A-7A CA_3A-5A CA_3A-7A CA_5A-7A,1,,,Yes,Yes,Yes,Yes,70,0
,,3,,,,Yes,Yes,Yes,,
,,5,,,Yes,Yes,,,,
,,7,,,,Yes,Yes,Yes,,
,,1,,,Yes,Yes,Yes,Yes,70,1
,,3,,,Yes,Yes,Yes,Yes,,
,,5,,,Yes,Yes,,,,
,,7,,,,Yes,Yes,Yes,,
CA_1A-1A-3A-5A-7A,-,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,90,0
,,3,,,Yes,Yes,Yes,Yes,,
,,5,,,Yes,Yes,,,,
,,7,,,,Yes,Yes,Yes,,
CA_1A-3A-3A-5A-7A,-,1,,,Yes,Yes,Yes,,85,0
,,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
,,5,,,Yes,Yes,,,,
,,7,,,,Yes,Yes,Yes,,
CA_1A-3A-5A-7A-7A,CA_1A-3A CA_1A-5A6 CA_1A-7A CA_3A-5A CA_3A-7A CA_5A-7A,1,,,Yes,Yes,Yes,Yes,90,0
,,3,,,,Yes,Yes,Yes,,
,,5,,,Yes,Yes,,,,
,,7,See CA_7A-7A Bandwidth Combination Set 3 in Table 5.6A.1-3,,,,,,,
CA_1A-3C-5A-7A,-,1,,,Yes,Yes,Yes,Yes,90,0
,,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
,,5,,,Yes,Yes,,,,
,,7,,,,Yes,Yes,Yes,,
CA_1A-3A-5A-28A,-,1,,,Yes,Yes,Yes,,65,0
,,3,,,Yes,Yes,Yes,Yes,,
,,5,,,Yes,Yes,,,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-5A-40A,CA_1A-3A CA_1A-5A6 CA_3A-5A,1,,,Yes,Yes,Yes,Yes,70,0
,,3,,,Yes,Yes,Yes,Yes,,
,,5,,,Yes,Yes,,,,
,,40,,,,Yes,Yes,Yes,,
CA_1A-3A-5A-41A8,-,1,,,Yes,Yes,Yes,Yes,70,0
,,3,,,Yes,Yes,Yes,Yes,,
,,5,,,Yes,Yes,,,,
,,41,,,,,,Yes,,
CA_1A-3A-7A-7A-26A,CA_1A-3A CA_1A-7A CA_1A-26A CA_3A-7A CA_3A-26A CA_7A-26A,1,,,Yes,Yes,Yes,Yes,95,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,See the CA_7A-7A Bandwidth combination set 3 in Table 5.6A.1-3,,,,,,,
,,26,,,Yes,Yes,Yes,,,
CA_1A-3A-7A-8A,CA_1A-3A CA_1A-7A CA_1A-8A CA_3A-7A CA_3A-8A CA_7A-8A,1,,,Yes,Yes,Yes,Yes,70,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
,,1,,,Yes,Yes,Yes,Yes,70,1
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,Yes,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
CA_1A-3A-7A-8B,CA_1A-3ACA_1A-7ACA_1A-8ACA_1A-8BCA_3A-7ACA_3A-8ACA_3A-8BCA_7A-8ACA_7A-8BCA_8B,1,,,Yes,Yes,Yes,Yes,80,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,Yes,Yes,Yes,Yes,,
,,8,See CA_8B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-3C-7A-8A,CA_3CCA_1A-3ACA_1A-8ACA_3A-8A,1,,,Yes,Yes,Yes,Yes,90,0
,,3,See the CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,7,,,Yes,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
CA_1A-3A-3A-7A-8A,CA_1A-3A CA_1A-7A CA_1A-8A CA_3A-7A CA_3A-8A CA_7A-8A,1,,,Yes,Yes,Yes,Yes,90,0
,,3,See the CA_3A-3A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,
,,7,,,Yes,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
CA_1A-3A-3A-7A-8B,CA_1A-3ACA_1A-7ACA_1A-8ACA_1A-8BCA_3A-7ACA_3A-8ACA_3A-8BCA_7A-8ACA_7A-8BCA_8B,1,,,Yes,Yes,Yes,Yes,100,0
,,3,See the CA_3A-3A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,
,,7,,,Yes,Yes,Yes,Yes,,
,,8,See CA_8B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-7A-7A-8A,CA_1A-3A CA_1A-7A CA_1A-8A CA_3A-7A CA_3A-8A CA_7A-8A,1,,,Yes,Yes,Yes,Yes,90,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,See the CA_7A-7A Bandwidth combination set 1 in Table 5.6A.1-3,,,,,,,
,,8,,,Yes,Yes,,,,
CA_1A-3A-7A-7A-8B,CA_1A-3ACA_1A-7ACA_1A-8ACA_1A-8BCA_3A-7ACA_3A-8ACA_3A-8BCA_7A-8ACA_7A-8BCA_8B,1,,,Yes,Yes,Yes,Yes,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,See the CA_7A-7A Bandwidth combination set 1 in Table 5.6A.1-3,,,,,,,
,,8,See CA_8B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-3A-7A-7A-8A,CA_1A-3A CA_1A-7A CA_1A-8A CA_3A-7A CA_3A-8A CA_7A-8A,1,,,Yes,Yes,Yes,Yes,110,0
,,3,See the CA_3A-3A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,
,,7,See the CA_7A-7A Bandwidth combination set 1 in Table 5.6A.1-3,,,,,,,
,,8,,,Yes,Yes,,,,
CA_1A-3A-3A-7A-7A-8B,CA_1A-3ACA_1A-7ACA_1A-8ACA_1A-8BCA_3A-7ACA_3A-8ACA_3A-8BCA_7A-8ACA_7A-8BCA_8B,1,,,Yes,Yes,Yes,Yes,120,0
,,3,See the CA_3A-3A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,
,,7,See the CA_7A-7A Bandwidth combination set 1 in Table 5.6A.1-3,,,,,,,
,,8,See CA_8B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-7A-20A,CA_1A-3A CA_1A-7A CA_1A-20A CA_3A-7A CA_3A-20A CA_7A-20A,1,,,Yes,Yes,Yes,Yes,80,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,,Yes,Yes,Yes,,
,,20,,,Yes,Yes,Yes,Yes,,
,,1,,,Yes,Yes,Yes,Yes,80,1
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,Yes,Yes,Yes,Yes,,
,,20,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-3A-7A-20A,CA_1A-3ACA_1A-7ACA_1A-20ACA_3A-7ACA_3A-20ACA_7A-20A,1,See CA_1A-1A Bandwidth combination set 0 in in Table 5.6A.1-3,,,,,,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,Yes,Yes,Yes,Yes,,
,,20,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-7C-20A,CA_7C,1,,,Yes,Yes,Yes,Yes,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,See CA_7C Bandwidth combination set 1 in Table 5.6A.1-1,,,,,,,
,,20,,,Yes,Yes,Yes,Yes,,
CA_1A-3C-7A-20A,-,1,,,Yes,Yes,Yes,Yes,100,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,7,,,Yes,Yes,Yes,Yes,,
,,20,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-3A-7A-20A,-,1,,,Yes,Yes,Yes,Yes,100,0
,,3,See CA_3A-3A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,
,,7,,,Yes,Yes,Yes,Yes,,
,,20,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-7A-7A-20A,-,1,,,Yes,Yes,Yes,Yes,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,See CA_7A-7A Bandwidth Combination Set 3 in Table 5.6A.1-3,,,,,,,
,,20,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-7A-26A,CA_1A-3A CA_1A-7A CA_1A-26A CA_3A-7ACA_3A-26A CA_7A-26A,1,,,Yes,Yes,Yes,Yes,75,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,,Yes,Yes,Yes,,
,,26,,,Yes,Yes,Yes,,,
CA_1A-3A-7C-26A,CA_1A-3A CA_1A-7A CA_1A-26A CA_3A-7ACA_3A-26A CA_7A-26A CA_7C,1,,,Yes,Yes,Yes,Yes,95,0
,,3,Yes,Yes,Yes,Yes,Yes,Yes,,
,,7,See CA_7C Bandwidth combination set 1 in Table 5.6A.1-1,,,,,,,
,,26,,,Yes,Yes,Yes,,,
CA_1A-3C-7A-26A,CA_1A-3A CA_1A-7A CA_1A-26A CA_3A-7ACA_3A-26A CA_7A-26ACA_3C,1,,,Yes,Yes,Yes,Yes,95,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,7,,,,Yes,Yes,Yes,,
,,26,,,Yes,Yes,Yes,,,
CA_1A-3C-7C-26A,CA_1A-3A CA_1A-7A CA_1A-26A CA_3A-7ACA_3A-26A CA_7A-26ACA_3CCA_7C,1,,,Yes,Yes,Yes,Yes,115,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,7,See CA_7C Bandwidth combination set 1 in Table 5.6A.1-1,,,,,,,
,,26,,,Yes,Yes,Yes,,,
CA_1A-3A-7A-28A,CA_1A-3A CA_1A-7A CA_1A-28A CA_3A-7A CA_3A-28A6 CA_7A-28A,1,,,Yes,Yes,Yes,Yes,80,0
,,3,,,,Yes,Yes,Yes,,
,,7,,,,Yes,Yes,Yes,,
,,28,,,,Yes,Yes,Yes,,
,,1,,,Yes,Yes,Yes,Yes,80,1
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-3C-7A-28A,CA_3C,1,,,Yes,Yes,Yes,Yes,100,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,7,,,,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-7C-28A,CA_1A-3A CA_1A-7A CA_1A-28A CA_3A-7A CA_3A-28A6 CA_7A-28A CA_7C,1,,,Yes,Yes,Yes,Yes,100,0
,,3,,,,Yes,Yes,Yes,,
,,7,See CA_7C Bandwidth Combination Set 2 in Table 5.6A.1-1,,,,,,,
,,28,,,,Yes,Yes,Yes,,
CA_1A-3C-7C-28A,CA_3CCA_7C,1,,,Yes,Yes,Yes,Yes,120,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,7,See CA_7C Bandwidth Combination Set 2 in Table 5.6A.1-1,,,,,,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-3A-7A-28A,-,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-3A-7C-28A,CA_7C,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,120,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,See CA_7C Bandwidth combination set 2 in Table 5.6A.1-1,,,,,,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-3C-7A-28A,CA_3C,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,120,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,7,,,,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-3C-7C-28A,CA_3CCA_7C,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,140,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,7,See CA_7C Bandwidth combination set 2 in Table 5.6A.1-1,,,,,,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-3A-3A-7A-28A,-,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,120,0
,,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
,,7,,,,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-3A-3A-7C-28A,CA_7C,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,140,0
,,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
,,7,See CA_7C Bandwidth combination set 2 in Table 5.6A.1-1,,,,,,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-3A-7A-28A,-,1,,,Yes,Yes,Yes,Yes,100,0
,,3,See CA_3A-3A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,
,,7,,,,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-3A-7C-28A,CA_7C,1,,,Yes,Yes,Yes,Yes,120,0
,,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
,,7,See CA_7C Bandwidth combination set 2 in Table 5.6A.1-1,,,,,,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-7A-7A-28A,-,1,,,Yes,Yes,Yes,Yes,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,See CA_7A-7A Bandwidth combination set 3 in Table 5.6A.1-3,,,,,,,
,,28,,,,Yes,Yes,Yes,,
CA_1A-3A-7A-32A,CA_1A-3ACA_1A-7ACA_3A-7A,1,,,Yes,Yes,Yes,Yes,80,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,,Yes,Yes,Yes,,
,,32,,,Yes,Yes,Yes,Yes,,
CA_1A-3C-7A-32A,CA_3CCA_1A-3ACA_1A-7ACA_3A-7A,1,,,Yes,Yes,Yes,Yes,100,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,7,,,Yes,Yes,Yes,Yes,,
,,32,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-7A-38A9,CA_1A-3A,1,,,Yes,Yes,Yes,Yes,80,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-7C-38A9,,1,,,Yes,Yes,Yes,Yes,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,See CA_7C Bandwidth combination set 2 in Table 5.6A.1-1,,,,,,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-3C-7A-38A9,-,1,,,Yes,Yes,Yes,Yes,100,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,7,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-3A-7A-38A9,-,1,,,Yes,Yes,Yes,Yes,100,0
,,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
,,7,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-3A-7A-38A9,-,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-3C-7A-38A9,-,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,120,0
,,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
,,7,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-7A-40A,CA_1A-3ACA_1A-7ACA_1A-40ACA_3A-7ACA_3A-40ACA_7A-40A,1,,,Yes,Yes,Yes,Yes,80,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,,Yes,Yes,Yes,,
,,40,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-7A-40C,-,1,,,Yes,Yes,Yes,Yes,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,,Yes,Yes,Yes,,
,,40,See CA_40C Bandwidth combination set 1 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-7A-40A-40A,CA_1A-3ACA_1A-7ACA_1A-40ACA_3A-7ACA_3A-40ACA_7A-40A,1,,,Yes,Yes,Yes,Yes,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,Yes,Yes,Yes,Yes,,
,,40,See CA_40A-40A Bandwidth Combination Set 1 in Table 5.6A.1-3,,,,,,,
CA_1A-3A-7A-42A,-,1,,,Yes,Yes,Yes,Yes,80,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,,Yes,Yes,Yes,,
,,42,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-7A-46A,-,1,,,Yes,Yes,Yes,Yes,80,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,Yes,Yes,Yes,Yes,,
,,46,,,,,,Yes,,
CA_1A-3A-7A-46C,-,1,,,Yes,Yes,Yes,Yes,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,Yes,Yes,Yes,Yes,,
,,46,See CA_46C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-7A-46D,-,1,,,Yes,Yes,Yes,Yes,120,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,Yes,Yes,Yes,Yes,,
,,46,See CA_46D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-7A-46E,-,1,,,Yes,Yes,Yes,Yes,140,0
,,3,,,Yes,Yes,Yes,Yes,,
,,7,,,Yes,Yes,Yes,Yes,,
,,46,See CA_46E Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-8A-40A,CA_1A-3A CA_1A-8A CA_3A-8A,1,,,Yes,Yes,Yes,Yes,70,0
,,3,,,Yes,Yes,Yes,Yes,,
,,8,,Yes,Yes,Yes,,,,
,,40,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-8A-40C,-,1,,,Yes,Yes,Yes,Yes,90,0
,,3,,,Yes,Yes,Yes,Yes,,
,,8,,Yes,Yes,Yes,,,,
,,40,See CA_40C Bandwidth combination set 1 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-8A-11A,-,1,,,Yes,Yes,Yes,Yes,60,0
,,3,,,Yes,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
,,11,,,Yes,Yes,,,,
CA_1A-3A-8A-20A,CA_1A-3ACA_1A-8ACA_3A-8A,1,,,Yes,Yes,Yes,Yes,70,0
,,3,,,Yes,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
,,20,,,Yes,Yes,Yes,Yes,,
CA_1A-3C-8A-20A,CA_3CCA_1A-3ACA_1A-8ACA_3A-8A,1,,,Yes,Yes,Yes,Yes,90,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,8,,,Yes,Yes,,,,
,,20,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-8A-28A,-,1,,,Yes,Yes,Yes,Yes,70,0
,,3,,,Yes,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-8A-28C,-,1,,,Yes,Yes,Yes,Yes,80,0
,,3,,,Yes,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
,,28,See CA_28C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-3C-8A-28A,-,1,,,Yes,Yes,Yes,Yes,90,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,8,,,Yes,Yes,,,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-3C-8A-28C,-,1,,,Yes,Yes,Yes,Yes,100,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,8,,,Yes,Yes,,,,
,,28,See CA_28C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
