Channel Bandwidth [MHz],Parameters,,,,,,,,,,,,,,
3,Fc [MHz],<2004,,,≥2004,,,,,,,,,,
,LCRB [RBs],1-15,,,>5,,,,,,,,,,
,A-MPR [dB],≤5,,,≤ 1,,,,,,,,,,
5,Fc [MHz],<2004,,,2004 ≤ Fc <2007,,,,,,,≥2007,,,
,LCRB [RBs],1-25,,,1-6 & 15-25,,,,8-12,,,>6,,,
,A-MPR [dB],≤7,,,≤ 4,,,,0,,,≤ 1,,,
10,Fc [MHz],2005 ≤ Fc <2015,,,,,,,2015,,,,,,
,RBstart,0-49,,,,,,,0-49,,,,,,
,LCRB [RBs],1-50,,,,,,,1-50,,,,,,
,A-MPR [dB],≤ 12,,,,,,,0,,,,,,
15,Fc [MHz],<2012.5,,,,,,,,,,,,,
,RBstart,0-4,5-21,,,,,,,,22-56,,,,57-74
,LCRB [RBs],≥1,7-50,,,0-6 & ≥50,,,,,≤25,,>25,,>0
,A-MPR [dB],≤15,≤7,,,≤10,,,,,0,,≤6,,≤15
,Fc [MHz],2012.5,,,,,,,,,,,,,
,RBstart,0-12,,13-39,,,,,,40-65,,,,66-74,
,LCRB [RBs],≥1,,≥30,,,,<30,,≥ (69 – RBstart),,,,≥1,
,A-MPR [dB],≤10,,≤6,,,,0,,≤2,,,,≤6.5,
20,Fc [MHz],2010,,,,,,,,,,,,,
,RBstart,0-12,13-29,,,,,,,30-68,,,,,69-99
,LCRB [RBs],≥1,10-60,,,,1-9 & >60,,,1-24,,,≥25,,≥1
,A-MPR [dB],≤15,≤7,,,,≤10,,,0,,,≤7,,≤15
