Channel BW,Carrier centre freq. (FC) (MHz),Parameter,Region,,,,,,,,,,,,,,,
5 MHz,"1630.0, 1630.3","(RBstart, SCstart)","(0, ≤10)","(1, ≤22)","(2, ≤34)","(3, ≤47)","(4, ≤59)","(5, ≤71)",,"(0, ≤6)",,"(1, ≤18)",,"(2, ≤30)","(3, ≤42)","(4, ≤54)",,"(5, ≤66)"
,,,,,,,,,,,,,,,,,,
,,Lcsc,"2,3","2,3","2,3","2,3","2,3","2,3",,6,,6,,6,6,6,,6
,,A-MPR [dB],≤15,≤11,≤8,≤6,≤3.5,≤2.5,,≤13,,≤10,,≤7,≤5,≤3,,2
,1635,No A-MPR needed,,,,,,,,,,,,,,,,
,1649,,,,,,,,,,,,,,,,,
,1654,,,,,,,,,,,,,,,,,
10 MHz,1632.5,"(RBstart, SCstart)","(1, ≤10)","(2, ≤22)","(3, ≤34)","(4, ≤45)","(5, ≤56)",,"(0, ≤6)",,"(1, ≤18)",,"(2, ≤30)","(3, ≤42)","(4, ≤54)",,"(5, ≤66)",
,,,,,,,,,,,,,,,,,,
,,Lcsc,"2,3","2,3","2,3","2,3","2,3",,6,,6,,6,6,6,,6,
,,A-MPR [dB],≤7,≤5,≤3,≤2.5,≤2,,≤8,,≤6,,≤4,≤2.5,≤2,,≤1.5,
,1651.5,No A-MPR needed,,,,,,,,,,,,,,,,
"Note 1:Lcsc is the length of the continuous subcarrier, SCstart is the subcarrier offset relative to the first subcarrier of the first PRB of NB indicated with NBindex.Note2:For NBindices other than 0, no A-MPR is required.",,,,,,,,,,,,,,,,,,
