Channel bandwidth,,,,,,,
E-UTRA Band,1.4 MHz(dBm),3 MHz(dBm),5 MHz(dBm),10 MHz(dBm),15 MHz(dBm),20 MHz(dBm),Duplex Mode
1,,,-100,-97,-95.2,-94,FDD
2,-102.7,-99.7,-98,-95,-93.2,-92,FDD
3,-101.7,-98.7,-97,-94,-92.2,-91,FDD
4,-104.7,-101.7,-100,-97,-95.2,-94,FDD
5,-103.2,-100.2,-98,-95,,,FDD
6,,,-100,-97,,,FDD
7,,,-98,-95,-93.2,-92,FDD
8,-102.2,-99.2,-97,-94,,,FDD
9,,,-99,-96,-94.2,-93,FDD
10,,,-100,-97,-95.2,-94,FDD
11,,,-100,-97,,,FDD
12,-101.7,-98.7,-97,-94,,,FDD
13,,,-97,-94,,,FDD
14,,,-97,-94,,,FDD
,,,-96.49,-93.29,,,
…,,,,,,,
17,,,-97,-94,,,FDD
18,,,-1007,-977,-95.27,,FDD
19,,,-100,-97,-95.2,,FDD
20,,,-97,-94,-91.2,-90,FDD
21,,,-100,-97,-95.2,,FDD
22,,,-97,-94,-92.2,-91,FDD
23,-104.7,-101.7,-100,-97,-95.2,-94,FDD
24,,,-100,-97,,,FDD
25,-101.2,-98.2,-96.5,-93.5,-91.7,-90.5,FDD
26,-102.7,-99.7,-97.56,-94.56,-92.76,,FDD
27,-103.2,-100.2,-98,-95,,,FDD
28,,-100.2,-98.5,-95.5,-93.7,-91,FDD
30,,,-99,-96,,,FDD
31,-99.0,-95.7,-93.5,,,,FDD
…,,,,,,,
33,,,-100,-97,-95.2,-94,TDD
34,,,-100,-97,-95.2,,TDD
35,-106.2,-102.2,-100,-97,-95.2,-94,TDD
36,-106.2,-102.2,-100,-97,-95.2,-94,TDD
37,,,-100,-97,-95.2,-94,TDD
38,,,-100,-97,-95.2,-94,TDD
39,,,-100,-97,-95.2,-94,TDD
40,,,-100,-97,-95.2,-94,TDD
41,,,-98,-95,-93.2,-92,TDD
42,,,-99,-96,-94.2,-93,TDD
43,,,-99,-96,-94.2,-93,TDD
44,,-100.2,-98,-95,-93.2,-92,TDD
45,,,-100,-97,-95.2,-94,TDD
48,,,-99,-96,-94.2,-93,TDD
50,,-102.2,-100,-97,-95.2,-94,TDD
51,,-102.2,-100,,,,TDD
52,,,-99,-96,-94.2,-93,TDD
53,-106.2,-102.2,-100,-97,,,TDD
54,-106.2,-102.2,-100,,,,TDD
...,,,,,,,
65,-104.2,-101.2,-99.5,-96.5,-94.7,-93.5,FDD
66,-104.2,-101.2,-99.5,-96.5,-94.7,-93.5,FDD
68,,,-98.5,-95.5,-93.7,,FDD
…,,,,,,,
70,,,-100,-97,-95.2,-94,FDD
71,,,-97.2,-94.2,-92.0,-87.5,FDD
72,-99.0,-95.7,-93.5,,,,FDD
73,-99.0,-95.7,-93.5,,,,FDD
74,-104.78,-101.78,-99.58,-96.58,-94.78,-89.88,FDD
85,,,-97,-94,,,FDD
87,-99.0,-95.7,-93.5,,,,FDD
88,-99.0,-95.7,-93.5,,,,FDD
106,-102.2,-99.2,,,,,FDD
111,-99,-96.2,-94.3,-80.6,,,FDD
"NOTE 1:The transmitter shall be set to PUMAX as defined in subclause 6.2.5NOTE 2:Reference measurement channel is A.3.2 with one sided dynamic OCNG Pattern OP.1 FDD/TDD as described in Annex A.5.1.1/A.5.2.1NOTE 3:The signal power is specified per portNOTE 4:For the UE which supports both Band 3 and Band 9 the reference sensitivity level is FFS.NOTE 5:For the UE which supports both Band 11 and Band 21 the reference sensitivity level is FFS.NOTE 6:6 indicates that the requirement is modified by -0.5 dB when the carrier frequency of the assigned E-UTRA channel bandwidth is within 865-894 MHz.NOTE 7:For a UE that support both Band 18 and Band 26, the reference sensitivity level for Band 26 applies for the applicable channel bandwidths.NOTE 8:8 indicates that the requirement is modified by -0.5 dB when the assigned E-UTRA channel bandwidth is confined within 1475.9-1510.9 MHz.NOTE 9:The requirement is applicable for power class 2 UE.",,,,,,,
