E-UTRA CA configuration / Bandwidth combination set,,,,,,,,,,,,,,,,
E-UTRA CA Configuration,Uplink CA configurations (NOTE 4),E-UTRA Bands,1.4MHz,3MHz,,5MHz,,10MHz,,15MHz,,,,20MHz,Maximum aggregated bandwidth[MHz],Bandwidth combination set
CA_1A-3A,CA_1A-3A,1,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,3,,,,Yes,,Yes,,Yes,,,,Yes,,
,,1,,,,Yes,,Yes,,Yes,,,,Yes,40,1
,,3,,Yes,,Yes,,Yes,,Yes,,,,Yes,,
CA_1A-1A-3A,-,1,See CA_1A-1A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,3,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_1A-1A-7A,CA_1A-7A,1,See CA_1A-1A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,7,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_1A-1A-7C,CA_7C,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,80,0
,,7,See CA_7C in Table 5.6A.1-1 of 36.101 Bandwidth combination set 2,,,,,,,,,,,,,
CA_1A-1A-38A,-,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,38,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_1A-3A-3A,CA_1A-3A,1,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_1A-1A-3A-3A,-,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,80,0
,,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_1A-3C,CA_1A-3A CA_3C,1,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_1A-1A-3C,CA_3C,1,See CA_1A-1A Bandwidth Combination Set 0 in the Table 5.6A.1-3,,,,,,,,,,,,80,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_1A-5A,CA_1A-5A,1,,,,,,Yes,,,,,,,20,0
,,5,,,,,,Yes,,,,,,,,
,,1,,,,Yes,,Yes,,Yes,,,,Yes,30,1
,,5,,,,Yes,,Yes,,,,,,,,
CA_1A-1A-5A,-,1,See CA_1A-1A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,50,0
,,5,,,,Yes,,Yes,,,,,,,,
CA_1C-5A,-,1,See CA_1C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,50,0
,,5,,,,Yes,,Yes,,,,,,,,
CA_1A-7A,CA_1A-7A,1,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,7,,,,,,Yes,,Yes,,,,Yes,,
,,1,,,,Yes,,Yes,,Yes,,,,Yes,40,1
,,7,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_1A-7A-7A,CA_1A-7A,1,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,7,See CA_7A-7A Bandwidth Combination Set 3 in Table 5.6A.1-3,,,,,,,,,,,,,
,,1,,,,Yes,,,,Yes,,Yes,,Yes,60,1
,,7,See CA_7A-7A Bandwidth Combination Set 1 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_1A-1A-7A-7A,CA_1A-7A,1,See CA_1A-1A Bandwidth combination set 0 in in Table 5.6A.1-3,,,,,,,,,,,,80,0
,,7,See CA_7A-7A Bandwidth combination set 1 in in Table 5.6A.1-3,,,,,,,,,,,,,
CA_1A-7C,CA_1A-7A CA_7C,1,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,7,See CA_7C Bandwidth Combination Set 2 in Table 5.6A.1-1,,,,,,,,,,,,,
,,1,,,,Yes,,Yes,,Yes,,,,Yes,60,1
,,7,See CA_7C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_1A-8A,CA_1A-8A,1,,,,Yes,,Yes,,Yes,,,,Yes,30,0
,,8,,,,Yes,,Yes,,,,,,,,
,,1,,,,Yes,,Yes,,,,,,,20,1
,,8,,,,Yes,,Yes,,,,,,,,
,,1,,,,Yes,,Yes,,Yes,,,,Yes,30,2
,,8,,Yes,,Yes,,Yes,,,,,,,,
CA_1A-8B,CA_1A-8ACA_1A-8BCA_8B,1,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,8,See CA_8B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_1A-11A,CA_1A-11A,1,,,,Yes,,Yes,,Yes,,,,Yes,30,0
,,11,,,,Yes,,Yes,,,,,,,,
CA_1A-18A,CA_1A-18A,1,,,,Yes,,Yes,,Yes,,,,Yes,35,0
,,18,,,,Yes,,Yes,,Yes,,,,,,
,,1,,,,Yes,,Yes,,,,,,,20,1
,,18,,,,Yes,,Yes,,,,,,,,
CA_1A-19A,CA_1A-19A,1,,,,Yes,,Yes,,Yes,,,,Yes,35,0
,,19,,,,Yes,,Yes,,Yes,,,,,,
CA_1A-20A,CA_1A-20A,1,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,20,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_1A-1A-20A,CA_1A-20A,1,See CA_1A-1A Bandwidth combination set 0 in in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,20,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_1A-21A,CA_1A-21A,1,,,,Yes,,Yes,,Yes,,,,Yes,35,0
,,21,,,,Yes,,Yes,,Yes,,,,,,
CA_1A-26A,CA_1A-26A,1,,,,Yes,,Yes,,Yes,,,,Yes,35,0
,,26,,,,Yes,,Yes,,Yes,,,,,,
,,1,,,,Yes,,Yes,,,,,,,20,1
,,26,,,,Yes,,Yes,,,,,,,,
CA_1A-28A,CA_1A-28A,1,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,28,,,,Yes,,Yes,,Yes,,,,Yes,,
,,1,,,,Yes,,Yes,,,,,,,20,1
,,28,,,,Yes,,Yes,,,,,,,,
CA_1A-28C,-,1,,,,Yes,,Yes,,Yes,,,,Yes,50,0
,,28,See CA_28C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_1A-1A-28A,CA_1A-28A,1,See CA_1A-1A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,28,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_1A-32A,-,1,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,32,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_1A-38A,-,1,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,38,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_1A-40A,CA_1A-40A,1,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,40,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_1A-40A-40A,CA_1A-40A,1,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,40,See CA_40A-40A Bandwidth Combination Set 1 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_1A-40C,-,1,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,40,See CA_40C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_1A-40D,CA_1A-40A,1,,,,Yes,,Yes,,Yes,,,,Yes,80,0
