Channel bandwidth,,,,,,,,
EUTRA CA Configuration,EUTRA band,1.4 MHz(dBm),3 MHz(dBm),5 MHz(dBm),10 MHz(dBm),15 MHz(dBm),20 MHz(dBm),Duplex mode
"CA_1A-28A5,6,14",133,,,-89.8,-89.4,-89,-88.7,FDD
"CA_1A-1A-28A5,6,14",1,,,-89.8,-89.4,-89,-88.7,FDD
,4233,,,-85.7,-85.4,-85.1,-84.9,TDD
"CA_1A-68A5,6",1,,,-89.8,-89.4,-89,-88.7,FDD
"CA_2A-46A15,16",2,,,-70,-67,-65.2,-64,FDD
"CA_2A-2A-46A15,16",2,,,-70,-67,-65.2,-64,FDD
"CA_2A-48A9,10",48,,,-71.7,-71.7,-71.7,-71.7,TDD
CA_2A-48A11,48,,,-97.1,-94.7,-93.2,-92.5,TDD
CA_2A-71A36,2,,,-93.4,-94,-92.5,-91.4,FDD
CA_2A-71A37,2,,,-96.8,-94,-92.5,-91.4,FDD
"CA_2A-71A15,16",71,,,-70.4,-70.4,-70.4,-70.4,FDD
CA_2A-2A-71A36,2,,,-93.4,-94,-92.5,-91.4,FDD
CA_2A-2A-71A37,2,,,-96.8,-94,-92.5,-91.4,FDD
"CA_2A-2A-71A15,16",71,,,-70.4,-70.4,-70.4,-70.4,FDD
"CA_2A-48C9,10",48,,,-71.7,-71.7,-71.7,-71.7,TDD
CA_2A-48C11,48,,,-97.1,-94.7,-93.2,-92.5,TDD
"CA_2A-48D9,10",48,,,-71.7,-71.7,-71.7,-71.7,TDD
CA_2A-48D11,48,,,-97.1,-94.7,-93.2,-92.5,TDD
CA_3A-8A4CA_3A-8B4,3,,,N/A,N/A,N/A,N/A,FDD
"CA_3A-31A12,13",333,,,-86.9,-86.4,-86,-85.6,FDD
"CA_3A-42A9,10",4233,,,-71.7,-71.7,-71.7,-71.7,TDD
CA_3A-42A11,4233,,,-97.1,-94.7,-93.2,-92.5,TDD
"CA_4A-12A5,6",433,-89.2,-89.2,-90,-89.5,-89,-88.5,FDD
"CA_4A-17A5,6",433,,,-90,-89.5,,,FDD
