Parameter description,Unit,Limit (NOTE 1),,Applicable Frequencies
General,dB,-18-5∙|∆SubG-1)/LSCG,,"Any non-allocated Subcarrier Group within the subPRB allocation(NOTE 11,12,13)"
,,,,Any non-allocated (NOTE 2)
IQ Image,dB,-28,Image frequencies when carrier center frequency < 1 GHz and Output power > 10 dBm,"Image frequencies (NOTES 2, 3)"
,,-25,Image frequencies when carrier center frequency < 1 GHz and Output power ≤ 10 dBm,
,,-25,Image frequencies when carrier center frequency ≥ 1 GHz,
Carrier leakage,dBc,-28,Output power > 10 dBm and carrier center frequency < 1 GHz,"Carrier frequency (NOTES 4, 5)"
,,-25,Output power > 10 dBm and carrier center frequency ≥ 1 GHz,
,,-25,0 dBm ≤ Output power ≤10 dBm,
,,-20,-30 dBm ≤ Output power ≤ 0 dBm,
,,-10,-40 dBm  Output power < -30 dBm,
"NOTE 1:An in-band emissions combined limit is evaluated in each non-allocated RB. For each such RB, the minimum requirement is calculated as the higher of PRB - 30 dB and the power sum of all limit values (General, IQ Image or Carrier leakage) that apply. PRB is defined in NOTE 10.NOTE 2:The measurement bandwidth is 1 RB and the limit is expressed as a ratio of measured power in one non-allocated RB to the measured average power per allocated RB, where the averaging is done across all allocated RBs.NOTE 3:The applicable frequencies for this limit are those that are enclosed in the reflection of the allocated bandwidth, based on symmetry with respect to the centre carrier frequency, but excluding any allocated RBs. For UE of UL Categories M1 and M2, the applicable frequencies shall alternatively include those found by reflection on the center of the assigned narrowband, but excluding any allocated RBs.NOTE 4:The measurement bandwidth is 1 RB and the limit is expressed as a ratio of measured power in one non-allocated RB to the measured total power in all allocated RBs.NOTE 5:The applicable frequencies for this limit are those that are enclosed in the RBs containing the DC frequency if  is odd, or in the two RBs immediately adjacent to the DC frequency if  is even, but excluding any allocated RB. For UE of UL Categories M1 and M2, the applicable frequencies shall alternatively be the centre frequency of the supported 6RBs.NOTE 6: is the Transmission Bandwidth (see Figure 5.6-1).NOTE 7: is the Transmission Bandwidth Configuration (see Figure 5.6-1).NOTE 8: is the limit specified in Table 6.5.2.1.1-1 for the modulation format used in the allocated RBs.NOTE 9: is the starting frequency offset between the allocated RB and the measured non-allocated RB (e.g.  or  for the first adjacent RB outside of the allocated bandwidth.NOTE 10: is the transmitted power per 180 kHz in allocated RBs, measured in dBm.NOTE 11:The measurement bandwidth is 1 subcarrier group ( [3] subcarrier per subcarrier group) and the limit is expressed as a ratio of measured power in one non-allocated subcarrier group to the measured total power in all allocated subcarrier.NOTE 12: is the starting frequency offset between the allocated subcarrier group and the measured non-allocated subcarrier group (e.g.  =-1 for the first adjacent subcarrier group outside the allocated subcarrier group.)NOTE 13: is the Transmission bandwidth (number of subcarrier group).∆SubG∆SubG=1 or ∆SubGLSCG",,,,
