Network Signalling value,Requirements (subclause),E-UTRA Band,A-MPR (dB)
NS_01,6.6.2.1.1,Table 5.5-1,N/A
NS_03,6.6.2.2.1,"2, 4",Table 6.2.4E-10
NS_04,6.6.2.2.2,41,Table 6.2.4E-11
NS_05,6.6.3.3.1,1,Table 6.2.4E-17
NS_06,6.6.2.2.3,"12, 13,14",Table 6.2.4E-18
NS_07,6.6.2.2.36.6.3.3.2,13,Table 6.2.4E-12
NS_08,6.6.3.3.3,19,N/A
NS_09,6.6.3.3.4,21,N/A
NS_10,,20,N/A
NS_12,6.6.3.3.5,26,Table 6.2.4E-19
NS_13,6.6.3.3.6,26,Table 6.2.4E-20
NS_14,6.6.3.3.7,26,N/A
NS_15,6.6.3.3.8,26,Table 6.2.4E-21
NS_16,6.6.3.3.9,27,Table 6.2.4E-22
NS_17,6.6.3.3.10,28,N/A
NS_18,6.6.3.3.11,28,N/A
NS_22,6.6.3.3.16,"42, 43",[N/A]
NS_23,6.6.3.3.17,"42, 43",[N/A]
NS_27,"6.6.2.2.5,6.6.3.3.23",48,[N/A]
NS_32,-,-,-
NS_35,6.6.2.2.7,71,N/A
NS_38,6.6.3.3.29,74,Table 6.2.4E-24
NS_39,6.6.3.3.30,74,N/A
NS_56,6.6.3.3.35,24,Table 6.2.4E-27
NS_62,6.6.3.3.36,54,N/A
