Channel bandwidth [MHz],Parameters,,,,,
10,Fc [MHz],≥2605,,,,<2605
,RBstart,0 – 5,,38-49,,0 - 49
,LCRB [RBs],≥ 45,,< 13,,> 0
,RBstart + LCRB [RBs],N/A,,NA,,N/A
,A-MPR [dB],≤ 1,,≤ 1,,0
15,Fc [MHz],≥2597.5,,,,<2597.5
,RBstart,0 – 18,19-30,,54-74,0 - 74
,LCRB [RBs],N/A,≥ 45& <56,,< 17,> 0
,RBstart + LCRB [RBs],≥ 63,N/A,,NA,N/A
,A-MPR [dB],≤ 1,≤ 1,,≤ 1,0
20,Fc [MHz],≥2590,,,,<2590
,RBstart,0 – 31,32-55,,70-99,0 - 99
,LCRB [RBs],N/A,≥ 45& <68,,< 19,> 0
,RBstart + LCRB [RBs],≥ 76,N/A,,NA,N/A
,A-MPR [dB],≤ 2,≤ 1,,≤ 1,0
