Channel bandwidth [Hz],Parameters,Region,,,,
,,,,,,
5,Fc [MHz],≤ 2500.5,,,,
,"(NBindex, RBstart )","(0, 0-5)",,,"(1, 0-1)",
,LCRB [RBs],> 0,,,,
,A-MPR [dB],≤ 2,,,,
10,Fc [MHz],≤ 2504,,,,
,"(NBindex, RBstart )","(0, 0-5)",,,"(1, 0-1)",
,LCRB [RBs],>0,,,,
,A-MPR [dB],≤ 3,,,,
15,Fc [MHz],≤ 2510.8,,,,
,"(NBindex, RBstart )","(0, 0-5)",,"(1, 0-5)",,
,LCRB [RBs],>0,,,,
,A-MPR [dB],≤ 3,,,,
20,Fc [MHz],≤ 2517.5,,,,
,"(NBindex, RBstart )","(0, 0-5)","(1, 0-5)",,"(2, 0-5)","(3, 0-2)"
,LCRB [RBs],>0,,,,
,A-MPR [dB],≤ 3,,,,
"NOTE 1:RBstart indicates the lowest RB index of transmitted resource blocksNOTE 2:LCRB is the length of a contiguous resource block allocationNOTE 3:For intra-subframe frequency hopping which intersects regions, notes 1 and 2 apply on a per slot basisNOTE 4:For intra-subframe frequency hopping which intersects regions, the larger A-MPR value may be applied for both slots in the subframeNOTE 5:For CAT-M1 device, the NB index is the starting index allocated from DCI[6], the RBstart is indexed within the NB allocated to cat-M1 device.",,,,,,
