E-UTRA operating band combination,E-UTRA Band,"ΔTIB,c [dB]"
"CA_1-3, CA_1-1-3, CA_1-1-3-3, CA_1-3-3",1,0.3
,3,0.3
CA_1-5,1,0.3
,5,0.3
"CA_1-7, CA_1-1-7, CA_1-7-7,CA_1-1-7-7",1,0.5
,7,0.6
CA_1-8,1,0.3
,8,0.3
CA_1-11,1,0.3
,11,0.3
CA_1-18,1,0.3
,18,0.3
CA_1-19,1,0.3
,19,0.3
"CA_1-20,CA_1-1-20",1,0.3
,20,0.3
CA_1-21,1,0.3
,21,0.3
CA_1-26,1,0.3
,26,0.3
"CA_1-28, CA_1-1-28",1,0.3
,28,0.6
CA_1-32,1,0.5
,32,N/A
"CA_1-38,CA_1-1-38",1,0.5
,38,0.5
CA_1-40CA_1-40-40,1,0.5
,40,0.5
CA_1-418CA_1-41-41,1,0.5
,41,0.5
"CA_1-42, CA_1-42-42",1,0.3
,42,0.8
CA_1-43,1,0.3
,43,0.8
CA_1-46,1,0
CA_1-68,1,0.3
,68,0.6
CA_1-71,1,0.3
,71,0.6
CA_3-68,3,0.3
,68,0.3
"CA_2-4, CA_2-2-4, CA_2-4-4, CA_2-2-4-4",2,0.5
,4,0.5
"CA_2-5, CA_2-2-5",2,0.3
,5,0.3
"CA_2-7, CA_2-2-7, CA_2-7-7, CA_2-2-7-7",2,0.5
,7,0.5
CA_2-8,2,0.3
,8,0.3
"CA_2-12, CA_2-2-12, CA_2-12-12, CA_2-2-12-12",2,0.3
,12,0.3
"CA_2-13, CA_2-2-13",2,0.3
,13,0.3
"CA_2-14, CA_2-2-14",2,0.3
,14,0.3
CA_2-17,2,0.3
,17,0.8
CA_2-26,2,0.3
,26,0.3
CA_2-28,2,0.3
,28,0.3
"CA_2-29, CA_2-2-29",2,0.3
"CA_2-30, CA_2-2-30",2,0.5
,30,0.3
CA_2-38,2,0.5
,38,0.5
"CA_2-46, CA_2-2-46, CA_2-46-46",2,0
"CA_2-48, CA_2-48-48",2,0.6
,48,0.8
CA_2-49,2,0.6
"CA_2-66, CA_2-2-66, CA_2-66-66, CA_2-2-66-66, CA_2-66-66-66",2,0.5
