Channel bandwidth [MHz],Parameters,,,,,,
5,Fc [MHz],≤ 2500.5,,,,,> 2500.5
,RBstart,0 - 8,,,9 - 24,,0 - 24
,LCRB [RBs],> 0,,,> 0,,> 0
,A-MPR [dB],≤ 3,,,0,,0
10,Fc [MHz],≤ 2504,,,,,> 2504
,RBstart,0 – 8,,,9 - 35,36 - 49,0 - 49
,LCRB [RBs],≤ 15,> 15 and < 25,≥ 25,N/A,> 0,> 0
,RBstart + LCRB [RBs],N/A,N/A,N/A,≥ 45,N/A,N/A
,A-MPR [dB],≤ 5,≤ 2,≤ 3,≤ 1,0,0
15,Fc [MHz],≤ 2510.8,,,,,> 2510.8
,RBstart,0 – 13,,,14 – 59,60 – 74,0 - 74
,LCRB [RBs],≤ 18,> 18 and < 36,≥ 36,N/A,> 0,> 0
,RBstart + LCRB [RBs],N/A,N/A,N/A,≥ 62,N/A,N/A
,A-MPR [dB],≤ 5,≤ 2,≤ 4,≤ 3,0,0
20,Fc [MHz],≤ 2517.5,,,,,> 2517.5
,RBstart,0 – 22,,,23 – 76,77 – 99,0 - 99
,LCRB [RBs],≤ 18,> 18 and < 40,≥ 40,N/A,> 0,> 0
,RBstart + LCRB [RBs],N/A,N/A,N/A,≥ 86,N/A,N/A
,A-MPR [dB],≤ 5,≤ 2,≤ 4,≤ 3,0,0
"NOTE 1:RBstart indicates the lowest RB index of transmitted resource blocksNOTE 2:LCRB is the length of a contiguous resource block allocationNOTE 3:For intra-subframe frequency hopping which intersects regions, notes 1 and 2 apply on a per slot basis. For intra-slot or intra-subslot frequency hopping which intersects regions, notes 1 and 2 apply on a per Tno_hopping basis.NOTE 4:For intra-subframe frequency hopping which intersects regions, the larger A-MPR value may be applied for both slots in the subframe. For intra-slot frequency hopping which intersects regions, the larger A-MPR value may be applied for the slot. For intra-subslot frequency hopping which intersects regions, the larger A-MPR value may be applied for the subslot.",,,,,,,
