CA Bandwidth Class C,RBStart,LCRB  [RBs],RBStart +LCRB [RBs],A-MPR for QPSK [dB],A-MPR for 16 QAM
50RB / 75 RB,0 - 1,8 - 12,N/A,≤1dB,N/A
,112 -117,N/A,>123,,
50RB / 100 RB,0,10-12,N/A,≤0.5 dB,N/A
,138-140,N/A,150,,
75 RB / 75 RB,0 - 2,8-16,N/A,≤1 dB,N/A
,132-142,N/A,>147,,
,0,9,N/A,N/A,≤0.5dB
,141,N/A,150,,
75 RB / 100 RB,0 - 3,8-16,N/A,≤0.5 dB,N/A
,156-167,N/A,>171,,
100 RB / 100 RB,0 - 3,8-18,N/A,≤1 dB,N/A
,179-192,N/A,>196,,
,0,15,N/A,N/A,≤0.5dB
,185,N/A,200,,
NOTE 1: RBstart indicates the lowest RB index of transmitted resource blocks NOTE 2: LCRB is the length of a contiguous resource block allocation,,,,,
