E-UTRA Band,NRB,Duplex Mode
1,61,FDD and HD-FDD
2,61,FDD and HD-FDD
3,61,FDD and HD-FDD
4,61,FDD and HD-FDD
5,61,FDD and HD-FDD
7,61,FDD and HD-FDD
8,61,FDD and HD-FDD
11,61,FDD and HD-FDD
12,61,FDD and HD-FDD
13,61,FDD and HD-FDD
14,61,FDD and HD-FDD
18,61,FDD and HD-FDD
19,61,FDD and HD-FDD
20,61,FDD and HD-FDD
21,61,FDD and HD-FDD
24,61,FDD and HD-FDD
25,61,FDD and HD-FDD
26,61,FDD and HD-FDD
27,61,FDD and HD-FDD
28,61,FDD and HD-FDD
31,61,FDD and HD-FDD
…,,
39,61,TDD
40,61,TDD
41,61,TDD
42,61,TDD
43,61,TDD
48,61,TDD
…,,
54,61,TDD
…,,
71,61,FDD and HD-FDD
72,61,FDD and HD-FDD
73,61,FDD and HD-FDD
74,61,FDD and HD-FDD
85,61,FDD and HD-FDD
87,61,FDD and HD-FDD
88,61,FDD and HD-FDD
106,61,FDD and HD-FDD
111,61,FDD and HD-FDD
NOTE 1:1 refers to the UL resource blocks shall be located as close as possible to the downlink operating band but confined within the transmission bandwidth configuration for the channel bandwidth (Table 5.6-1).,,
