Parameters,,,
Channel Bandwidth[MHz],Carrier centre frequency (FC)[MHz],Uplink resource allocation,A-MPR[dB]
20,5160 ≤ FC < 5179.85320.2 < FC ≤ 5340,L = 10 (RIV = 19),15
,,Any other RIV,16
,5179.8 ≤ FC < 5199.85300.2 < FC ≤ 5320.2,L = 10 (RIV = 19),3
,,Any other RIV,3
,5480 ≤ FC < 5499.8,L = 10 (RIV = 19),11
,,Any other RIV,11
,5680.2 < FC ≤ 5715,L = 10 (RIV = 19),6
,,Any other RIV,6
,5199.8 ≤ FC ≤ 5300.25499.8 ≤ FC ≤ 5680.2,L = 10 (RIV = 19),1
,,Any other RIV,N/A
NOTE 1:The carrier centre frequencies and corresponding EARFCN allowed for operation in Band 46 are specified in [12]. The uplink resource allocation is defined in Clause 8.1.4 of [6]. The uplink resource allocation is defined in Clause 8.1.4 of [6].,,,
