Channel bandwidth confined to 1432-1452MHz (B50),,,,,,,,,,
Channel bandwidth [MHz],Parameters,Region A,Region B,,Region C,Region D,Region E,Region F,Region G,Region H
3MHz,RBstart,,,,,,,,,
,LCRB [RBs],,,,,,,,,
,A-MPR [dB],,,,,,,,,
5MHz,RBstart,,,,,,,,,
,LCRB [RBs],,,,,,,,,
,A-MPR [dB],,,,,,,,,
10MHz,RBstart,0 – 4,5 – 6,,,,,,,
,LCRB [RBs],≥ 36,≥ 40,,,,,,,
,A-MPR [dB],≤ 11,≤ 10,,,,,,,
15MHz,RBstart,0-1,02-06,,07-11,12-13,14-15,,,
,LCRB [RBs],≥ 36,≥ 40,,≥ 48,26-40,≥ 54,,,
,A-MPR [dB],≤ 12,≤ 12,,≤ 11,≤ 10,≤ 10,,,
20 MHz,RBstart,0,1 – 4,,5-6,7-9,10 – 11,12 – 16,17 – 20,21 – 26
,LCRB [RBs],≥ 36,45-53,≥ 54,≥ 33,≥ 48,≥ 50,≥ 60,≥ 64,≥ 64
,A-MPR [dB],≤ 12,≤ 11,≤ 12,≤ 12,≤ 12,≤ 12,≤ 12,≤ 11,≤ 10
